Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-130.901	-61.3389	262.78	1811.43
Segment_2	-129.855	-60.9098	263.673	1539.45
Segment_3	-130.385	-60.9875	264.565	1517.25
