Trial,Muscle_Group,Mean_Diff_SO_scaled_vs_SO_MRI,Std_Diff_SO_scaled_vs_SO_MRI,Mean_Diff_SO_scaled_vs_CEINMS_scaled,Std_Diff_SO_scaled_vs_CEINMS_scaled,Mean_Diff_CEINMS_scaled_vs_MRI_CEINMS,Std_Diff_CEINMS_scaled_vs_MRI_CEINMS,Mean_Diff_SO_scaled_vs_MRI_CEINMS,Std_Diff_SO_scaled_vs_MRI_CEINMS
Walking,Hamstrings,85.58577952824885,40.249540163329186,95.44780569663594,104.41771017948,-136.16266128110595,164.54019335930306,-40.71485558447003,163.54493478974442
Walking,Gluteus maximus,55.438498549953906,33.520649403201816,-50.81926645092166,80.83694883654685,114.30717859907834,99.87182867625309,63.48791214815668,77.9010241691299
Walking,Vasti,135.35474897847928,67.8998513074234,-146.45610837244237,288.1304588990233,23.897252179723523,295.25780645962976,-122.55885619271885,272.61384915593675
Squat BW,Hamstrings,-246.79199226315416,234.42242664454164,284.4995951790254,306.22641581031917,-299.06916076897596,228.66469373931065,-14.569565589950571,201.4589145837269
Squat BW,Gluteus maximus,55.05967017149473,54.20893880327823,-248.07511902589687,225.55157511310753,194.7035411187,153.83190066974478,-53.371577907196865,118.51675840108228
Squat BW,Vasti,-420.5809835403272,723.9719958001882,91.76688055507111,245.6004999874526,-774.508913547583,1143.6968889569434,-682.7420329925119,1072.1653944820218
Squat 35kg,Hamstrings,-108.76089801827902,214.79443845421852,603.1861955558916,510.5328092669118,-466.14219153410846,281.46550681980426,137.04400402178305,372.97872802500103
Squat 35kg,Gluteus maximus,63.47294048303095,72.61324684416306,-146.5434911524962,131.03188704208452,155.69369850930235,104.78898678553799,9.150207356806163,59.670996065323244
Squat 35kg,Vasti,-690.2232361232941,1010.6169104362202,468.15814682851214,537.0514985108148,-916.6109178162787,1260.5114869012398,-448.4527709877666,873.0412457665307
