Trial,Muscle_Group,Mean_Diff_SO_scaled_vs_SO_MRI,Std_Diff_SO_scaled_vs_SO_MRI,Mean_Diff_SO_scaled_vs_CEINMS_scaled,Std_Diff_SO_scaled_vs_CEINMS_scaled,Mean_Diff_CEINMS_scaled_vs_MRI_CEINMS,Std_Diff_CEINMS_scaled_vs_MRI_CEINMS,Mean_Diff_SO_scaled_vs_MRI_CEINMS,Std_Diff_SO_scaled_vs_MRI_CEINMS
Walking,Adductors,77.60616510230412,65.23007866166496,38.34001365031057,121.14127212095653,-63.06438094479151,160.84048084407928,-24.724367294480942,131.12609355525575
Walking,Hamstrings,85.58577952824885,40.249540163329186,95.44780570182816,104.41771018849201,-136.16266130942097,164.54019335281797,-40.714855607592824,163.5449347894526
Walking,Gluteus maximus,55.438498549953906,33.520649403201816,-50.81926645460648,80.83694883369537,114.30717861652309,99.87182869650046,63.48791216191661,77.90102418322145
Walking,Gluteus medius,17.142863226405552,74.48681217830924,29.894453811227038,149.5675798704288,-69.7091316816846,216.10269215605933,-39.81467787045756,120.13533161933267
Walking,Gluteus minimus,33.78200649612906,21.743363005801974,-99.84327371167086,110.16961407108333,22.751548162241733,119.82460611871618,-77.09172554942913,139.0517824929826
Walking,Hip flexors,593.1203186289863,282.886233520754,-81.95348113587397,255.99273284435583,191.34779902468597,373.4793056851517,109.394317888812,334.09351087567035
Walking,Triceps Surae,247.87521867400915,215.0531979568002,247.622606380261,130.385832271217,260.2753111138635,334.26103281421155,507.8979174941245,371.4986396746914
Walking,Vasti,135.35474897847928,67.8998513074234,-146.4561083685726,288.1304588956796,23.897252156636796,295.25780647693483,-122.55885621193579,272.6138491275217
Squat BW,Adductors,122.65039262393879,102.63707859681493,-280.983264350446,265.060621811829,528.5982288913675,322.93052487691426,247.61496454092148,150.6098393904845
Squat BW,Hamstrings,-246.79199226315416,234.42242664454164,284.4995951730202,306.2264158132301,-299.06916075667993,228.66469373232025,-14.56956558365971,201.4589145874886
Squat BW,Gluteus maximus,55.05967017149473,54.20893880327823,-248.0751190254548,225.55157511360548,194.7035411136289,153.83190067544624,-53.37157791182591,118.51675839481555
Squat BW,Gluteus medius,-10.189809601531593,40.351425352406494,42.5336028710859,47.13375741479535,37.43394571172793,45.576378451820055,79.96754858281382,12.480341332810127
Squat BW,Gluteus minimus,1.785362496099136,14.956295920355275,26.14096429984685,9.619837465597865,2.2788851806969417,11.414645591338726,28.419849480543792,6.741276093533225
Squat BW,Hip flexors,-262.5483598944792,204.06823487301628,100.82124935862515,247.22736453685485,-139.31151657185023,248.79291751175177,-38.49026721322508,167.87949644414456
Squat BW,Triceps Surae,146.15793421779995,36.17995407146195,57.83333665597547,128.04425155413634,320.3264524087704,61.34128887140292,378.1597890647459,120.644717681335
Squat BW,Vasti,-420.5809835403272,723.9719958001882,91.76688055487261,245.60049998887547,-774.5089135460066,1143.6968889585892,-682.742032991134,1072.1653944827456
Squat 35kg,Adductors,267.75242882231004,168.5647062490544,-567.2215280598022,522.7964498650183,1096.438714543905,734.2670843688346,529.2171864841027,260.4185998834527
Squat 35kg,Hamstrings,-108.76089801827902,214.79443845421852,603.1861955549293,510.5328092676656,-466.14219154568843,281.46550681624177,137.0440040092409,372.9787280279526
Squat 35kg,Gluteus maximus,63.47294048303095,72.61324684416306,-146.54349115124904,131.03188704099662,155.6936985021954,104.7889867850047,9.150207350946346,59.670996059865416
Squat 35kg,Gluteus medius,-17.180923959612414,47.46690249092838,40.38397744203383,33.670156395735944,42.62175800501857,38.76783488304321,83.0057354470524,18.21725169808494
Squat 35kg,Gluteus minimus,1.5187812890310006,17.155943101531324,28.526843840750537,4.195752261114828,-0.04107793281402694,5.155473598112908,28.48576590793651,6.073321165831855
Squat 35kg,Hip flexors,-80.87661639431008,271.9385020287445,257.81997249481805,307.1885872770959,11.482635479403285,110.35049326029805,269.30260797422136,312.8654380054234
Squat 35kg,Triceps Surae,235.69333903699203,38.09757664801089,73.97964398010345,74.60811424830541,669.8727827141572,298.8373967218072,743.8524266942607,242.9605374998644
Squat 35kg,Vasti,-690.2232361232941,1010.6169104362202,468.1581468275858,537.0514985107442,-916.6109178281181,1260.5114868914654,-448.45277100053227,873.0412457574366
