name,r,a,s
torso_origin_in_pelvis,-5.087794311926639,-51.0787838240423,833.290169427389
ASIS_l,-119.61800764267326,32.02279705916747,779.2405433386016
ASIS_r,119.33479668102788,32.11516313495251,779.0227373799333
PSIS_l,-44.74235800347272,-104.80378159126167,821.0597646794796
PSIS_r,41.68166782013847,-104.98226179505984,819.6232346548501
pub_infer_c,-3.4152921522447612,-2.6865850935432265,673.557145005205
pub_super_c,-2.7502456690444306,20.408494739344043,691.3008024000294
ilium_l,-104.90831641079383,-35.976255380876424,859.1233575314824
ilium_r,102.02003146143832,-35.39517448319195,858.6250837816692
femur_l_center_in_pelvis,-89.0203527920585,-27.495727144763805,713.3315178158837
femur_r_center_in_pelvis,84.38336850376255,-28.864653787985617,711.5146676463393
sacroiliac_l,-41.19883193532413,-88.08885697793458,807.7489540354424
sacroiliac_r,36.80534640182265,-87.7905725110501,806.4981719209998
5th_sacr_v,-2.7360950765015937,-108.27856374195585,727.0050327586622
AIIS_l,-99.81810163192993,5.825904715131503,750.5683528194662
AIIS_r,95.73335192202097,6.660797978312933,748.2192102250875
isch_infer_l,-41.55535405016713,-47.19681700287076,649.0042040405941
isch_infer_r,35.77079017139281,-49.92824795177921,647.4034448240232
isch_spine_l,-54.56221847599372,-82.60576740592902,718.5504096791701
isch_spine_r,48.00991316864936,-80.22208989135004,718.1721596266632
isch_tuber_l,-61.44216543574673,-88.36215280630799,678.0665674416001
isch_tuber_r,56.57126378169029,-88.82980494999208,678.0568076099505
