name,r,a,s
knee_r_center,136.95996371728862,4.829860610950328,318.20045054134425
fibula_r_lat_malleol_tip,121.8488804957183,-57.66411757383723,-90.92414865438643
tibia_r_med_malleol_tip,104.88141877175457,-9.739567297399763,-75.95762217694798
ankle_r_lat,136.19258169160057,-64.72728063782998,-72.14443779456779
ankle_r_med,93.92160715696707,-3.6654774068782285,-61.043299181728415
ankle_r_center,115.64079460925277,-34.06306428942545,-66.36240395008119
talus_r_center_in_tibia,111.1063974466246,-33.88071186559184,-83.06053446575051
tibia_r_center,139.38098754788305,-1.0154609819665745,282.40540258087503
tibia_r_lat,171.10348524893146,-26.86838861128372,282.88962901908354
tibia_r_med,107.39375106314166,24.44604798540069,282.04823337645223
tibia_r_epiph_yellow_anterior_plate,154.25724226299099,16.704992111533752,289.3316409207495
tibia_r_epiph_yellow_patel_tend_point,157.2830534720445,24.910476758602417,251.81921540099933
tibia_r_epiph_yellow_posteriormost,120.24121753609602,-23.291764513310373,282.1633563186849
tibia_r_ankle_yellow_anter,128.53447094912397,-14.907157801379027,-54.9083032183521
tibia_r_epiph_green_medial_lower_epiph,120.65084449449746,11.817239094663055,257.42826300859315
fibula_r_as,150.72936390661903,-16.691088668082056,252.950865449165
tibia_r_midshaft_anter,152.991105175289,-1.519265795461214,117.47759393478795
tibia_r_midshaft_poster,124.28599445459173,-16.12321976692182,120.09409281227985
fibula_r_midshaft_anter,140.63822214777406,-45.45086611406204,120.30413321580072
tibia_r_anter_diaph_25,163.4831422342225,11.48743090668815,215.76353850651788
tibia_r_anter_diaph_75,137.81728623089347,-14.242029871320296,17.295580042517525
fibula_r_anter_diaph_75,130.6785316292693,-49.73918910770455,18.814205686113095
