time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
3.65,0.0771599,0.0980205,0.0750656,0.0870851,0.0773909,0.0727977,0.085726,0.124217,0.0850197,0.0840983,0.0844171,0.118604,0.0911598,0.0899821,0.101836,0.089392,0.0722633,0.118769,0.123837,0.12996,0.126461,0.129995,0.133217,0.0742917,0.181826,0.158184,0.0903448,0.122957,0.0868738,0.278895,0.0832936,0.0759343,0.129872,0.0853323,0.0815787,0.0965463,0.151799,0.148857,0.158419,0.132394,0.0570183,0.0440499,0.0440499,0.103227,0.0518099,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0440499,0.0500083,0.0440499,0.064702,0.0440499,0.0440499,0.0440499,0.0516167,0.0675834,0.0440499,0.0440499,0.0440499,0.0522721,0.0440499,0.0642614,0.0440499,0.0440499,0.0440499,0.0942122,
3.655,0.0767845,0.0943835,0.0752445,0.0848308,0.0769735,0.0744676,0.084616,0.127556,0.0873188,0.0864138,0.0849127,0.113774,0.0936728,0.0924591,0.097782,0.086817,0.0739327,0.113463,0.118292,0.124143,0.120797,0.124168,0.12727,0.0763602,0.175453,0.151389,0.08911,0.126267,0.0866654,0.270106,0.0816241,0.0780589,0.124095,0.0877102,0.0838283,0.094246,0.145401,0.142519,0.151979,0.126504,0.0581271,0.0449323,0.0449323,0.0986572,0.0517921,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0449323,0.0510269,0.0449323,0.0661238,0.0449323,0.0449323,0.0449323,0.0527752,0.0690701,0.0449323,0.0449323,0.0449323,0.0520495,0.0449323,0.0656743,0.0449323,0.0449323,0.0449323,0.0910663,
3.66,0.0769847,0.0915216,0.0759599,0.0833116,0.0770928,0.0763312,0.084218,0.130996,0.0897188,0.0888143,0.0859315,0.109754,0.0962692,0.0950207,0.0945027,0.0850089,0.0758407,0.108812,0.113284,0.11882,0.115609,0.118857,0.121789,0.0785009,0.16891,0.144978,0.0886265,0.129677,0.0870934,0.26101,0.0806702,0.0802566,0.118922,0.0901654,0.0861617,0.0927767,0.13924,0.136441,0.145659,0.120965,0.0593384,0.0458922,0.0458922,0.0942702,0.0520965,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0458922,0.0521239,0.0458922,0.0676101,0.0458922,0.0458922,0.0458922,0.0539856,0.0706235,0.0458922,0.0458922,0.0458922,0.0521819,0.0458922,0.0671513,0.0458922,0.0458922,0.0458922,0.0887023,
3.665,0.0776855,0.0893155,0.0770331,0.0824784,0.0777486,0.0783463,0.0844184,0.134536,0.0922084,0.0912955,0.0873601,0.106536,0.0989476,0.0976645,0.0919389,0.0838903,0.0778083,0.104818,0.108932,0.114084,0.111078,0.114136,0.116876,0.080722,0.162413,0.139086,0.0887766,0.133186,0.0880351,0.251904,0.0803721,0.0825261,0.114418,0.0926972,0.0885743,0.0920392,0.133467,0.130778,0.139697,0.115882,0.0606328,0.0469151,0.0469151,0.0901634,0.0526546,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0469151,0.0532862,0.0469151,0.0691588,0.0469151,0.0469151,0.0469151,0.0552464,0.0722412,0.0469151,0.0469151,0.0469151,0.0525979,0.0469151,0.0686904,0.0469151,0.0469151,0.0469151,0.0870623,
3.67,0.0787616,0.0878249,0.0784641,0.0822334,0.0787622,0.0804742,0.0851162,0.138174,0.0947814,0.0938549,0.08911,0.104083,0.101707,0.100389,0.0900906,0.0833838,0.0799547,0.101479,0.105235,0.109983,0.107202,0.11005,0.112573,0.0830073,0.156119,0.133795,0.0894543,0.136793,0.0893893,0.243015,0.0805509,0.0848661,0.110603,0.0953049,0.0910639,0.0919333,0.128173,0.125611,0.134093,0.111317,0.0619979,0.0479914,0.0479914,0.0863985,0.0534128,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0479914,0.0545065,0.0479914,0.070768,0.0479914,0.0479914,0.0479914,0.0565561,0.0739214,0.0479914,0.0479914,0.0479914,0.0532396,0.0479914,0.0702895,0.0479914,0.0479914,0.0479914,0.0860725,
3.675,0.0801632,0.0869902,0.0801336,0.0824784,0.0801336,0.0827042,0.0862238,0.14191,0.0974351,0.0964916,0.0911143,0.10234,0.104547,0.103194,0.0888385,0.0834049,0.0821607,0.0987956,0.102194,0.106509,0.103983,0.106602,0.10889,0.085369,0.150143,0.129146,0.090568,0.140496,0.0910753,0.234516,0.0812664,0.0872765,0.107469,0.0979887,0.0936292,0.0923661,0.123417,0.121001,0.129025,0.107299,0.0634266,0.0491162,0.0491162,0.083011,0.0543301,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0491162,0.0557804,0.0491162,0.072436,0.0491162,0.0491162,0.0491162,0.0579133,0.0756622,0.0491162,0.0491162,0.0491162,0.0540622,0.0491162,0.0719472,0.0491162,0.0491162,0.0491162,0.0856539,
3.68,0.08184,0.0866325,0.0819819,0.0831482,0.0817434,0.0850223,0.0876699,0.145744,0.100168,0.0992058,0.0933231,0.101244,0.107468,0.106079,0.0881827,0.0838833,0.084486,0.0967684,0.0997496,0.103651,0.101359,0.103778,0.105833,0.0877989,0.144574,0.125153,0.0920416,0.144297,0.0930295,0.226532,0.08228,0.08976,0.104989,0.10075,0.0962702,0.0932555,0.119231,0.116964,0.124434,0.103835,0.0649138,0.0502846,0.0502846,0.080017,0.0553753,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0502846,0.0571045,0.0502846,0.0741612,0.0502846,0.0502846,0.0502846,0.0593169,0.0774619,0.0502846,0.0502846,0.0502846,0.0550302,0.0502846,0.0736615,0.0502846,0.0502846,0.0502846,0.0857381,
3.685,0.0836921,0.0867517,0.0840687,0.0841937,0.0835917,0.0874214,0.0893948,0.149674,0.102979,0.101997,0.0957002,0.10073,0.110469,0.109045,0.0880038,0.0847486,0.086871,0.0952778,0.0979013,0.101399,0.0993322,0.101547,0.103369,0.0903011,0.139456,0.121808,0.0938129,0.148195,0.095203,0.219152,0.0835917,0.092314,0.103125,0.103587,0.0989869,0.0945301,0.115618,0.1135,0.120439,0.100914,0.0664561,0.0515015,0.0515015,0.0774183,0.0565252,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0515015,0.0584763,0.0515015,0.0759411,0.0515015,0.0515015,0.0515015,0.0607651,0.0793181,0.0515015,0.0515015,0.0515015,0.0561172,0.0515015,0.0754304,0.0515015,0.0515015,0.0515015,0.0862594,
3.69,0.0857443,0.0872883,0.0862151,0.0855332,0.0856189,0.089898,0.0913526,0.153703,0.10587,0.104865,0.0982187,0.100735,0.113552,0.112091,0.0882423,0.0859446,0.0893155,0.0943239,0.0965896,0.0997021,0.0978416,0.0998809,0.101473,0.0928717,0.134826,0.119092,0.095832,0.152189,0.0975587,0.212436,0.0852015,0.0949398,0.101833,0.106502,0.101779,0.0961297,0.112575,0.11061,0.116981,0.0985145,0.0680502,0.0527571,0.0527571,0.0752065,0.0577621,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0527571,0.0598934,0.0527571,0.0777731,0.0527571,0.0527571,0.0527571,0.0622554,0.0812277,0.0527571,0.0527571,0.0527571,0.0573021,0.0527571,0.077251,0.0527571,0.0527571,0.0527571,0.0871518,
3.695,0.0879467,0.0881827,0.0885404,0.0871341,0.0878249,0.0924486,0.0935062,0.157827,0.108838,0.107812,0.10086,0.101198,0.116716,0.115218,0.0888982,0.0874221,0.0918793,0.0938469,0.0958145,0.0985305,0.0968877,0.0987378,0.100105,0.0955145,0.130702,0.116972,0.0980596,0.156278,0.100069,0.206418,0.0870498,0.0976374,0.101065,0.109494,0.104648,0.0980047,0.110077,0.10827,0.114059,0.096608,0.0696937,0.0540516,0.0540516,0.0733664,0.0590727,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0540516,0.0613545,0.0540516,0.079655,0.0540516,0.0540516,0.0540516,0.0637864,0.0831885,0.0540516,0.0540516,0.0540516,0.0585699,0.0540516,0.0791212,0.0540516,0.0540516,0.0540516,0.0883706,
