name,r,a,s
tibia_r_med,105.78853184753892,22.80751379957662,281.9538179758356
tibia_r_lat,167.08855153105102,-27.183640825504344,282.51928707106725
ankle_r_med,91.64660204312626,-0.6985670957712539,-51.19164185156334
ankle_r_lat,135.70614259253904,-65.38117821418446,-48.51034989847317
knee_r_center,136.29424930537562,4.130433633540207,313.40936350716504
tibia_r_center,136.75623073756736,-1.846772712817172,282.2545451769854
ankle_r_center,113.92018694273699,-32.96438160445277,-49.79593588294704
talus_r_center_in_tibia,109.16985191149197,-33.43173494913482,-62.043255845933196
tibia_r_midshaft_anter,144.5750225253154,1.0821410094419948,120.75052389123577
tibia_r_midshaft_poster,124.73256963831464,-15.045483999929328,126.6462807531042
fibula_r_midshaft_anter,139.89818344707217,-43.32589394493007,128.92186294963386
fibula_r_as,146.95180708233545,-16.4115925873769,256.5432017751005
tibia_r_epiph_yellow_posteriormost,123.39089202915615,-24.10456393584498,285.6759514482992
tibia_r_epiph_yellow_anterior_plate,147.86068598144826,16.044923291530928,285.10544264290684
tibia_r_epiph_yellow_patel_tend_point,147.52705366285102,25.1101744478759,250.76885876515632
tibia_r_epiph_green_medial_lower_epiph,117.94682373655056,10.94974313573311,260.4604479197326
tibia_r_ankle_yellow_anter,121.6728209683793,-12.020676290996645,-46.02794582751437
fibula_r_lat_malleol_tip,121.42889302154958,-58.37182379055226,-63.11962448623431
tibia_r_med_malleol_tip,100.93336907153343,-7.825375247830132,-62.311403002787095
tibia_r_anter_diaph_25,152.03131809949437,13.587383171673338,216.11372937553335
tibia_r_anter_diaph_75,130.11580210675646,-9.555435504210964,19.770182973625456
fibula_r_anter_diaph_75,127.92059528219363,-46.532769238480135,27.05191835085004
