mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
glmax3_l,0.00319561,0.00777299,0.035124,2.8e-05,0.00802917,0.00228546,0.0147137,0.0459664,
glmed1_l,2.014e-05,0.154628,0.0351476,0.0766585,0.120194,0.000749691,0.00364528,0.014282,
glmed2_l,3.59125e-05,0.15463,0.035151,0.0766541,0.120192,0.000749906,0.00364128,0.0142826,
glmed3_l,8.69009e-06,0.154628,0.0351496,0.0766513,0.120198,0.000758415,0.00364494,0.0142823,
glmin1_l,0.0139378,0.030173,0.0288431,0.0249814,0.00357828,0.0223878,0.00933885,0.0272083,
glmin2_l,0.0191979,0.016607,0.0185264,0.00160742,0.0255316,0.0107191,0.017443,0.020491,
glmin3_l,0.00875766,0.00430301,0.0285648,0.0224741,0.00981459,0.019161,0.00672813,0.0187447,
grac_l,0.0213973,0.0287662,0.0300588,0.00269007,0.0199439,0.0186874,0.0132709,0.0225707,
iliacus_l,3.68593e-05,0.0197753,0.00682899,0.00273364,0.00764026,0.0154411,0.013275,0.0243904,
perbrev_l,0.0298565,0.0173691,0.00563893,0.0292521,0.0111599,0.0201821,0.0141236,0.011514,
perlong_l,0.0333814,0.00133554,0.00724589,0.014789,0.0234938,0.00760238,0.0224102,0.0129166,
piri_l,0.0217772,0.0274935,0.0323509,0.024851,0.0133635,0.00263288,0.0279576,0.017239,
psoas_l,0.00301639,0.0175427,0.0178862,0.00712162,0.0203062,0.0102363,0.025758,0.0122455,
recfem_l,0.0509102,0.0939286,0.00402272,0.00607183,0.0394019,0.0464122,1.99334e-24,0.0188755,
sart_l,0.00301852,0.0309935,0.0125993,0.015872,0.00571122,0.0323955,0.00490927,0.0258302,
semimem_l,0.0147103,0.0608674,4.4666e-13,0.00936475,0.029258,0.00924757,5.55838e-17,0.0249852,
semiten_l,0.0147103,0.0608674,6.15089e-13,0.00936476,0.029258,0.00924757,4.23264e-17,0.0249852,
soleus_l,0.0166256,0.0182537,0.00608878,0.024412,0.00374689,0.0132826,0.00317166,0.0213806,
tfl_l,2.68265e-07,1.57297e-07,0.112541,0.053091,0.000934996,0.0169151,3.90083e-13,0.08028,
tibant_l,0.000248089,0.000997368,0.021874,0.0125971,0.024969,0.0165801,0.0204671,0.0174154,
tibpost_l,0.0291428,0.00114819,0.0328639,0.0056483,0.0185954,0.0210453,0.0326014,0.0146685,
vasint_l,0.0250579,0.0158487,0.00339433,0.0138608,0.00247065,0.0145421,0.0312575,0.0180937,
vaslat_l,0.0162007,0.0786503,0.00694814,0.00295418,0.0369932,0.0165763,0.00713123,0.0158613,
vasmed_l,9.21639e-23,0.02869,0.0296816,1.7462e-07,0.0236368,7.2331e-32,0.0215716,0.00133261,
