iteration,loss,learning rate,
1,1270,0.02,
2,1249.93,0.02,
3,1115.53,0.02,
4,995.41,0.02,
5,953.88,0.02,
6,974.461,0.02,
7,1001.3,0.02,
8,1018.71,0.02,
9,1020.6,0.02,
10,1023.85,0.02,
11,1018.36,0.02,
12,1006.94,0.02,
13,995.214,0.02,
14,985.115,0.02,
15,974.907,0.02,
16,959.467,0.02,
17,938.846,0.02,
18,923.191,0.02,
19,914.299,0.02,
20,909.384,0.02,
21,907.516,0.02,
22,904.747,0.02,
23,899.654,0.02,
24,889.102,0.02,
25,877.888,0.02,
26,867.568,0.02,
27,857.539,0.02,
28,859.815,0.02,
29,859.587,0.02,
30,866.353,0.02,
31,864.636,0.02,
32,854.633,0.02,
33,856.955,0.02,
34,845.164,0.02,
35,836.086,0.02,
36,822.51,0.02,
37,819.041,0.02,
38,815.82,0.02,
39,812.325,0.02,
40,811.981,0.02,
41,812.108,0.02,
42,811.025,0.02,
43,808.863,0.02,
44,805.029,0.02,
45,812.705,0.02,
46,798.76,0.02,
47,799.556,0.02,
48,810.937,0.02,
49,867.744,0.02,
50,798.621,0.02,
51,794.858,0.02,
52,793.402,0.02,
53,786.425,0.02,
54,784.067,0.02,
55,782.206,0.02,
56,781.159,0.02,
57,774.19,0.02,
58,787.167,0.02,
59,767.608,0.02,
60,763.637,0.02,
61,762.175,0.02,
62,763.133,0.02,
63,763.67,0.02,
64,761.943,0.02,
65,780.999,0.02,
66,761.438,0.02,
67,762.327,0.02,
68,764.805,0.02,
69,830.394,0.02,
70,829.357,0.02,
71,832.47,0.02,
72,776.668,0.02,
73,777.527,0.02,
74,777.427,0.02,
75,774.525,0.02,
76,773.811,0.02,
77,770.074,0.02,
78,768.161,0.02,
79,765.963,0.02,
80,764.956,0.02,
81,783.559,0.02,
82,765.149,0.02,
83,762.489,0.02,
84,761.714,0.02,
85,760.905,0.02,
86,760.123,0.02,
87,759.217,0.02,
88,760.066,0.02,
89,759.762,0.02,
90,759.562,0.02,
91,759.043,0.02,
92,759.101,0.02,
93,758.757,0.02,
94,758.786,0.02,
95,759.285,0.02,
96,760.654,0.02,
97,760.955,0.02,
98,761.316,0.02,
99,760.561,0.02,
100,776.635,0.02,
101,759.725,0.02,
102,760.223,0.02,
103,760.549,0.02,
104,761.24,0.02,
105,762.619,0.02,
106,765.075,0.02,
107,766.474,0.02,
108,766.429,0.02,
109,767.504,0.02,
110,767.6,0.02,
111,768.009,0.02,
112,767.572,0.02,
113,766.36,0.02,
