Trial,Muscle_Group,Mean_Diff_SO_scaled_vs_SO_MRI,Std_Diff_SO_scaled_vs_SO_MRI,Mean_Diff_SO_scaled_vs_CEINMS_scaled,Std_Diff_SO_scaled_vs_CEINMS_scaled,Mean_Diff_CEINMS_scaled_vs_MRI_CEINMS,Std_Diff_CEINMS_scaled_vs_MRI_CEINMS,Mean_Diff_SO_scaled_vs_MRI_CEINMS,Std_Diff_SO_scaled_vs_MRI_CEINMS
Walking,Hip,1232.5693307032261,503.7680981552921,366.5205194710602,818.1373091910508,-534.0260033548384,1183.1874300610186,-167.5054838837782,659.839784053211
Walking,Knee,749.9013658307371,452.2660578359039,662.6324700008294,889.943676826892,-388.72119639631353,755.1894241212887,273.9112736045158,316.2617526685566
Walking,Ankle,578.73746231212,316.54156532446854,-556.7957305100922,621.8668814570328,776.9259556267282,378.0492343032791,220.13022511663598,546.6140189633751
Squat BW,Hip,-234.86789578236562,443.7554143411786,-59.98981514438515,460.8042902389668,548.4059260394031,343.09412314556147,488.41611089501794,252.96769887702666
Squat BW,Knee,-848.4133019530882,911.9810486540257,410.8208393290179,521.4569558896867,-960.6487659866107,1371.3893420184543,-549.8279266575928,1246.4816186834755
Squat BW,Ankle,171.11063634723632,64.52259204063805,-202.21935162966793,222.74967014792102,-235.83334374016113,202.6157505882505,-438.05269536982905,311.3558374037283
Squat 35kg,Hip,318.7895830952016,534.403865085783,161.28151272166633,433.6806895780339,1268.358304362791,470.06954503754383,1429.6398170844573,596.2920307143668
Squat 35kg,Knee,-730.9638205052242,942.0674108404786,1002.1043887102719,1028.9274901934116,-1001.6792796155037,1581.9612137217832,0.42510909476823144,930.9001123402237
Squat 35kg,Ankle,260.5394105338378,64.15879241714633,-115.41670303809269,244.16332568553952,178.59159013875978,243.44258209069412,63.17488710066709,246.6191873840254
