,t0,tf,p_l
0,0.189,0.463,[-0.33526382  0.          0.0662222 ]
1,,,[0. 0. 0.]
2,0.5640000000000001,0.8250000000000001,[0.07951815 0.         0.05470862]
3,,,[0. 0. 0.]
4,0.928,,[0.20151339 0.         0.01850525]
