mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
perbrev_l,0.0674414,0.0988353,0.110336,0.0854431,0.146943,0.140729,0.0582857,0.0828064,
perlong_l,0.56889,0.0699101,0.0932889,0.034975,0.189924,0.525777,0.0231791,0.0557123,
piri_l,0.0658889,0.075903,0.064265,0.114393,0.0325674,0.0917345,0.115656,0.0838052,
psoas_l,0,0,0.00253752,0.00510063,0.0101384,0.955647,0.253856,0.0665523,
recfem_l,0.0856899,0.600937,4.8908e-05,0.123964,0,0.0708743,0.0147456,0.0714441,
sart_l,0.0855522,0.600643,0,0.123641,0.00233673,0.0707783,0.0143331,0.0712358,
semimem_l,0.0248624,0.0317524,0.19952,0.0889689,0.00181101,0.110577,0.133258,0.0102623,
semiten_l,0.0248612,0.0317501,0.199518,0.0889687,0.00181877,0.110585,0.133244,0.0102635,
soleus_l,0.0507048,0.0172634,0,0.00255195,0.0387844,0.0187464,0,0,
tfl_l,0.0857425,0.600971,0,0.124181,0,0.0709671,0.0148623,0.0712947,
tibant_l,0.00465622,0.332425,0.0132322,0.369038,0.0272717,0.00694168,0.231709,0.0536592,
tibpost_l,0.0573208,0.0110194,7.87388e-05,0.00276309,0.00501356,0,0,0.0449254,
vasint_l,0,0,0,0.000117067,0,0,0,0.999362,
vaslat_l,0.00516068,0.0334468,0.0276312,0.459386,0.0688839,0.179177,0.120008,0.00929777,
vasmed_l,0.00515363,0.03345,0.0276307,0.459383,0.0688796,0.179177,0.120012,0.00929544,
