mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
glmax3_l,0.00204034,0.0867582,0.0510711,0.00307095,0.396076,0.0559552,0.0133078,0.00312637,
glmed1_l,0.0378902,0.037016,0.0212713,0.0441412,0.048955,0.0175548,0.0274534,0.0383441,
glmed2_l,0.0465598,0.019739,0.0156233,0.0149481,0.0479167,0.0253316,0.0263521,0.0251928,
glmed3_l,0.0291799,0.0171819,0.00996836,0.0477409,0.0352148,0.0128795,0.0144949,0.0414818,
glmin1_l,0.0233115,0.0446892,0.0186453,0.0269219,0.0114226,0.0286839,0.044352,0.0482917,
glmin2_l,0.00599572,0.0198464,0.0461391,0.00902087,0.00383793,0.0251614,0.0383926,0.00114115,
glmin3_l,0.0204837,0.0458354,0.0367443,0.0139167,0.00976802,0.01986,0.0207201,0.0426313,
grac_l,0.0346938,0.0294593,0.0396,0.0205574,0.0437809,0.0444634,0.00686821,0.0112456,
iliacus_l,0.0216862,0.00815588,0.0403494,0.00210019,0.0122851,0.03104,0.04696,0.0158544,
perbrev_l,0.0121242,0.0121028,0.0418098,0.034543,0.0344679,0.0411377,0.0308138,0.011889,
perlong_l,0.0483891,0.0255254,0.00981163,0.0421351,0.00104276,0.0288052,0.020184,0.0244686,
piri_l,0.0144915,0.0259465,0.00390574,0.021119,0.0178501,0.0277092,0.00381776,0.0318183,
psoas_l,0.00140648,0.0399569,0.00517361,0.0203734,0.0341833,0.0191308,0.0175164,0.0460642,
recfem_l,0.0130155,1.80319e-09,2.27843e-10,1.24599e-07,0.00579262,0.108714,1.04022e-25,0.000401964,
sart_l,0.0130155,1.80917e-09,2.2803e-10,1.74936e-07,0.0057926,0.108714,7.93915e-26,0.000401935,
semimem_l,8.41141e-09,0.00409296,7.16887e-06,0.00131742,0.00158639,0.0247135,0.401502,2.69824e-06,
semiten_l,6.77126e-07,0.00416016,0.000132819,0.00128411,0.00149663,0.0246702,0.401503,1.06915e-05,
soleus_l,0.0179807,0.0297176,0.0228775,0.0269675,0.0173823,0.0136041,0.00923627,0.0432208,
tfl_l,0.0130155,1.81903e-09,2.2795e-10,2.19061e-07,0.0057926,0.108714,1.48613e-25,0.00040191,
tibant_l,0.0329743,0.0208882,0.0262218,0.0437696,0.00630868,0.0308611,0.027204,0.00714093,
tibpost_l,0.043809,0.0213025,0.0335807,0.00462961,0.0283871,0.0306764,0.0101223,0.0360019,
vasint_l,0.0263244,0.0349483,0.00015148,0.0140967,0.0453737,0.0356005,0.0221993,0.0111265,
vaslat_l,8.31015e-39,0.221583,2.25129e-19,4.553e-19,1.64219e-10,0.0117639,0.020837,5.1848e-44,
vasmed_l,2.48866e-38,0.221583,8.17681e-18,5.63808e-18,7.29286e-11,0.0117639,0.020837,7.84727e-44,
