time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,
3.6,16.5737,2226.8,99.3604,-2223.53,7.83094,-289.326,-52.6497,-48.9451,-0.0148892,2501.85,4.09735,-2062.32,-0.457473,-242.769,6.52552,-1331.79,
3.605,30.7942,2262.14,64.296,-1921.33,18.5096,-303.522,-57.7323,-54.7763,-0.0123558,2479.72,4.09484,-1936.33,-0.459957,-254.695,6.54469,-1296.75,
3.61,-10.6636,2149.19,100.302,-1854.04,15.7638,-285.574,-57.0458,-50.635,-6.97612,2573.64,1.37359,-1753.41,2.00588,-282.008,6.2557,-1294.63,
3.615,-24.4623,2532.36,106.604,-1974.16,16.1569,-325.027,-55.73,-49.2442,-9.48638,2619.42,1.46623,-1989.39,2.59732,-264.67,6.38792,-1361.05,
3.62,-29.9541,2398.71,111.401,-2015.17,14.8074,-304.648,-53.7081,-47.7039,-9.66985,2537.36,0.164262,-1896.87,2.86116,-239.254,6.57303,-1376.28,
3.625,-31.7547,2272.58,114.054,-1741.67,13.3774,-291.671,-52.9053,-49.1801,-11.2771,2812.09,0.436923,-1616.38,3.08924,-315.081,6.4013,-1315.93,
3.63,-30.9965,2738.74,113.92,-1749.66,13.2546,-368.332,-52.451,-48.5907,-12.1203,2616.63,0.47153,-1832.85,3.19264,-235.527,6.50205,-1419.69,
3.635,-29.0857,2299.47,112.457,-1990.44,14.023,-282.991,-48.8538,-43.746,-13.0902,2838.01,0.650755,-1675.85,3.31153,-288.311,6.60641,-1374.1,
3.64,-27.0856,2638.97,111.286,-1994.18,14.8265,-320.334,-44.4085,-39.2577,-14.012,2841.05,0.838824,-1793.45,3.42104,-260.978,6.74889,-1463.65,
3.645,-26.2393,2562.92,112.634,-1843.11,14.1844,-322.158,-44.8585,-42.1609,-14.9285,2956.54,1.04433,-1583.31,3.52426,-289.78,6.91693,-1411.19,
3.65,-25.7737,2808.57,114.546,-1969.96,13.3054,-328.587,-40.5347,-36.6983,-15.8637,2916.13,1.28239,-1713.31,3.6209,-259.497,7.09358,-1530.88,
3.655,-24.1216,2758.91,115.457,-1792.38,12.4612,-332.869,-42.4411,-40.2055,-16.8156,3008.41,1.55577,-1528.62,3.709,-303.618,7.27687,-1425.83,
3.66,-23.7169,2834.22,115.511,-1941.73,14.0136,-310.846,-38.0962,-34.1668,-17.7734,3041.87,1.90786,-1623.13,3.78293,-283.405,7.46556,-1543.2,
3.665,-22.0508,3101.15,116.465,-1592.98,13.3109,-387.801,-41.8185,-39.8002,-18.7343,3011.09,2.27896,-1519.12,3.8427,-277.696,7.65867,-1518.07,
3.67,-20.2576,2788.5,117.347,-1788.03,12.6787,-317.837,-36.8305,-32.9584,-19.6884,3202.74,2.66687,-1443.88,3.88579,-307.625,7.85426,-1549.4,
3.675,-19.1279,3009.3,117.511,-1792.41,13.9329,-339.555,-34.8428,-31.731,-20.636,3166.11,3.06563,-1537.8,3.92513,-298.208,8.04981,-1560.37,
3.68,-16.4401,3050.11,118.319,-1871.22,12.7081,-315.104,-36.0539,-31.6321,-21.573,3134.87,3.4697,-1559.6,3.96812,-276.6,8.23937,-1629.08,
3.685,-14.6808,3065.46,118.089,-1669.16,14.2579,-338.161,-35.0215,-31.3041,-22.4874,3249.18,3.8734,-1452.65,4.01191,-316.068,8.42875,-1584.83,
3.69,-11.5474,3209.85,118.199,-1748.12,13.9727,-337.519,-32.4956,-30.2964,-23.3676,3226.33,4.27012,-1439.56,4.05958,-309.454,8.6221,-1630.72,
3.695,-8.01994,3080.15,117.976,-1672.46,13.9802,-333.341,-32.2528,-30.8498,-24.213,3289.28,4.64887,-1462.79,4.11671,-310.943,8.87109,-1651.47,
3.7,-4.25329,3120.05,117.339,-1721.57,14.5769,-323.134,-30.8053,-27.7757,-25.0103,3195.14,5.00572,-1404.86,4.17864,-299.86,8.97881,-1659.97,
3.705,-0.0852623,3157.01,116.717,-1634.92,14.9068,-345.716,-33.6519,-29.3712,-25.7494,3386.55,5.33895,-1430.54,4.23483,-325.036,9.13997,-1709.89,
3.71,2.13374,3149.53,116.827,-1667.48,15.7288,-340.901,-33.7618,-28.0111,-26.4168,3230.95,5.65237,-1364.94,4.2831,-302.517,9.28612,-1703.41,
3.715,10.9992,3052.08,114.137,-1678.45,15.7298,-328.98,-34.9366,-28.0108,-26.9893,3381.76,5.9575,-1372.38,4.32656,-319.645,9.41642,-1758.09,
3.72,18.2385,3143.01,112.159,-1622.43,16.032,-355.631,-35.8698,-28.0778,-27.4481,3317.02,6.2668,-1351.92,4.33844,-309.947,9.53339,-1763.67,
3.725,24.3092,2998.13,110.333,-1646.06,17.0813,-326.99,-34.7464,-26.8156,-27.8419,3314.62,6.55089,-1348.44,4.35068,-299.526,9.64311,-1801.17,
3.73,29.9675,3186.17,108.563,-1586.09,17.3106,-349.677,-31.0506,-25.1301,-28.129,3389.13,6.7755,-1285.35,4.37043,-318.162,9.77239,-1857.63,
3.735,37.7025,3318.23,107.487,-1512.13,18.3886,-392.733,-29.4689,-27.4619,-28.2383,3668.3,6.9744,-1303.04,4.36916,-365.84,9.94636,-1906.19,
3.74,43.8027,2900.92,105.645,-1595.86,19.0971,-321.501,-27.6441,-27.1714,-27.6365,3101.71,6.98439,-1353.87,4.36809,-253.96,9.46741,-1850.43,
3.745,49.6917,2929.47,104.312,-1532.06,19.5783,-340.549,-26.3438,-27.9469,-28.233,3290.51,7.34064,-1282.82,4.36179,-298.478,10.2864,-1882.16,
3.75,54.6958,3442.83,103.577,-1666.92,19.4297,-384.329,-24.5991,-24.112,-28.0914,3857.61,7.43202,-1155.35,4.37425,-414.629,10.3802,-1992.4,
3.755,59.3895,2691.52,102.701,-1561.3,19.6081,-295.751,-29.5359,-30.4163,-27.7386,3055.27,7.54527,-1213.94,4.39835,-273.074,10.2991,-1876.56,
3.76,64.8929,3109.67,100.388,-1540.58,21.8924,-372.703,-29.0391,-27.3357,-27.1113,3352.92,7.57712,-1334.17,4.43443,-328.786,9.93227,-1888.86,
3.765,69.1029,2781.04,98.8904,-1561.55,23.3744,-311.91,-31.0502,-29.3905,-26.2368,3139.08,7.51182,-1226.37,4.48268,-295.694,9.28188,-1900.07,
3.77,72.3295,3219.19,97.8177,-1499.07,24.5354,-384.173,-31.8718,-28.2785,-25.2647,3506.88,7.39735,-1202,4.541,-377.42,8.49977,-1955.09,
3.775,74.639,2791.02,97.0633,-1518.09,25.5155,-321.494,-33.9295,-29.6203,-24.3557,3133.04,7.27798,-1299.2,4.60667,-294.627,7.73434,-1914.51,
3.78,76.0623,2877.74,96.5952,-1507.58,26.3382,-338.201,-33.679,-27.0452,-23.5843,3113.45,7.17506,-1234.61,4.67816,-303.365,7.07051,-1920.37,
3.785,76.6395,3068.39,96.378,-1484.78,27.0253,-360.124,-33.7781,-27.8578,-22.9753,3423.04,7.09478,-1190.3,4.75529,-382.76,6.53384,-1936.07,
3.79,76.4202,2710.16,96.38,-1524.62,27.5948,-310.284,-33.7687,-28.2475,-22.5308,3002.26,7.03676,-1198.53,4.83802,-290.834,6.12974,-1909.1,
3.795,75.4569,3027.47,96.5757,-1478.27,28.0552,-364.219,-31.437,-24.4655,-22.2331,3370.8,6.99613,-1183.68,4.92693,-367.822,5.83595,-1919.08,
3.8,73.8208,2683.78,96.9548,-1496.08,28.411,-319.04,-34.4151,-30.3892,-22.0658,3028.14,6.96798,-1233.72,5.02282,-298.958,5.6478,-1875.59,
3.805,71.5841,2983.43,97.4841,-1457.31,28.6762,-360.586,-27.268,-24.1944,-22.0129,3289.26,6.94881,-1158.23,5.12584,-358.633,5.53961,-1877.13,
3.81,68.8212,2692.05,98.1457,-1454.84,28.8544,-328.146,-31.0198,-28.5387,-22.0617,3041.79,6.9349,-1201.09,5.23651,-310.885,5.50283,-1830.75,
3.815,65.6156,2887.86,98.9203,-1406.24,28.9593,-351.657,-32.3647,-27.0264,-22.1998,3150.39,6.92345,-1179,5.35486,-335.363,5.5326,-1821.12,
3.82,62.0586,2839.15,99.7937,-1404.71,28.9869,-353.597,-31.4411,-26.1693,-22.4165,3124.29,6.91236,-1238.46,5.48092,-329.734,5.61087,-1791.87,
3.825,58.2247,2713.53,100.743,-1413.94,28.9574,-308.424,-31.7232,-25.8235,-22.7,3015.6,6.89889,-1191.9,5.61461,-287.223,5.73026,-1793.96,
3.83,54.1951,2934.88,101.759,-1338.35,28.8779,-403.003,-34.6245,-28.694,-23.0404,3261.9,6.88165,-1088.05,5.75542,-423.692,5.88267,-1695.06,
3.835,50.0499,2612.43,102.809,-1479.15,28.7617,-259.284,-30.1894,-22.382,-23.4271,2930.62,6.85974,-1186.64,5.90238,-258.86,6.05966,-1758.54,
3.84,45.8698,2893.58,103.888,-1272.42,28.6151,-414.118,-31.8151,-30.3339,-23.8512,3245.01,6.83135,-1036.98,6.05514,-442.523,6.25597,-1630.93,
3.845,41.7112,2683.48,104.978,-1419.06,28.4583,-298.499,-22.4465,-21.6712,-24.3033,2964.15,6.7967,-1229.32,6.21199,-285.877,6.4632,-1672.15,
3.85,37.6355,2678.34,106.069,-1291.13,28.293,-335.862,-29.9353,-28.1024,-24.7759,2918.12,6.75516,-1125.96,6.37199,-324.56,6.67896,-1597.62,
3.855,33.6991,2752.91,107.148,-1290.8,28.1376,-342.504,-22.749,-19.6957,-25.2624,3070.56,6.70691,-1312.93,6.53351,-315.647,6.89579,-1596.32,
3.86,29.9452,2991.48,108.217,-1239.54,27.997,-382.42,-33.5313,-34.0273,-25.7561,3184.07,6.6526,-870.768,6.69512,-454.484,7.11223,-1522.77,
3.865,26.4073,2439.19,109.249,-1382.22,27.8868,-253.736,-27.7192,-17.0851,-26.251,2923.71,6.59425,-1135.22,6.85478,-283.716,7.32557,-1593.08,
3.87,23.1178,2898.55,110.249,-1212.64,27.8045,-394.621,-30.8322,-24.7557,-26.7422,3103.78,6.53172,-1148.05,7.01137,-399.574,7.53328,-1431.63,
3.875,20.0792,2579.09,111.205,-1226.65,27.7623,-290.653,-30.9095,-23.0709,-27.2247,2852.59,6.46559,-1108.5,7.16378,-305.333,7.73299,-1457.61,
3.88,17.2974,2766.16,112.122,-1196.69,27.7564,-366.193,-29.3404,-23.583,-27.6936,3027.21,6.39731,-1120.44,7.31026,-361.388,7.92121,-1391.59,
3.885,14.7686,2538.74,112.985,-1194.67,27.786,-301.433,-27.2255,-22.9993,-28.1451,2859.65,6.32744,-1059.81,7.45005,-315.041,8.10174,-1381.74,
3.89,12.474,2841.31,113.789,-1172.61,27.8569,-386.454,-26.0876,-22.0896,-28.5767,3084.53,6.25646,-1163.58,7.58268,-386.03,8.26986,-1298.5,
3.895,10.3991,2511.19,114.537,-1174.72,27.9571,-298.737,-26.03,-22.2667,-28.9854,2757.77,6.18476,-1018.7,7.70814,-316.745,8.4262,-1275.76,
3.9,8.5218,2722.03,115.228,-1142.13,28.0843,-357.884,-26.5616,-21.7002,-29.37,3009.92,6.11201,-1111.89,7.82752,-356.779,8.56999,-1248.71,
3.905,6.79898,2508.72,115.867,-1167.76,28.2281,-325.171,-26.2881,-20.5963,-29.7308,2828.03,6.03759,-1046.56,7.94359,-331.387,8.69935,-1199.26,
3.91,5.21261,2656.89,116.443,-1145.65,28.3859,-340.046,-25.5432,-20.5159,-30.0653,2976.79,5.96159,-1045.56,8.05599,-355.476,8.81124,-1180.76,
3.915,3.74884,2556.04,116.96,-1127.45,28.5536,-338.493,-25.2011,-20.6275,-30.3735,2848.38,5.88381,-1049.07,8.16592,-341.162,8.90106,-1113.64,
3.92,2.39942,2484.61,117.428,-1100.74,28.7099,-316.177,-21.5283,-21.092,-30.6523,2826.24,5.80665,-990.551,8.27135,-320.179,8.98029,-1104.83,
3.925,1.13211,2698.09,117.835,-1099.58,28.8651,-369.848,-20.7194,-21.7961,-30.9012,2984.24,5.73025,-1059.73,8.37325,-389.917,9.03226,-1017.06,
3.93,-0.0580559,2406.12,118.183,-1086.64,29.0065,-301.129,-17.7087,-20.1093,-31.1191,2757.45,5.65432,-949.599,8.47255,-296.413,9.05541,-1041.93,
3.935,-1.18465,2616.89,118.468,-1119.04,29.1267,-359.899,-16.8928,-19.2536,-31.3053,2907.6,5.57929,-1014.9,8.56992,-388.26,9.04962,-922.668,
3.94,-2.2644,2453.62,118.718,-1036.49,29.2353,-323.093,-19.9459,-21.5197,-31.4601,2795.09,5.50519,-949.646,8.66615,-319.995,9.01542,-944.068,
3.945,-3.29264,2530.83,118.919,-1090.8,29.3264,-340.852,-20.6273,-18.6404,-31.5828,2838.09,5.43235,-975.825,8.762,-350.181,8.95204,-860.939,
3.95,-4.27905,2368.13,119.079,-990.858,29.403,-312.604,-25.4387,-23.3018,-31.6859,2768.96,5.36342,-920.44,8.85716,-322.108,8.86044,-846.574,
3.955,-5.21846,2662.25,119.204,-1035.45,29.4611,-373.703,-24.1936,-20.7455,-31.7662,2868.93,5.29814,-981.503,8.95192,-377.732,8.7412,-755.608,
3.96,-6.11804,2221.19,119.295,-985.888,29.5149,-295.415,-25.3495,-21.9307,-31.8177,2702.7,5.23494,-904.973,9.04722,-294.618,8.59584,-781.095,
3.965,-6.98116,2626.99,119.348,-999.515,29.5733,-371.108,-22.9717,-19.6736,-31.8415,2827.63,5.17422,-933.727,9.14337,-394.689,8.42623,-646.05,
3.97,-7.78985,2250.74,119.382,-986.354,29.6253,-293.464,-26.3512,-22.7642,-31.8421,2698.04,5.11576,-877.663,9.24094,-306.294,8.23653,-695.479,
3.975,-8.55491,2586.05,119.394,-951.177,29.6854,-367.041,-23.502,-20.6601,-31.8225,2810.15,5.06183,-912.23,9.33853,-381.384,8.03159,-562.398,
3.98,-9.26485,2220.67,119.4,-957.892,29.7481,-295.192,-25.8605,-23.4955,-31.7895,2665.01,5.01139,-856.965,9.43672,-312.722,7.81759,-594.562,
3.985,-9.91914,2562.64,119.404,-934.102,29.8173,-364.438,-28.2757,-24.6667,-31.7473,2782.49,4.96589,-919.199,9.53439,-375.894,7.60068,-488.892,
3.99,-10.5252,2261.2,119.401,-935.981,29.9052,-307.17,-28.5177,-25.5686,-31.7019,2680.45,4.92465,-857.512,9.63138,-329.298,7.38677,-481.248,
3.995,-11.0795,2354.72,119.404,-900.458,30.0031,-334.564,-30.99,-31.338,-31.6583,2642.08,4.88671,-859.561,9.72832,-332.717,7.18068,-430.018,
4,-11.583,2438.23,119.408,-911.095,30.1141,-337.958,-28.9254,-24.5056,-31.62,2710.16,4.85199,-888.957,9.82494,-361.613,6.98579,-359.705,
4.005,-12.0487,2314.5,119.425,-891.807,30.2485,-329.465,-33.9883,-32.6142,-31.5907,2685.11,4.8196,-867.856,9.92152,-337.688,6.8059,-362.65,
4.01,-12.4704,2199.21,119.45,-873.074,30.3924,-310.289,-31.4319,-28.1372,-31.5716,2517.57,4.78932,-785.261,10.0183,-325.401,6.64155,-272.649,
4.015,-12.8517,2481.88,119.496,-879.459,30.5456,-350.39,-34.2932,-32.4667,-31.5651,2761.02,4.76009,-909.279,10.1159,-367.069,6.49366,-266.331,
4.02,-13.1958,2223.88,119.55,-854.734,30.7105,-319.716,-34.3864,-31.8574,-31.5703,2554.95,4.73232,-801.381,10.2139,-330.988,6.36125,-217.582,
4.025,-13.5014,2217.67,119.625,-857.082,30.8783,-316.749,-36.9304,-33.9339,-31.5874,2563.72,4.70528,-795.753,10.3136,-329.408,6.24292,-187.447,
4.03,-13.7749,2409.65,119.719,-853.21,31.0508,-346.679,-38.8454,-35.4486,-31.616,2667.06,4.67873,-859.212,10.4149,-362.819,6.13772,-132.562,
4.035,-14.0161,2160.33,119.829,-845.04,31.2257,-310.828,-36.8148,-33.3167,-31.6545,2531.33,4.65296,-771.893,10.5179,-326.299,6.0438,-116.929,
4.04,-14.2259,2268.59,119.958,-839.049,31.4026,-328.591,-38.943,-36.5934,-31.7024,2593.22,4.62753,-815.743,10.6233,-343.069,5.95928,-71.0476,
4.045,-14.4026,2221.42,120.103,-823.543,31.5777,-324.01,-40.2421,-37.6308,-31.7578,2525.58,4.60155,-778.93,10.7291,-337.932,5.8833,-26.4693,
4.05,-14.5543,2243.06,120.27,-827.167,31.7566,-322.129,-40.3732,-37.6104,-31.8211,2570.98,4.57691,-799.925,10.8388,-347.257,5.81386,-0.193481,
4.055,-14.6692,2114.87,120.462,-806.339,31.9283,-308.219,-43.8054,-41.6578,-31.8912,2466.05,4.55255,-752.506,10.9508,-326.809,5.74993,32.827,
