time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.25,2.72971e-16,0.253481,0.00401434,0.0661001,1.26117e-44,0.178731,0.0745398,0.23072,
0.255,4.60869e-19,0.265186,0.00388265,0.0670871,1.4013e-44,0.169665,0.0734221,0.231114,
0.26,9.23432e-16,0.272895,0.00389989,0.066916,1.68156e-44,0.158311,0.0734373,0.227123,
0.265,4.74097e-07,0.27581,0.00412301,0.0656535,3.22299e-44,0.145832,0.0746136,0.219678,
0.27,0.0154915,0.274834,0.00606696,0.0608048,1.60735e-27,0.128491,0.0717011,0.20704,
0.275,0.0189773,0.267873,0.00729885,0.0570744,2.25086e-10,0.115964,0.0733604,0.19614,
0.28,0.0164681,0.251688,5.44758e-09,0.0528019,0.0232355,0.106393,0.0861698,0.185714,
0.285,0.0172718,0.236635,9.13355e-21,0.0485215,0.0300545,0.0979487,0.0908867,0.17711,
0.29,0.0171512,0.220489,1.8689e-28,0.0448558,0.0364541,0.0916993,0.0958787,0.170875,
0.295,0.0161383,0.204479,1.1646e-30,0.0422819,0.0419433,0.087408,0.100669,0.16757,
0.3,0.0144352,0.189749,3.5337e-29,0.0411282,0.0461119,0.0846742,0.104722,0.167434,
0.305,0.00675942,0.176266,1.85612e-25,0.0424381,0.0519393,0.0845083,0.108686,0.17126,
0.31,4.98681e-10,0.167283,7.01779e-19,0.0452517,0.0542822,0.0846133,0.110925,0.176914,
0.315,3.17769e-13,0.164667,1.55926e-13,0.0489908,0.0523581,0.0831832,0.110271,0.182337,
0.32,4.57583e-09,0.168602,6.72946e-10,0.0544891,0.049017,0.0818049,0.108283,0.18756,
0.325,0.0103498,0.181546,5.57613e-07,0.0601595,0.0397106,0.0777785,0.10325,0.189326,
0.33,0.0148318,0.200939,0.00351961,0.0679729,0.0287665,0.0753497,0.0949681,0.190213,
0.335,0.0250802,0.229736,0.0138825,0.0760911,0.00169585,0.072004,0.0781359,0.187886,
0.34,0.0294542,0.256864,1.09436e-09,0.0844091,2.43185e-15,0.07315,0.0904011,0.181028,
0.345,0.0361429,0.285195,8.40779e-45,0.090765,7.37621e-37,0.0723642,0.0869531,0.172326,
0.35,0.0436322,0.312311,5.60519e-45,0.0951938,2.52234e-44,0.0725235,0.0847052,0.162095,
0.355,0.051254,0.33561,4.2039e-45,0.0972741,1.82169e-44,0.0737983,0.084031,0.15188,
0.36,0.0583988,0.353076,4.2039e-45,0.096794,1.54143e-44,0.0763286,0.0850324,0.143267,
0.365,0.064524,0.363052,4.2039e-45,0.0937711,1.54143e-44,0.0801842,0.0875146,0.137791,
0.37,0.0691876,0.364349,5.60519e-45,0.0884234,1.68156e-44,0.0852971,0.0909919,0.136826,
0.375,0.0721084,0.356507,7.00649e-45,0.0811238,1.96182e-44,0.0914028,0.0947712,0.141363,
0.38,0.0731727,0.339925,1.12104e-44,0.0724232,2.66247e-44,0.0981103,0.0981503,0.151744,
0.385,0.0723647,0.315779,1.97951e-31,0.0630436,7.28675e-43,0.104974,0.100583,0.167519,
0.39,0.0705767,0.28594,0.00879854,0.0534109,3.56305e-37,0.109902,0.0913536,0.187794,
0.395,0.0668369,0.252947,0.0128965,0.0449712,3.16693e-43,0.115029,0.0862505,0.209406,
0.4,0.0619077,0.21955,0.0169253,0.0381212,2.94273e-44,0.119236,0.0797624,0.2301,
0.405,0.056178,0.188116,0.0205619,0.0332163,1.96182e-44,0.122411,0.0723137,0.247698,
0.41,0.0499841,0.160225,0.0235162,0.0304281,1.54143e-44,0.124457,0.0644189,0.260659,
0.415,0.0436644,0.136942,0.0255743,0.029703,1.4013e-44,0.12528,0.0566757,0.267949,
0.42,0.0375532,0.118932,0.0266219,0.0307976,1.26117e-44,0.124841,0.0497688,0.268959,
0.425,0.0319457,0.106363,0.0266129,0.0333629,1.4013e-44,0.123256,0.0444157,0.263464,
0.43,0.0270651,0.0989389,0.0255738,0.0370322,1.68156e-44,0.120761,0.0412133,0.251654,
0.435,0.0231004,0.0960074,0.0236052,0.0414019,3.50325e-44,0.117699,0.0404365,0.234272,
0.44,0.0202124,0.0966217,0.0209056,0.0459641,5.41324e-30,0.114458,0.0419657,0.212906,
0.445,0.0185332,0.0996931,0.017772,0.0501132,1.97997e-10,0.111402,0.0453191,0.189803,
0.45,0.00991271,0.0967167,1.4997e-05,0.0533399,0.0330928,0.110858,0.0671998,0.16696,
