time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,knee_adduction_r,knee_adduction_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,knee_adduction_l,knee_adduction_l_id,ankle_angle_l,ankle_angle_l_id,
0.16,5.26517,3.03636,5.86697,5.90414,-5.59171,-3.08681,1.7248,0.733758,-0.910554,-1.58524,-4.82641,-12.0475,11.8435,3.06638,9.56729,17.3565,-6.55504,-2.57427,-1.51523,-13.7007,2.70071,16.1769,-15.5507,-29.4383,
0.165,5.80071,3.06772,6.27876,5.91811,-5.78217,-3.10326,1.92323,0.68249,-0.911565,-1.55683,-4.951,-12.1884,12.5778,3.12461,9.82231,17.2368,-6.68199,-2.56594,-1.52328,-13.626,2.70052,16.16,-15.558,-29.4062,
0.17,5.89822,3.08799,6.2406,5.83927,-5.91828,-3.1163,2.50726,0.655082,-0.863811,-1.57313,-4.92248,-12.3263,13.5162,3.16458,10.0549,17.1052,-6.91662,-2.55841,-1.53084,-13.5573,2.69936,16.1443,-15.5932,-29.3775,
0.175,6.03273,3.09823,6.54324,5.67918,-6.04802,-3.12293,2.78548,0.650046,-0.817865,-1.63141,-4.98016,-12.4636,13.976,3.19106,10.0863,16.9935,-7.00852,-2.55164,-1.54032,-13.5023,2.69635,16.1451,-15.6186,-29.3545,
0.18,5.79016,3.12322,6.64829,5.47989,-6.0868,-3.1249,3.41406,0.671808,-0.796953,-1.70557,-5.10328,-12.5969,14.0205,3.19437,9.92107,16.9104,-6.98882,-2.54372,-1.54893,-13.4666,2.69227,16.1557,-15.6279,-29.3369,
0.185,5.72405,3.17494,6.97638,5.27403,-6.1921,-3.12668,4.08725,0.721884,-0.793001,-1.77583,-5.20011,-12.7175,14.2751,3.17599,10.0108,16.8616,-7.02346,-2.53592,-1.56241,-13.451,2.68521,16.171,-15.6466,-29.3235,
0.19,5.53746,3.24954,7.28177,5.09565,-6.26361,-3.13197,4.78361,0.792831,-0.773734,-1.8271,-5.24838,-12.8184,14.4293,3.13956,10.1454,16.8326,-7.03821,-2.53411,-1.5789,-13.449,2.67614,16.1796,-15.6789,-29.3094,
0.195,5.15813,3.33159,7.51569,4.97448,-6.27578,-3.14093,5.32668,0.870727,-0.788805,-1.85198,-5.29133,-12.8967,14.3585,3.08426,10.2986,16.8128,-7.0061,-2.5391,-1.60231,-13.4564,2.66172,16.1756,-15.7252,-29.2924,
0.2,4.82473,3.40844,7.8409,4.93205,-6.34406,-3.15552,5.98835,0.941976,-0.807118,-1.84495,-5.30764,-12.956,14.3633,3.01044,10.7092,16.8171,-7.04453,-2.54803,-1.63259,-13.4788,2.64002,16.1664,-15.8042,-29.2782,
0.205,4.68287,3.46966,8.39182,4.97825,-6.47333,-3.17729,6.4146,0.995053,-0.865628,-1.80321,-5.30993,-13.0033,14.2256,2.92851,11.2873,16.8599,-7.08851,-2.55874,-1.67687,-13.5165,2.60935,16.1665,-15.9033,-29.2702,
0.21,3.94941,3.49579,8.7512,5.10602,-6.47547,-3.20214,6.49088,1.01966,-0.900479,-1.73383,-5.21397,-13.0452,13.3502,2.83241,11.6559,16.9539,-6.99485,-2.56817,-1.72604,-13.5775,2.55951,16.184,-15.9993,-29.2754,
0.215,3.48059,3.46812,8.8649,5.28547,-6.43453,-3.22081,6.95608,1.0141,-0.958656,-1.65327,-5.11704,-13.0864,12.3534,2.71219,12.0875,17.0834,-6.84514,-2.5745,-1.78866,-13.6616,2.49851,16.2092,-16.1015,-29.2952,
0.22,2.91274,3.40032,9.26715,5.45781,-6.47949,-3.22836,6.8269,1.0057,-1.08337,-1.58189,-5.08755,-13.117,11.4754,2.56378,12.7945,17.2231,-6.80835,-2.57972,-1.86698,-13.7624,2.41618,16.2288,-16.2393,-29.3297,
0.225,2.55302,3.32629,9.74355,5.59168,-6.58407,-3.22752,6.52724,1.02238,-1.24277,-1.52455,-5.11747,-13.1289,10.5471,2.41618,13.5416,17.3649,-6.80291,-2.58637,-1.95859,-13.8611,2.31401,16.2502,-16.3892,-29.3707,
0.23,2.23809,3.26558,10.1092,5.68629,-6.66166,-3.2225,6.12826,1.07284,-1.45991,-1.48044,-5.23018,-13.1202,9.33375,2.29219,14.1547,17.5035,-6.76355,-2.59575,-2.06323,-13.9436,2.19034,16.2779,-16.5257,-29.4116,
