mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.0508036,0.12545,0.128758,0.141605,
addlong_r,0.0103389,0.0175147,0.0458721,0.0824662,
addmagDist_r,0.0501598,0.0341287,0.0801284,0.0884481,
addmagIsch_r,0.0494731,0.10164,0.0185583,0.0700332,
addmagMid_r,0.0374319,0.0571873,0.0901801,0.0823093,
addmagProx_r,0.111995,0.0401948,0.073286,0.00800317,
bflh_r,0.00108054,0.0339478,0.0687212,0.0926948,
bfsh_r,0.0716447,0.0577006,0.00898824,0.109671,
edl_r,0.0903523,0.0329544,0.0119225,0.11687,
ehl_r,0.0488234,0.104896,0.0398238,0.0842104,
fdl_r,0.115719,0.0369433,0.0989703,0.102413,
fhl_r,0.0192863,0.0790817,0.0306169,0.0895536,
gaslat_r,0.0350971,0.0440839,0.0867729,0.0700698,
gasmed_r,0.0683298,0.0373606,0.0739083,0.0945119,
glmax1_r,0.0536166,0.0599209,0.0898061,0.0395377,
glmax2_r,0.0283733,0.0484223,0.0191552,0.00637651,
glmax3_r,0.0174867,0.114626,0.101116,0.101847,
glmed1_r,0.0561706,0.0261215,0.0158275,0.0860518,
glmed2_r,0.0498197,0.00622926,0.067985,0.0481931,
glmed3_r,0.00899998,0.0777608,0.0500649,0.0326931,
glmin1_r,0.0675602,0.0661391,0.100007,0.0490754,
glmin2_r,0.0840947,0.0517244,0.0132635,0.0703916,
glmin3_r,0.0710335,0.0792462,0.0541676,0.0370556,
grac_r,0.0663893,0.113079,0.057094,0.111615,
iliacus_r,0.0836972,0.0104087,0.0251362,0.0562042,
perbrev_r,0.0509308,0.125437,0.128532,0.141567,
perlong_r,0.0797315,0.0188511,0.0153245,0.0744527,
piri_r,0.0487053,0.0781071,0.114594,0.0912725,
psoas_r,0.0295901,0.0751728,0.0987258,0.0232284,
recfem_r,0.0724412,0.0293326,0.0258391,0.114211,
sart_r,0.0988123,0.0700347,0.0717497,0.0997084,
semimem_r,0.0508184,0.125449,0.128731,0.141601,
semiten_r,0.0507932,0.125452,0.128776,0.141608,
soleus_r,0.105078,0.0419405,0.0145214,0.0685549,
tfl_r,0.0604767,0.0595398,0.0957576,0.0121622,
tibant_r,0.0973943,0.0668723,0.116972,0.0630033,
tibpost_r,0.0508438,0.125445,0.128687,0.141594,
vasint_r,0.108901,0.0964089,0.0404131,0.0105604,
vaslat_r,0.0339621,0.0164251,0.0393692,0.0697824,
vasmed_r,0.0639367,0.0655193,0.0542687,0.0961292,
addbrev_l,0.19675,0.0726212,0.0778076,0.172268,
addlong_l,0.111779,0.0497881,0.0623896,0.0651542,
addmagDist_l,0.00379955,0.0896144,0.0666877,0.0625741,
addmagIsch_l,0.0642052,0.0539895,0.0378123,0.0846484,
addmagMid_l,0.104691,0.0887423,0.00529918,0.056642,
addmagProx_l,0.027098,0.04725,0.0157754,0.029072,
bflh_l,0.106322,0.0399345,0.0584751,0.0796107,
bfsh_l,0.0762318,0.057343,0.0588558,0.0377579,
edl_l,0.049638,0.050052,0.0571979,0.104135,
ehl_l,0.0488553,0.0838248,0.0421561,0.0463667,
fdl_l,0.112338,0.0442583,0.106803,0.00664599,
fhl_l,0.0654957,0.0889509,0.0586849,0.0856021,
gaslat_l,0.0345366,0.059803,0.00484377,0.092333,
gasmed_l,0.00346976,0.0392585,0.0600591,0.0383302,
glmax1_l,0.0815505,0.0228206,0.0187633,0.0541056,
glmax2_l,0.0251317,0.0258629,0.0971789,0.0119223,
glmax3_l,0.0359897,0.0871835,0.0615408,0.0891357,
glmed1_l,0.0572828,0.00395568,0.0153552,0.00590024,
glmed2_l,0.00132075,0.0574747,0.00680818,0.0307775,
glmed3_l,0.0848188,0.112605,0.10534,0.0407163,
glmin1_l,0.105939,0.0159148,0.0719905,0.0780438,
glmin2_l,0.0734692,0.0096645,0.0505531,0.0590258,
glmin3_l,0.0497388,0.0814242,0.0479801,0.0132676,
grac_l,0.0916332,0.106097,0.101464,0.104267,
iliacus_l,0.0248989,0.0314747,0.0997962,0.0106002,
perbrev_l,0.196813,0.0727334,0.0775653,0.172198,
perlong_l,0.111482,0.09513,0.0697391,0.0317669,
piri_l,0.0408505,0.081168,0.0280648,0.088141,
psoas_l,0.0500003,0.0997091,0.115548,0.0779255,
recfem_l,0.00833784,0.0724906,0.00184178,0.0743372,
sart_l,0.0288052,0.123865,0.125747,0.12839,
semimem_l,0.0508878,0.125441,0.128609,0.141581,
semiten_l,0.196843,0.0728013,0.0774386,0.172156,
soleus_l,0.0952084,0.0328566,0.109501,0.0770826,
tfl_l,0.0626699,0.0512735,0.0340823,0.0372529,
tibant_l,0.111702,0.00507433,0.0840016,0.00116341,
tibpost_l,0.196938,0.0727662,0.0772252,0.172183,
vasint_l,0.0855713,0.00723163,0.0151264,0.0585774,
vaslat_l,0.115917,0.0129669,0.0575896,0.0818725,
vasmed_l,0.0441862,0.0950832,0.00919714,0.0308673,
