mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.0829909,0.265639,0.0381775,0.259542,
addlong_r,4.45826e-05,0.00126246,0,0,
addmagDist_r,0.212593,0.000322136,0.22732,0.0649006,
addmagIsch_r,0.308049,0,0.239036,0.242707,
addmagMid_r,3.01134e-05,0.00213193,0.0505546,0.0319545,
addmagProx_r,0.0322129,0.000961649,0.00112373,0.00010307,
bflh_r,0.324484,0,0.612698,0.474954,
bfsh_r,0.0590065,0.0552341,0.0382771,0.0297878,
edl_r,0.0160391,0.000217303,0.0517612,0.0827383,
ehl_r,0.0616296,0.000917229,0.107274,0,
fdl_r,0.0718972,0.35023,0.00145274,0.367429,
fhl_r,0.0836731,0.232356,0.118543,0.219471,
gaslat_r,0,0.0939486,0.00062231,0.0434731,
gasmed_r,0.00156713,0.0110752,0.000139194,0.0179699,
glmax1_r,0.0483938,0.00092382,0.14254,0.0285282,
glmax2_r,0.0032896,0.0142994,0.0108712,0.00809575,
glmax3_r,0.0611725,0,0,0.000657252,
glmed1_r,0.000380769,1,0.0891877,0.0856723,
glmed2_r,0.000139762,0.00550108,0.0351905,0.00580475,
glmed3_r,0,0,0,8.27594e-05,
glmin1_r,0.0265394,0.548923,0.208478,0.343369,
glmin2_r,0,0.0674201,0.00997738,0.0432504,
glmin3_r,0,0.00499427,0.00493909,0.00336942,
grac_r,0.000327314,0.000163433,0,0.0407492,
iliacus_r,0.0188317,0.15186,0.013371,0.030969,
perbrev_r,0.0829821,0.265659,0.0381783,0.259541,
perlong_r,0.0886904,0.34015,0.129332,0.306296,
piri_r,0,0.00279565,0.000365269,0.00064032,
psoas_r,0,0.00843128,0,0.0112521,
recfem_r,0.00106456,0.0528218,0.0641699,0.00368215,
sart_r,0.0513504,0.0726922,0.0484601,0.0640782,
semimem_r,0.0829899,0.265641,0.0381776,0.259542,
semiten_r,0.0829917,0.265637,0.0381775,0.259542,
soleus_r,0.00675945,0.0856628,0.013761,0.221981,
tfl_r,0.0578383,0.222425,0.0158798,0.0935504,
tibant_r,0,0,0.0688838,0.00235931,
tibpost_r,0.0829881,0.265645,0.0381778,0.259542,
vasint_r,0.0318764,0.0533551,0.26482,0.0316562,
vaslat_r,0.0166844,0.0637457,0.306184,0.077784,
vasmed_r,0.0266545,0.0514789,0.369237,0.0333789,
addbrev_l,0.17508,0.332811,0.0664073,0.334858,
addlong_l,0.00096338,0.00106045,0.615547,0.0120973,
addmagDist_l,0,0,0.18196,0,
addmagIsch_l,0,0.00717822,0.172912,0.000693482,
addmagMid_l,0.00645343,0.000407058,0.176384,0.0382033,
addmagProx_l,0.0036986,0.0192481,0.246902,0.0291175,
bflh_l,0,0.00285553,0.415834,0.002522,
bfsh_l,0,0,1,0,
edl_l,0.0528508,0.420064,0.00141076,0.00873127,
ehl_l,0.0710841,0.147815,0.1109,0.142319,
fdl_l,0.0924948,0.112368,0.109615,0.100707,
fhl_l,0.100216,0.0987499,0.0285832,0.12062,
gaslat_l,0,0.00133397,0,5.3168e-06,
gasmed_l,0,0.000867779,0.000709835,0,
glmax1_l,0,0.00469287,0,0.0121748,
glmax2_l,0,0,0,0.00223049,
glmax3_l,0,5.3675e-05,0,4.92153e-05,
glmed1_l,0,0.168087,0.0198789,0.068897,
glmed2_l,0.000217709,0.00194535,0,0.00295833,
glmed3_l,0.000690437,0.000139529,0,0,
glmin1_l,0.564694,0.556387,0.465471,0.636099,
glmin2_l,0.0379302,0.0373285,0.00599974,0,
glmin3_l,0.000695073,0.00263305,0,0,
grac_l,0,0,0.957135,0,
iliacus_l,0.177303,0.141132,0.856374,0,
perbrev_l,0.175085,0.332808,0.0664086,0.334856,
perlong_l,0.00056591,0,0.000827238,0.0032,
piri_l,0,0.00145896,0,0.000753724,
psoas_l,0.0713064,0.000700907,0.9387,0.00143694,
recfem_l,0,0,0.000694179,0,
sart_l,0.0657135,0.237481,0.0272745,0.238654,
semimem_l,0.082985,0.265652,0.038178,0.259541,
semiten_l,0.175088,0.332806,0.0664093,0.334854,
soleus_l,0,0.000839312,0,0.135552,
tfl_l,0.0472634,0.0228314,0.148466,0,
tibant_l,0.0493314,0.00156496,0.00120986,0.00135934,
tibpost_l,0.173771,0.333939,0.0647573,0.335025,
vasint_l,0,0.0022416,0.00502962,0.150378,
vaslat_l,0,0.00215709,0,0.320833,
vasmed_l,0.000708302,0.0107143,0,0.185268,
