,t0,tf,p_l
0,0.093,0.358,[-0.23823695  0.          0.04758783]
1,,,[0. 0. 0.]
2,0.452,0.712,[0.14035075 0.         0.06503582]
3,,,[0. 0. 0.]
4,0.792,1.057,[0.53086638 0.         0.03962057]
