time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
3.6,0.154505,0.810754,0.391004,0.55055,0.478743,0.512476,
3.605,0.0873547,0.75579,0.354303,0.353342,0.672058,0.671048,
3.61,0.160157,0.820057,0.246124,0.375562,0.685993,0.622202,
3.615,0.137439,0.835463,0.411655,0.613788,0.414022,0.481561,
3.62,0.0827648,0.607564,0.310376,0.0113327,1,0.887475,
3.625,0.107237,0.823664,0.256975,0.362472,0.694881,0.657597,
3.63,0.0854925,0.803353,0.375148,0.469978,0.558261,0.598935,
3.635,0.131514,0.677567,0.29111,0.148982,0.8795,0.776984,
3.64,0.366862,1,0.35016,1,0.0861986,0.118349,
3.645,0.155963,0.783681,0.274429,0.342538,0.707189,0.644196,
3.65,0.190589,0.893876,0.173735,0.4368,0.653012,0.570129,
3.655,0.156523,0.849103,0.341533,0.557138,0.488622,0.508618,
3.66,0.165581,0.896385,0.490019,0.852582,0.168816,0.316684,
3.665,0.211205,0.981237,0.181221,0.625318,0.477601,0.441818,
3.67,0.0450336,0.865914,0.524899,0.764034,0.239999,0.433403,
3.675,0.493003,0.789884,0.0658198,0.286777,0.819271,0.511277,
3.68,0.384017,0.713378,0.230876,0.29449,0.759635,0.558872,
3.685,0.556682,0.887726,0.260699,0.777485,0.306338,0.167283,
3.69,0.103874,0.649714,0.272906,0.0517739,0.973445,0.853024,
3.695,0.518891,0.809984,0.356151,0.734868,0.314351,0.211357,
3.7,0.492842,0.814686,0.32272,0.681025,0.374405,0.259469,
3.705,0.485456,0.765784,0.350118,0.621239,0.42061,0.299723,
3.71,1,0.391026,0.661024,0.337174,0.353876,0.333749,
3.715,0.939559,0.359638,0.637656,0.205563,0.481581,0.448316,
3.72,0.919243,0.318006,0.633412,0.107989,0.572501,0.51984,
3.725,0.913018,0.365319,0.726725,0.318854,0.348501,0.389639,
3.73,0.9277,0.334917,0.66539,0.188725,0.488076,0.464327,
3.735,0.919554,0.378569,0.74646,0.374815,0.290703,0.35092,
3.74,0.919258,0.398136,0.781492,0.458574,0.202206,0.298236,
3.745,0.109273,0.462743,0.81999,0.116744,0.51935,0.925644,
3.75,0.0563528,0.473056,0.825622,0.109098,0.524919,0.95774,
3.755,0.0938825,0.476222,0.951393,0.309764,0.29976,0.810185,
3.76,0.0526116,0.457745,0.940647,0.233479,0.37359,0.879361,
3.765,0.124929,0.354846,0.950714,0.101691,0.491241,0.923489,
3.77,0.104103,0.445227,0.918326,0.213561,0.398803,0.86555,
3.775,0.0487719,0.487787,1,0.367535,0.231144,0.79653,
3.78,0.122216,0.492781,0.954921,0.364342,0.248383,0.761368,
3.785,0.11668,0.500419,0.834593,0.212191,0.426947,0.861994,
3.79,0.101204,0.471984,0.910422,0.251198,0.366763,0.843841,
3.795,0.0689581,0.416805,0.839253,0.0301383,0.592996,1,
