time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-409.565,-128.864,18.1336,-26.8959,179.504,-1.31866,-55.3021,-60.978,-217.729,-91.093,289.256,70.7564,32.7172,-11.7713,67.0552,68.8136,-80.0102,-77.5812,
3.605,-405.807,-126.574,14.8839,-25.5304,184.224,-0.595073,-55.4251,-61.4692,-237.934,-92.4019,223.862,68.4977,50.6476,-11.7344,71.1272,68.5313,-68.4357,-77.6313,
3.61,-549.626,-124.033,-2.77013,-28.1702,222.255,0.7597,-55.8098,-56.9392,-307.986,-91.4208,216.526,69.3835,61.1718,-12.2418,68.823,66.5789,-76.6251,-76.7662,
3.615,-592.572,-120.891,-7.60484,-24.4116,242.681,1.06277,-55.5649,-56.5271,-344.664,-91.3223,142.893,65.1219,81.1969,-12.4969,68.5228,64.6874,-79.155,-75.6729,
3.62,-631.026,-116.73,-20.1228,-22.1179,260.743,0.985695,-54.7577,-55.2077,-369.036,-93.3588,184.533,66.7276,68.2071,-13.2714,69.3205,64.1441,-81.0662,-74.603,
3.625,-642.987,-112.895,-27.7804,-19.1299,272.139,1.52337,-51.8305,-52.5207,-372.052,-93.5047,137.968,63.611,81.2541,-13.2535,70.1472,62.0933,-78.2098,-73.2573,
3.63,-638.75,-111.238,-30.4727,-14.5795,278.93,2.15994,-50.9272,-51.4998,-382.554,-95.6971,189.757,59.5906,67.1536,-13.5899,70.6075,60.9819,-73.846,-71.9213,
3.635,-638.036,-108.824,-35.2837,-9.50835,285.375,2.56768,-49.2937,-50.4004,-392.951,-97.7747,140.725,56.0914,82.6675,-13.9667,70.6548,59.5563,-69.9622,-70.4387,
3.64,-632.207,-102.76,-37.7558,-7.17479,290.217,2.11681,-46.6118,-46.6736,-397.368,-99.8121,193.908,52.9066,68.5602,-13.5983,70.3001,58.379,-68.4991,-69.5464,
3.645,-625.672,-98.9857,-39.6311,-1.48326,294.423,1.54714,-45.8252,-46.4248,-409.666,-103.032,144.207,53.7433,85.2427,-14.6735,69.5808,58.3233,-69.3708,-69.1871,
3.65,-619.138,-95.5909,-41.3237,1.68611,298.207,1.69425,-43.5468,-43.6803,-406.329,-104.483,200.995,47.1572,70.4503,-14.2183,68.5568,56.2237,-66.7929,-67.2682,
3.655,-612.034,-92.9766,-42.3444,5.64804,301.54,1.23583,-42.8068,-43.0697,-415.026,-107.708,151.958,46.2571,87.316,-14.518,67.249,56.0511,-65.9116,-67.2005,
3.66,-604.04,-91.8743,-42.7944,9.59641,304.418,1.70563,-41.9873,-41.7851,-412.064,-109.048,212.417,41.8156,72.3989,-14.7023,65.6726,54.41,-65.4725,-65.8394,
3.665,-595.569,-90.8472,-42.5414,13.9085,306.781,1.27763,-36.9676,-40.7073,-423.161,-111.303,157.212,34.6762,89.7231,-13.4119,63.8711,52.8786,-67.3736,-64.6192,
3.67,-586.636,-89.8369,-41.7173,14.446,308.811,2.04592,-47.3671,-37.0374,-418.811,-111.297,218.827,29.0134,74.3962,-13.7671,61.8356,50.4365,-70.7115,-63.448,
3.675,-577.602,-93.0001,-11.1379,21.2165,306.491,1.81204,-34.9789,-37.674,-427.771,-112.463,164.519,25.3137,91.6254,-13.996,59.5812,48.4415,-61.2912,-61.6788,
3.68,-568.248,-92.9508,-3.3616,22.4966,307.285,1.54683,-48.2123,-37.3156,-426.579,-117.829,219.149,27.3585,76.7899,-14.4308,57.1165,49.5857,-63.0707,-62.2865,
