,t0,tf,p_t0,p_tf
0,0.8635,1.5365,[0.1118308  0.         0.19440303],[0. 0. 0.]
1,1.407,2.1225,[0.89804678 0.         0.29491812],[0. 0. 0.]
2,1.9865,2.7225,[1.61024881 0.         0.1687649 ],[0. 0. 0.]
