time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.225,0.241661,0.178825,0.00575477,0.0506402,0.0506634,0.312713,0.143807,0.143807,0.470348,0.490387,0.236273,0.202781,0.117278,0.096018,0.223595,0.223595,0.223595,0.138648,0.27534,0.205815,0.14842,0.275123,0.738204,0.116173,0.0417383,0.238885,0.210625,0.246035,0.167415,0.039646,0.039646,0.143807,0.143807,0.134887,0.039646,0.521349,0.176201,0.0520923,0.15199,0.15199,0.0539082,0.118125,0.0140049,0.0391272,0.0482182,0.0829663,0.027912,0.027912,0.0914128,0.14285,0.179397,0.160731,0.143602,0.109426,0.083713,0.083713,0.083713,0.117704,0.0460744,0.0614923,0.138395,0.0717083,0.167385,0.110602,0.369002,0.156231,0.115898,0.0806924,0.328184,0.015293,0.015293,0.027912,0.027912,0.0936652,0.015293,0.120301,0.177217,0.105257,0.00853,0.00853,0.11639,0.167305,0.577753,0.155213,0.49826,0.502034,0.459259,0.161887,0.347324,0.323437,0.36725,0.243101,0.289523,0.208404,0.330821,0.370113,0.374511,0.100798,0.309337,0.159624,
0.23,0.266098,0.207562,0.00722738,0.0536926,0.065717,0.345338,0.136247,0.136247,0.491877,0.512965,0.248897,0.214365,0.124298,0.104009,0.220943,0.220943,0.220943,0.143972,0.296857,0.225604,0.155089,0.274106,0.784933,0.125868,0.0379837,0.248046,0.22271,0.272093,0.178096,0.038506,0.038506,0.136247,0.136247,0.143929,0.038506,0.542845,0.186176,0.058508,0.145461,0.145461,0.099514,0.161654,0.0176774,0.0398568,0.0542352,0.122822,0.029636,0.029636,0.0968263,0.147823,0.188701,0.169099,0.144025,0.114446,0.084359,0.084359,0.084359,0.117557,0.047828,0.0622082,0.142592,0.0702511,0.176775,0.122383,0.364778,0.162663,0.12077,0.0833891,0.323818,0.019739,0.019739,0.029636,0.029636,0.0974137,0.019739,0.125072,0.187237,0.104655,0.008473,0.008473,0.147532,0.191107,0.604896,0.16563,0.5312,0.538819,0.492246,0.161836,0.358457,0.342347,0.394304,0.24645,0.287372,0.218975,0.355116,0.390288,0.405433,0.108511,0.308158,0.199026,
0.235,0.276192,0.224051,0.00842779,0.0627841,0.0776333,0.358312,0.131463,0.131463,0.484715,0.504468,0.29375,0.261712,0.164736,0.141838,0.213088,0.213088,0.213088,0.193089,0.349993,0.278151,0.203581,0.314261,0.847666,0.138309,0.0379396,0.29488,0.273185,0.312394,0.186295,0.036826,0.036826,0.131463,0.131463,0.183873,0.036826,0.533296,0.232818,0.0627787,0.137937,0.137937,0.142043,0.204337,0.0203492,0.0408796,0.0599146,0.162957,0.03166,0.03166,0.0999793,0.156007,0.199911,0.181055,0.1456,0.119789,0.084937,0.084937,0.084937,0.116332,0.0491179,0.0633118,0.141099,0.0692256,0.188298,0.136189,0.367996,0.171229,0.128128,0.0839082,0.336805,0.025031,0.025031,0.03166,0.03166,0.100287,0.025031,0.130349,0.19884,0.10864,0.008491,0.008491,0.168194,0.205837,0.615336,0.169729,0.547435,0.553211,0.509529,0.167754,0.354027,0.34407,0.456107,0.27787,0.31677,0.243012,0.411654,0.442446,0.474521,0.121386,0.353869,0.247284,
0.24,0.28999,0.238666,0.00928826,0.0611642,0.0851316,0.373834,0.129225,0.129225,0.506547,0.529106,0.28227,0.247196,0.150878,0.131512,0.200522,0.200522,0.200522,0.17488,0.340618,0.269769,0.187699,0.288983,0.84965,0.136181,0.0282774,0.278497,0.25873,0.320209,0.191052,0.034739,0.034739,0.129225,0.129225,0.1696,0.034739,0.558314,0.215715,0.0652779,0.129611,0.129611,0.165556,0.225401,0.0236558,0.0429559,0.0649993,0.182797,0.033921,0.033921,0.100879,0.152323,0.200607,0.180294,0.139727,0.119579,0.085514,0.085514,0.085514,0.1196,0.0512747,0.0614395,0.146894,0.0627158,0.189908,0.142003,0.333352,0.172542,0.126294,0.0866295,0.298813,0.03101,0.03101,0.033921,0.033921,0.101231,0.03101,0.131046,0.199619,0.102356,0.008571,0.008571,0.188051,0.218657,0.611814,0.176534,0.56831,0.57986,0.530106,0.163106,0.362803,0.349841,0.445962,0.254974,0.290028,0.235056,0.391517,0.421334,0.452715,0.120567,0.321384,0.25735,
0.245,0.307607,0.259476,0.0110075,0.0706306,0.0985711,0.392984,0.1292,0.1292,0.522733,0.547365,0.322364,0.286707,0.181834,0.161734,0.18424,0.18424,0.18424,0.212715,0.386076,0.314345,0.22686,0.320047,0.922651,0.146257,0.0247243,0.317719,0.300902,0.366848,0.209688,0.032418,0.032418,0.1292,0.1292,0.19932,0.032418,0.577504,0.251091,0.0708005,0.120693,0.120693,0.212827,0.272753,0.0287568,0.0482366,0.0753501,0.228076,0.036325,0.036325,0.105669,0.161138,0.216129,0.194821,0.141342,0.126648,0.086183,0.086183,0.086183,0.126043,0.0562268,0.0628111,0.153875,0.0633584,0.206337,0.161145,0.318437,0.186397,0.133717,0.0932159,0.29099,0.037416,0.037416,0.036325,0.036325,0.107202,0.037416,0.139929,0.214978,0.105788,0.008688,0.008688,0.216232,0.241155,0.624337,0.188759,0.609097,0.618738,0.568725,0.170798,0.369889,0.354891,0.505222,0.275158,0.311063,0.259524,0.432377,0.461316,0.503202,0.135745,0.352833,0.304124,
0.25,0.308431,0.262232,0.0114674,0.0669046,0.100977,0.391945,0.130922,0.130922,0.525511,0.552648,0.295437,0.257933,0.15682,0.140939,0.165745,0.165745,0.165745,0.18075,0.356311,0.288282,0.196652,0.281118,0.888011,0.139206,0.0222978,0.285817,0.270546,0.357396,0.214677,0.03005,0.03005,0.130922,0.130922,0.174233,0.03005,0.581641,0.220927,0.0718103,0.111396,0.111396,0.223577,0.278433,0.0313185,0.0498145,0.0772494,0.235039,0.038743,0.038743,0.103683,0.153277,0.210715,0.188515,0.133108,0.123023,0.087062,0.087062,0.087062,0.126912,0.0576692,0.060144,0.155554,0.0674999,0.202063,0.160498,0.280144,0.182207,0.127248,0.0961895,0.249547,0.043908,0.043908,0.038743,0.038743,0.105312,0.043908,0.13669,0.209552,0.0990985,0.008806,0.008806,0.225275,0.24636,0.608709,0.190606,0.612984,0.623782,0.571284,0.162757,0.365757,0.348318,0.474866,0.244349,0.277001,0.246592,0.395051,0.423402,0.460337,0.132639,0.307028,0.29849,
0.255,0.301531,0.262224,0.0115949,0.0719688,0.105499,0.381928,0.133885,0.133885,0.496349,0.521237,0.32361,0.290474,0.189465,0.172502,0.146849,0.146849,0.146849,0.222934,0.391666,0.327277,0.237559,0.304592,0.892202,0.141632,0.0201742,0.318179,0.306682,0.380026,0.207391,0.027822,0.027822,0.133885,0.133885,0.202823,0.027822,0.547955,0.254022,0.0722724,0.101976,0.101976,0.244441,0.300303,0.0320607,0.048448,0.0783714,0.255498,0.041037,0.041037,0.100981,0.150507,0.208984,0.18888,0.125721,0.121756,0.088299,0.088299,0.088299,0.122661,0.0564175,0.0578481,0.148419,0.0631343,0.201424,0.165112,0.252223,0.181294,0.127806,0.0919294,0.23096,0.05008,0.05008,0.041037,0.041037,0.101876,0.05008,0.134309,0.208064,0.0959673,0.008893,0.008893,0.231169,0.244012,0.581403,0.182974,0.594617,0.606134,0.55726,0.162706,0.347704,0.332284,0.501226,0.258721,0.285471,0.253781,0.418869,0.440964,0.491998,0.13761,0.333056,0.321822,
0.26,0.281391,0.243821,0.010711,0.0615452,0.0976917,0.353619,0.137626,0.137626,0.474128,0.500704,0.267755,0.234844,0.146664,0.135866,0.129381,0.129381,0.129381,0.171522,0.330397,0.274048,0.187318,0.238213,0.782155,0.120348,0.0119046,0.258581,0.248703,0.341261,0.190688,0.025903,0.025903,0.137626,0.137626,0.156833,0.025903,0.524755,0.198528,0.0670662,0.092828,0.092828,0.225799,0.275574,0.0315766,0.0463486,0.0738837,0.234895,0.043096,0.043096,0.0918326,0.129267,0.186121,0.16638,0.107316,0.108755,0.090075,0.090075,0.090075,0.115691,0.0535777,0.0505824,0.14173,0.0578055,0.180337,0.151117,0.182228,0.163412,0.111363,0.0873521,0.155745,0.055505,0.055505,0.043096,0.043096,0.0920599,0.055505,0.120882,0.185069,0.0785189,0.008924,0.008924,0.219779,0.226928,0.516897,0.17011,0.553327,0.568575,0.518068,0.142122,0.32536,0.304617,0.42007,0.201307,0.221944,0.217221,0.335225,0.355206,0.395006,0.122259,0.254541,0.280769,
0.265,0.271246,0.238216,0.011049,0.0613946,0.0980457,0.340572,0.141723,0.141723,0.448251,0.473861,0.266543,0.2354,0.148341,0.137487,0.115106,0.115106,0.115106,0.172738,0.32579,0.271937,0.188128,0.236079,0.770727,0.117426,0.0068855,0.255971,0.24856,0.337026,0.186755,0.02441,0.02441,0.141723,0.141723,0.159105,0.02441,0.496827,0.199865,0.0641179,0.084516,0.084516,0.23719,0.280763,0.0316584,0.045277,0.0739276,0.243163,0.044845,0.044845,0.0879933,0.126369,0.18124,0.162041,0.102184,0.104153,0.092561,0.092561,0.092561,0.107004,0.0514249,0.0476063,0.133432,0.0492119,0.175959,0.149711,0.174425,0.158059,0.106731,0.0832127,0.153723,0.059812,0.059812,0.044845,0.044845,0.0890452,0.059812,0.116891,0.180306,0.0746525,0.008882,0.008882,0.218835,0.223574,0.488113,0.165144,0.535205,0.547005,0.5006,0.132176,0.303218,0.286181,0.423376,0.197051,0.219049,0.214458,0.336179,0.355107,0.396359,0.120114,0.25134,0.287158,
0.27,0.23921,0.200921,0.00909183,0.051745,0.0782735,0.29711,0.145797,0.145797,0.425094,0.451675,0.217057,0.186383,0.110539,0.102498,0.105531,0.105531,0.105531,0.129892,0.264274,0.21545,0.145117,0.194694,0.664908,0.0951961,0.00558517,0.206913,0.196665,0.28684,0.168473,0.023377,0.023377,0.145797,0.145797,0.118101,0.023377,0.474501,0.15162,0.0550059,0.077648,0.077648,0.178159,0.220435,0.0276835,0.0438036,0.0655791,0.189149,0.046242,0.046242,0.0790136,0.110708,0.160316,0.1416,0.0935241,0.0926686,0.095894,0.095894,0.095894,0.103388,0.048433,0.04342,0.127781,0.0483731,0.155704,0.130129,0.142939,0.142625,0.0928457,0.0791626,0.116659,0.062705,0.062705,0.046242,0.046242,0.0809918,0.062705,0.10578,0.158526,0.0651102,0.008754,0.008754,0.181493,0.191924,0.431609,0.149971,0.486158,0.495856,0.451372,0.119817,0.285258,0.257407,0.34563,0.157995,0.183372,0.184018,0.259212,0.282212,0.303588,0.104114,0.201989,0.220581,
