iteration,loss,learning rate,
1,297.762,0.02,
2,316.551,0.02,
3,272.354,0.02,
4,225.474,0.02,
5,218.662,0.02,
6,232.155,0.02,
7,244.25,0.02,
8,262.006,0.02,
9,281.054,0.02,
10,299.479,0.02,
11,318.549,0.02,
12,339.344,0.02,
13,365.061,0.02,
14,379.795,0.02,
15,397.647,0.02,
16,412.735,0.02,
17,426.245,0.02,
18,439.35,0.02,
19,453.756,0.02,
20,462.996,0.02,
21,471.13,0.02,
22,478.618,0.02,
23,483.42,0.02,
24,488.836,0.02,
25,492.744,0.02,
