time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.445,0.0528172,0.264953,0.0745178,0.229744,0.0173139,0.030731,0.00704625,0.0969658,
0.45,0.0561888,0.257914,0.0693017,0.213595,0.013597,0.0145201,0.0164308,0.122736,
0.455,0.054948,0.248599,0.0772711,0.197348,0.0105354,5.59762e-06,0.00598096,0.145002,
0.46,0.0604756,0.238874,0.0708449,0.17905,0.00851041,2.07236e-09,0.0205538,0.153615,
0.465,0.0683792,0.227872,0.0597824,0.160177,0.00743468,2.09566e-13,0.0440881,0.158857,
0.47,0.0741245,0.214983,0.0549231,0.141578,0.00761758,9.37371e-18,0.0574939,0.160632,
0.475,0.0805701,0.201091,0.0484995,0.123542,0.0096664,9.53469e-22,0.073128,0.158506,
0.48,0.0776457,0.184647,0.0664439,0.107775,0.0138684,4.62014e-26,0.0457814,0.153718,
0.485,0.0743246,0.167705,0.085425,0.0939306,0.0210413,2.36746e-28,0.0146598,0.145811,
0.49,0.0829624,0.153141,0.0710019,0.0809654,0.031823,9.67187e-27,0.0400732,0.134118,
0.495,0.0833223,0.136962,0.0786046,0.0712133,0.0461306,2.75247e-22,0.0258678,0.121988,
0.5,0.0852795,0.12144,0.081689,0.0635945,0.0643291,1.88645e-13,0.018543,0.109547,
0.505,0.0856544,0.1063,0.088882,0.0583283,0.086294,0.000420053,0.00385079,0.0979347,
0.51,0.0961569,0.0942687,0.0701616,0.0533646,0.112619,0.0133319,0.0331111,0.0771485,
0.515,0.125442,0.087082,0.00497389,0.048387,0.142705,0.0288053,0.141621,0.0550003,
0.52,0.103883,0.071796,0.0717922,0.0507044,0.173437,0.0390383,0.027729,0.0453463,
0.525,0.123009,0.0657808,0.0376551,0.0503239,0.207291,0.0553343,0.0867319,0.0300929,
0.53,0.140176,0.0609604,0.011825,0.0516254,0.241812,0.0718822,0.133925,0.0183049,
0.535,0.13078,0.0526229,0.05706,0.056958,0.274916,0.0852148,0.0630594,0.0152568,
0.54,0.145055,0.050196,0.0442802,0.0605164,0.306884,0.10149,0.0928165,0.010931,
0.545,0.138573,0.0449786,0.0864464,0.0666601,0.334653,0.115093,0.0313808,0.0144766,
0.55,0.15173,0.0442264,0.0792826,0.0705825,0.358453,0.131431,0.0553935,0.0176924,
0.555,0.161534,0.0430492,0.0810477,0.0744209,0.376836,0.148184,0.065613,0.0251082,
0.56,0.165294,0.0404778,0.0979252,0.0782185,0.389666,0.165888,0.0510406,0.0368423,
0.565,0.176751,0.0387762,0.0938561,0.0803643,0.397834,0.187333,0.0723168,0.0493184,
0.57,0.203226,0.0390964,0.0494838,0.0800349,0.402393,0.214539,0.161706,0.0599054,
0.575,0.200633,0.0329621,0.0777738,0.0819897,0.402759,0.24275,0.127221,0.0762113,
0.58,0.219771,0.0301675,0.0494588,0.0807561,0.401508,0.278568,0.188606,0.0865484,
0.585,0.221289,0.0233906,0.0673826,0.0807028,0.398173,0.316125,0.172314,0.0980179,
0.59,0.20431,0.0125808,0.136544,0.0821404,0.393848,0.353647,0.0711824,0.110216,
0.595,0.249845,0.0142515,0.052425,0.0764002,0.391675,0.399344,0.234043,0.10612,
0.6,0.279953,0.013727,0.018486,0.0721862,0.390067,0.44083,0.317659,0.101627,
0.605,0.287278,0.00971235,0.057711,0.0705453,0.389739,0.474399,0.28486,0.0985771,
0.61,0.300575,0.00938872,0.0982474,0.0681466,0.390975,0.501113,0.260239,0.0912162,
0.615,0.336397,0.0164825,0.100034,0.0631752,0.394203,0.520585,0.312899,0.0769568,
0.62,0.413303,0.033157,0.0186388,0.0539873,0.400956,0.533101,0.518079,0.053574,
0.625,0.406475,0.0359589,0.173272,0.0539557,0.406005,0.521796,0.335827,0.0476818,
0.63,0.425207,0.0454757,0.285563,0.0513134,0.412438,0.50063,0.238558,0.0382378,
0.635,0.523413,0.0714445,0.217993,0.0403133,0.421728,0.477818,0.459335,0.0154925,
0.64,0.488141,0.0734895,0.512498,0.0438653,0.426195,0.429399,0.0792499,0.0220135,
0.645,0.753895,0.131752,0.0628441,0.0155322,0.440012,0.399319,0.965952,7.69295e-06,
0.65,0.766476,0.145583,0.266409,0.0143227,0.446537,0.348569,0.75999,1.00709e-05,
0.655,0.715125,0.149262,0.638692,0.020211,0.452076,0.295847,0.274045,0.000583914,
0.66,0.7672,0.171942,0.748317,0.0154148,0.461435,0.249666,0.22844,0.00034994,
0.665,0.792128,0.189825,0.912228,0.0137492,0.472246,0.206575,0.0817332,0.000865849,
0.67,0.891338,0.220624,0.858027,0.00379875,0.488282,0.172248,0.285006,6.1933e-05,
0.675,0.981393,0.245596,0.786339,5.07704e-23,0.510534,0.141506,0.48964,3.48871e-06,
0.68,0.937407,0.249472,0.996711,3.72861e-15,0.533902,0.115702,0.186217,0.00017064,
0.685,0.951425,0.257983,1,4.05581e-16,0.5679,0.0954723,0.192648,0.000189206,
