mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
glmed1_l,0.0194959,0.0137181,0.00730189,0.00779222,0.0566266,0.0570239,0.0104679,0.0165318,
glmed2_l,0.0105203,0.0385002,0.0534999,0.0678413,0.0143611,0.0459004,0.0659288,0.00203828,
glmed3_l,0.0106461,0.0538773,0.0100124,0.0279122,0.0371436,0.0587639,0.0055612,0.0408283,
glmin1_l,0.0215696,0.0235939,0.0150341,0.0281746,0.0381159,0.0674456,0.0466936,0.0137174,
glmin2_l,0.0208221,0.0178308,0.0068212,0.0514162,0.0506696,0.0530944,0.0486592,0.0548168,
glmin3_l,0.0200929,0.0642555,0.0701048,0.0666281,0.0713408,0.0494538,0.00583319,0.0640609,
grac_l,0.00987642,0.0128485,0.0567205,0.0126334,0.0417163,0.00337124,0.0652745,0.0567655,
iliacus_l,0.0637617,0.0541017,0.0303963,0.0623556,0.0509273,0.0659406,0.0450662,0.0376751,
perbrev_l,0.0256859,0.0736581,0.0213931,0.0574874,0.0154172,0.0711942,0.0344122,0.054353,
perlong_l,0.000501158,0.0223745,0.0164054,0.0646286,0.0317751,0.0709339,0.0581917,0.0321603,
piri_l,0.0274077,0.0464142,0.0441832,0.0140887,0.0411777,0.0314043,0.0320044,0.0281478,
psoas_l,0.0147934,0.0528341,0.0559621,0.00842028,0.039115,0.0612902,0.0719374,0.00612664,
recfem_l,0.0016056,0.00204249,0.00801273,0.274589,0.284909,0.000224844,0.000240263,9.23711e-06,
sart_l,0.00160219,0.0020395,0.00801191,0.274587,0.28491,0.000236071,0.000234271,8.7086e-06,
semimem_l,0.00164271,0.124083,0.0854344,0.00182574,0.0229389,0.333273,0.0795887,0.0021696,
semiten_l,0.00164205,0.124084,0.0854341,0.00182568,0.0229393,0.333273,0.0795882,0.00217046,
soleus_l,0.0724811,0.0611912,0.0474837,0.0488635,0.0332397,0.00570883,0.0683219,0.0529088,
tfl_l,0.00158919,0.00205967,0.00801765,0.27458,0.284914,0.000258705,0.000173395,9.87178e-06,
tibant_l,0.0662744,0.0441391,0.000374281,0.0433779,0.0433592,0.0122469,0.0672172,0.0691346,
tibpost_l,0.00838299,0.0436331,0.0626232,0.0025498,0.0293054,0.0524037,0.0463297,0.0104702,
vasint_l,0.0315171,0.0681083,0.0385581,0.0499379,0.00984233,0.030038,0.00526192,0.0471037,
vaslat_l,0.320761,8.7516e-05,0.000900858,0.0108573,0.000558194,0.11481,0.011719,0.028124,
vasmed_l,0.320762,8.43169e-05,0.000900548,0.0108576,0.000558461,0.11481,0.0117203,0.0281245,
