mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,2.53243e-30,0.567668,0.194079,0.122231,
addlong_r,2.433e-30,0.567668,0.194079,0.122231,
addmagDist_r,2.48987e-30,0.567668,0.194079,0.122231,
addmagIsch_r,2.38724e-30,0.567668,0.194079,0.122231,
addmagMid_r,2.42636e-30,0.567668,0.194079,0.122231,
addmagProx_r,2.6649e-30,0.567668,0.194079,0.122231,
bflh_r,0.306998,5.46622e-23,0.906412,0.187318,
bfsh_r,0.306998,5.44591e-23,0.906412,0.187318,
edl_r,0.00903655,0.234729,0.107211,0.0400454,
ehl_r,0.205368,0.0666763,0.120997,0.047482,
fdl_r,0.0955179,0.141697,0.124328,0.00582268,
fhl_r,0.0203467,0.0444955,0.0796765,0.0122946,
gaslat_r,0.175551,2.8026e-45,3.17056e-18,0.575543,
gasmed_r,0.254672,0.0117295,0.247641,0.430766,
glmax1_r,0.675914,4.2039e-45,0.2373,0.0151823,
glmax2_r,0.675914,4.2039e-45,0.2373,0.0151823,
glmax3_r,0.675914,4.2039e-45,0.2373,0.0151823,
glmed1_r,0.142129,0.0821811,0.0663977,0.00643248,
glmed2_r,0.236953,0.161868,0.10928,0.135275,
glmed3_r,0.0855141,0.181104,0.164085,0.00957776,
glmin1_r,0.0474567,0.0826472,0.197296,0.12752,
glmin2_r,0.0996385,0.10257,0.0225935,0.0201568,
glmin3_r,0.225991,0.194477,0.218495,0.167391,
grac_r,0.209404,0.491204,0.554889,0.184272,
iliacus_r,0.178917,0.19783,0.244882,0.195746,
perbrev_r,0.15032,0.173289,0.183126,0.244755,
perlong_r,0.248858,0.0824273,0.189179,0.0812953,
psoas_r,0.0483814,0.175623,0.207407,0.0864064,
recfem_r,0.172951,0.299225,7.11998e-15,1.4013e-45,
sart_r,0.144599,0.130193,0.224426,0.104229,
semimem_r,0.195356,0.00974651,0.705065,0.367286,
semiten_r,0.195356,0.00974651,0.705065,0.367286,
soleus_r,0.215266,4.4602e-11,0.123197,0.504628,
tfl_r,0.087846,0.54816,1.4013e-45,1.25936e-36,
tibant_r,0.294875,0.844113,0.375824,1.77825e-42,
tibpost_r,0.101138,0.245669,0.0384182,0.0435023,
vasint_r,0.764074,4.2039e-45,0.191462,0.00477225,
vaslat_r,0.915623,4.2039e-45,0.162262,1.30288e-08,
vasmed_r,0.596372,2.8026e-45,0.220887,0.0338107,
addbrev_l,0.238978,0.108421,0.126032,0.00441569,
addlong_l,0.0702768,0.0224329,0.18685,0.0483278,
addmagDist_l,0.0346055,0.23991,0.0338194,0.074455,
addmagIsch_l,0.192232,0.0494118,0.00074392,0.248543,
addmagMid_l,0.220075,0.233742,0.12588,0.0110591,
addmagProx_l,0.244053,0.0888079,0.109277,0.191943,
bflh_l,0.220285,0.217928,0.166271,0.249163,
bfsh_l,0.197331,0.0200396,0.213673,0.0624636,
edl_l,0.0811818,0.0545018,0.0773531,0.0698816,
ehl_l,0.103474,0.0258113,0.038383,0.0298151,
fdl_l,0.023585,0.03327,0.176614,0.146504,
fhl_l,0.0714114,0.00612197,0.0359505,0.0412163,
gaslat_l,0.0642764,0.03041,0.140377,0.237191,
gasmed_l,0.202751,0.133855,0.0345852,0.133984,
glmax1_l,0.19299,0.107953,0.0532986,0.152132,
glmax2_l,0.145712,0.235625,0.185899,0.0606104,
glmax3_l,0.0877798,0.0934599,0.0909012,0.0278485,
glmed1_l,0.0223547,0.0133491,0.208213,0.0157457,
glmed2_l,0.155472,0.240415,0.10264,0.0325171,
glmed3_l,0.0317371,0.0897997,0.225019,0.0131089,
glmin1_l,0.0473723,0.247548,0.0813176,0.0444841,
glmin2_l,0.0282515,0.194205,0.186161,0.140524,
glmin3_l,0.0790768,0.196544,0.216312,0.1651,
grac_l,0.0995512,0.247796,0.112143,0.0140324,
iliacus_l,0.136245,0.0728563,0.105415,0.0512994,
perbrev_l,0.157207,0.0878324,0.0319911,0.0628028,
perlong_l,0.17584,0.12238,0.192835,0.165455,
psoas_l,0.0521042,0.149085,0.0619266,0.122787,
recfem_l,0.0132306,0.196414,0.000701718,0.125731,
sart_l,0.153093,0.129548,0.182177,0.137587,
semimem_l,0.0573575,0.00457723,0.0880307,0.136314,
semiten_l,0.143233,0.24386,0.217202,0.0596358,
soleus_l,0.0217023,0.145497,0.129793,0.208208,
tfl_l,0.0303089,0.167816,0.0925404,0.0437055,
tibant_l,0.073856,0.0101453,0.240084,0.242491,
tibpost_l,0.0388639,0.224524,0.204575,0.0777016,
vasint_l,0.165309,0.0248438,0.0427515,0.00183782,
vaslat_l,0.0111973,0.195621,0.163279,0.133652,
vasmed_l,0.160096,0.215233,0.22849,0.243322,
piri_r,0.0239663,0.202776,0.0808368,0.194599,
