mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0,0.564489,0.248969,0.0978222,
addlong_r,0,0.564489,0.248969,0.0978222,
addmagDist_r,0,0.564489,0.248969,0.0978222,
addmagIsch_r,0,0.564489,0.248969,0.0978222,
addmagMid_r,0,0.564489,0.248969,0.0978222,
addmagProx_r,0,0.564489,0.248969,0.0978222,
bflh_r,0.287926,0,0.929964,0.218533,
bfsh_r,0.287926,0,0.929964,0.218533,
edl_r,0.0328429,0.000966819,0.138851,0,
ehl_r,0.0581252,0.00448253,0.0999907,0.00111472,
fdl_r,0.0708128,0.0490994,0.111298,0.108452,
fhl_r,0.096365,0.0748323,0.0456672,0.171816,
gaslat_r,0.14081,0.00195558,0.0334516,0.594608,
gasmed_r,0.226097,0.0394692,0.298744,0.43118,
glmax1_r,0.678219,0.00133087,0.219966,0.0162909,
glmax2_r,0.678219,0.00133087,0.219966,0.0162909,
glmax3_r,0.678219,0.00133087,0.219966,0.0162909,
glmed1_r,0.0967791,0.000342677,0.000284054,0.740421,
glmed2_r,0.0190415,0,0,0.900234,
glmed3_r,0.351885,0.00102704,0.0465373,0.808993,
glmin1_r,0.526594,0.0573616,0,0.692631,
glmin2_r,0.177687,0,0.00477983,0.654638,
glmin3_r,0.0168358,0,0.0106172,0.983127,
grac_r,0.196311,0.495473,0.602274,0.194255,
iliacus_r,0,0.987025,0,0,
perbrev_r,0.11309,0.0930378,0.0878795,0.291567,
perlong_r,0.0753196,0.074021,0.0757237,0.335806,
psoas_r,0,0.905635,0.000704068,0,
recfem_r,0.167813,0.301861,0.012079,0,
sart_r,0.0596087,0.534599,0.0532665,0.0429283,
semimem_r,0.161425,0.0348886,0.747551,0.392877,
semiten_r,0.161425,0.0348886,0.747551,0.392877,
soleus_r,0.176329,0.0151712,0.184206,0.511348,
tfl_r,0.0954988,0.546312,0,0,
tibant_r,0.291091,0.839906,0.41998,0.000584317,
tibpost_r,0.0450962,0.0124072,0.0308633,0.202152,
vasint_r,0.771685,0,0.165518,0.001937,
vaslat_r,0.922351,0,0.135605,0,
vasmed_r,0.597909,0.000415907,0.205064,0.0367462,
addbrev_l,0.770007,0.106548,0.199593,0.156667,
addlong_l,0.125615,0.0940786,0.108163,0.086889,
addmagDist_l,0.117911,0.110196,0.100485,0.113979,
addmagIsch_l,0.105408,0.100475,0.111064,0.116965,
addmagMid_l,0.11938,0.105772,0.106463,0.0951791,
addmagProx_l,0.519508,0.102504,0.213945,0.216345,
bflh_l,0.0991139,0.101057,0.139629,0.0999695,
bfsh_l,0.667549,0.0930393,0.397199,0.0893495,
edl_l,0.0930495,0.0958097,0.104245,0.0944583,
ehl_l,0.092598,0.0929563,0.0842733,0.0950231,
fdl_l,0.107664,0.0975581,0.0953105,0.0919913,
fhl_l,0.0904678,0.0951669,0.0982306,0.106724,
gaslat_l,0.0922955,0.0956479,0.105283,0.0603388,
gasmed_l,0.115471,0.0926977,0.100408,0.0990899,
glmax1_l,0.543364,0.928664,0.756702,0.0984238,
glmax2_l,0.526126,0.652065,0.807148,0.0876454,
glmax3_l,0.631262,0.824432,0.775409,0.0999712,
glmed1_l,0.108413,0.172842,0.101881,0.102089,
glmed2_l,0.115474,0.133711,0.120457,0.0962253,
glmed3_l,0.57978,0.505395,0.619492,0.089968,
glmin1_l,0.0506658,0.363267,0.124554,0.108112,
glmin2_l,0.122374,0.134053,0.141719,0.116561,
glmin3_l,0.113366,0.108289,0.0972778,0.0930648,
grac_l,0.637556,0.12319,0.265948,0.121888,
iliacus_l,0.108737,0.0943603,0.103792,0.254438,
perbrev_l,0.0945315,0.0940498,0.0966801,0.107221,
perlong_l,0.0952887,0.0916009,0.0938426,0.10711,
psoas_l,0.123115,0.0940885,0.0984117,0.182705,
recfem_l,0.100244,0.0938886,0.0155045,0.0934941,
sart_l,0.637901,0.0929108,0.345347,0.569142,
semimem_l,0.0920983,0.101008,0.00427235,0.0920927,
semiten_l,0.0406077,0.0982708,0.413787,0.114061,
soleus_l,0.112098,0.114795,0.10064,0.0967411,
tfl_l,0.0948106,0.0687727,0.0938181,0.114603,
tibant_l,0.0944122,0.108626,0.0984095,0.0987694,
tibpost_l,0.0859899,0.0974077,0.0939574,0.114757,
vasint_l,0.321473,0,0.0531776,0.160639,
vaslat_l,0.214013,0.121078,0.0698287,0.336292,
vasmed_l,0.105094,0.112542,0.125465,0.0424328,
piri_r,0.866053,0.00137359,0.118087,0.0300367,
