time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.125,146.391,232.578,139.954,118.242,107.046,87.8483,5.816,15.1827,129.444,70.145,50.8862,141.686,0,79.3913,27.4294,26.2893,17.5807,227.178,4.72169,4.58487,339.38,96.5235,8.937,18.7246,1416.23,130.234,230.359,1972.52,1362.96,147.65,0,35.5195,144.16,512.935,648.244,134.137,66.1599,200.554,107.874,65.8626,103.278,65.8409,174.007,0,0,704.9,188.995,114.356,40.8784,39.4663,69.8248,167.18,333.053,218.515,323.578,206.391,597.849,234.974,132.958,274.844,220.703,195.424,89.1618,329.655,32.9073,79.0555,244.745,64.106,57.761,1485.55,185.607,234.343,194.154,492.84,842.984,283.19,851.384,471.296,39.8195,
2.13,140.311,213.883,138.83,119.671,104.133,80.4229,5.55877,10.6603,128.301,69.5155,53.6145,149.013,0,48.418,28.684,29.5896,22.1935,198.806,4.05098,3.20289,309.812,77.8004,7.11237,16.7694,1341,135.925,241.077,1896.64,1491.55,137.341,0,33.7112,153.79,529.391,636.721,136.7,73.5136,237.288,123.862,64.1178,101.028,62.3512,162.244,0,0,691.734,192.611,111.446,40.4795,39.1612,69.0984,165.261,328.887,214.286,315.247,196.654,566.713,210.763,127.126,264.965,208.807,180.289,86.6089,321.301,32.7566,78.257,241.951,68.9407,57.0739,1494.95,180.482,231.615,190.683,478.87,837.563,259.079,798.126,454.462,35.8535,
2.135,133.319,194.801,136.541,120.17,100.578,72.971,5.76335,8.34512,126.104,68.3642,56.4507,157.034,0,10.8899,30.8872,31.9104,28.634,173.024,4.03382,3.3286,281.427,62.9628,6.04853,13.7788,1251.35,141.389,251.967,1812.35,1602.25,130.635,0,31.7896,165.464,541.106,619.086,139.009,83.7664,282.806,143.705,62.9263,98.5285,58.9974,150.808,0,0,673.313,196.647,108.241,39.7756,38.9868,68.8634,162.175,323.213,210.592,307.801,187.886,528.441,188.158,123.291,252.41,194.441,164.013,83.4672,310.826,32.7821,77.8712,238.864,77.8233,56.8724,1491.32,173.179,237.078,186.281,458.032,833.58,240.199,759.957,447.167,31.6441,
2.14,123.127,175.371,132.975,119.466,96.5157,64.142,6.53495,6.97509,123.088,66.7756,59.3626,165.656,0,0.767767,33.7684,35.7166,34.0396,150.066,4.26431,4.48217,255.273,50.6503,5.51572,12.7569,1146.28,146.512,262.976,1720.55,1694.49,117.718,0,30.3879,177.364,548.11,596.003,140.802,97.0214,336.394,167.019,63.1716,95.8214,55.6214,139.635,0,0,649.944,201.364,104.588,38.716,38.9373,69.0944,158.62,316.776,207.22,301.407,179.676,484.717,167.109,120.725,235.982,177.944,147.144,80.322,299.674,32.9479,77.8589,235.364,90.1979,57.7896,1473.93,164.093,251.661,181.523,432.898,831.166,225.458,734.023,448.338,28.2817,
2.145,115.406,155.998,128.162,117.405,92.0958,51.247,8.05291,3.30552,119.331,64.7681,62.3119,174.676,0,2.90932,36.4125,40.9551,41.2359,129.939,4.59919,5.91671,231.4,40.6789,5.2901,10.3397,1029.73,151.154,274.005,1618.47,1762.41,107.369,0,30.0668,187.309,550.358,568.115,141.69,112.181,393.158,191.997,63.6671,92.957,52.8897,128.71,0,0,622.378,204.723,100.364,37.2837,39.0009,69.7516,155.172,309.796,204.203,295.553,172.193,436.107,147.276,119.213,216.572,160.075,130.385,77.0089,287.488,33.2125,78.167,231.083,105.63,58.3587,1443.32,153.577,276.251,176.19,404.265,830.429,214.358,719.687,458.011,25.3364,
2.15,110.524,140.298,122.294,113.915,87.4841,53.5767,10.5533,1.55622,114.99,62.3929,65.2623,183.765,0,9.6715,38.6104,45.5334,47.5448,112.514,5.03274,7.52634,210.271,33.2855,5.34034,8.56638,915.633,155.134,284.91,1512.32,1802.6,99.7814,0,30.6926,195.582,547.857,536.077,141.187,127.949,449.139,217.044,63.9636,89.9758,49.7599,118.086,0,0,591.37,206.698,95.5201,35.4641,39.1589,70.773,151.495,302.27,201.436,290.022,165.483,383.09,128.182,118.544,194.345,141.005,114.797,73.3831,275.166,33.5262,78.7245,225.667,123.313,58.8444,1400.2,142.359,311.136,171.184,371.979,831.427,206.509,716.562,475.668,22.1852,
2.155,106.677,129.687,115.669,109.222,82.8339,23.3989,14.2196,0.616144,110.089,59.6743,68.1548,192.571,0,19.5381,42.0126,49.424,53.4308,97.6075,5.65356,9.78076,191.037,28.049,5.65797,7.95312,803.249,158.268,295.528,1412.47,1816.81,89.4409,0,31.8505,202.204,540.687,500.482,138.816,143.846,502.484,241.771,64.9669,87.0435,48.0619,108.001,0,0,557.912,207.375,89.9917,33.3002,39.4003,72.108,148.773,294.791,198.928,284.752,159.412,328.013,111.806,118.734,170.805,121.754,100.653,69.8629,262.724,33.8608,79.4882,219.506,142.425,59.4118,1345.95,130.961,356.665,165.882,337.193,834.224,201.584,723.861,500.417,19.4071,
2.16,103.493,120.057,108.6,103.665,78.2323,81.6512,19.1152,0.0360028,104.733,56.6738,70.9148,200.587,0,26.0517,46.0825,56.2615,59.8873,84.9844,6.34293,12.2711,174.48,24.4544,6.20888,7.74586,688.315,160.334,305.625,1318.57,1810.41,79.0301,0,33.2803,208.695,528.948,461.962,134.637,159.458,552.157,265.892,66.3113,84.3432,43.7407,98.9573,0,0,522.915,206.718,83.8529,30.8699,39.7113,73.6999,147.338,287.861,196.749,279.749,154.35,274.542,100.401,119.824,146.783,103.281,87.657,66.5648,250.403,34.1973,80.4158,212.993,160.781,59.9486,1282.27,119.769,412.892,160.934,301.67,838.841,199.197,740.244,532.081,17.3737,
2.165,101.005,110.413,101.405,97.6517,73.7293,43.5429,24.9912,0.0782849,99.0436,53.4658,73.4308,207.247,0,26.4411,49.6012,62.7774,64.1758,74.4274,7.96497,14.976,159.874,22.1349,7.94806,7.7638,568.687,161.142,314.929,1227.74,1789.91,89.0219,0,36.508,216.789,512.655,420.896,128.842,174.499,597.58,289.115,67.2912,82.0232,47.6793,90.9765,0,0,487.384,204.353,77.2585,28.2572,40.0691,75.467,147.038,282.672,194.83,274.896,149.498,224.962,89.1793,121.579,121.426,86.6943,75.6753,63.4077,238.433,34.5094,81.4447,206.159,174.877,59.7452,1211.07,109.071,475.779,156.253,264.472,845.223,198.84,763.369,569.863,16.2081,
2.17,99.379,102.281,94.41,91.6228,69.4337,34.5163,24.4617,1.03089,93.0928,50.1438,75.5512,211.883,0,23.7643,53.5053,69.5451,67.7847,65.6261,7.96867,17.3464,146.904,20.7204,8.52762,8.04704,484.747,160.546,323.161,1137.7,1750.78,68.0603,0,40.7999,226.805,492.08,379.817,121.947,188.775,638.497,311.465,68.6774,80.2174,24.8772,83.6684,0,0,451.62,201.061,70.4339,25.5263,40.4537,77.3242,148.035,279.551,193.173,270.132,145.736,175.044,78.0355,123.757,97.2596,69.5796,64.7482,60.5637,226.835,34.7781,82.5249,199.077,183.596,59.2159,1134.34,99.0008,539.83,151.778,225.891,853.274,199.826,790.249,612.903,16.2985,
