time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
2.075,98.8308,-68.025,12.8105,-7.63307,3.46321,0.802965,13.2336,22.5091,-14.0833,2.94077,
2.08,105.8,-24.1614,-8.73586,-18.6346,1.64841,1.28095,28.0875,11.3765,-27.9056,3.60224,
2.085,114.118,18.5102,-28.0572,-28.0236,1.2355,2.148,2.10773,0.518844,-17.5508,4.31707,
2.09,126.394,59.434,-51.3416,-36.2192,1.11533,3.34245,-11.0314,-9.87162,-10.5004,5.07181,
2.095,128.36,98.0848,-52.8222,-43.1586,4.16243,4.76939,-20.3002,-19.6111,-4.77166,5.84805,
2.1,137.732,133.989,-61.2087,-49.1133,7.90515,6.3822,-30.053,-28.5661,-0.802306,6.62915,
2.105,138.754,166.745,-56.166,-54.2818,8.06111,8.1465,-34.7756,-36.6389,3.22217,7.39884,
2.11,145.043,196.072,-55.0899,-58.2685,9.97917,9.91097,-44.6606,-43.7735,6.57873,8.14107,
2.115,148.384,221.726,-53.0852,-61.0907,10.9336,11.5905,-52.5519,-49.9393,8.64393,8.84312,
2.12,150.905,243.523,-50.3045,-62.7906,11.6032,13.1142,-58.982,-55.1307,9.77912,9.49361,
2.125,151.311,261.347,-48.7523,-62.7111,11.4431,14.191,-66.2949,-59.338,10.2137,10.0807,
2.13,151.092,275.11,-47.5416,-61.3593,11.1127,14.8735,-74.0008,-62.6206,10.2688,10.5958,
2.135,149.599,284.722,-46.5665,-58.5661,10.6278,15.0179,-80.5991,-65.0325,10.2767,11.0295,
2.14,146.512,290.105,-45.8218,-54.2321,9.98892,14.4967,-84.0235,-66.6255,8.99077,11.372,
2.145,141.834,291.171,-45.2357,-48.8421,9.29927,13.4625,-84.2939,-67.4013,7.13379,11.6105,
2.15,137.045,287.902,-43.6247,-41.807,8.72075,11.6017,-82.0818,-67.3684,5.03238,11.7308,
2.155,130.948,280.296,-43.2218,-33.8306,8.41784,9.24248,-78.0827,-66.5663,2.77264,11.7222,
2.16,125.862,268.557,-38.1401,-24.6413,7.55697,6.25007,-73.2526,-65.0368,0.582951,11.5746,
2.165,118.668,252.891,-38.5087,-14.4697,7.21035,2.7677,-67.1241,-62.8216,-1.47197,11.2798,
2.17,111.784,233.603,-36.6152,-3.62639,7.22712,-0.986818,-62.0767,-59.9847,-3.42886,10.8336,
2.175,106.336,211.26,-35.4864,7.96973,7.15593,-5.08156,-58.5307,-56.6447,-5.31955,10.2397,
2.18,89.932,186.507,-30.0857,19.554,6.259,-9.03229,-38.9873,-52.9367,-7.2049,9.50948,
2.185,82.2543,160.214,-28.0404,30.9284,6.28312,-12.8098,-42.8282,-49.0489,-9.04757,8.6644,
2.19,67.7323,133.189,-23.5187,41.4569,5.30709,-16.1097,-41.0749,-45.1755,-10.8108,7.73369,
2.195,59.0548,106.256,-17.8611,50.4934,6.54212,-18.6617,-38.8662,-41.5235,-12.0177,6.75509,
2.2,39.3868,80.3205,-11.4842,57.6583,5.84358,-20.4855,-37.4406,-38.2963,-13.2923,5.77217,
2.205,21.8734,56.0645,-6.16804,62.2252,5.73199,-21.2957,-35.9717,-35.6521,-15.945,4.8327,
2.21,3.41322,34.1188,2.34734,63.7403,5.41166,-21.0191,-32.5615,-33.7081,-17.7199,3.98413,
2.215,-14.2593,15.0022,5.00437,61.9437,5.31666,-19.6896,-32.5844,-32.5231,-19.7709,3.26986,
2.22,-31.1224,-0.909844,9.43271,56.76,5.46929,-17.3912,-31.0086,-32.0906,-21.7366,2.72587,
2.225,-48.1319,-13.3798,12.4084,48.3453,5.69734,-14.2653,-28.4415,-32.3408,-23.9614,2.37747,
2.23,-65.9101,-22.3227,14.1114,37.0675,6.29193,-10.4661,-25.2537,-33.1473,-26.459,2.23719,
2.235,-79.1132,-27.7964,17.2899,23.5121,6.53009,-6.16778,-20.688,-34.3382,-29.2749,2.30324,
2.24,-97.6748,-30.0016,16.0687,8.4451,7.60242,-1.55829,-14.9588,-35.7071,-32.3929,2.55909,
2.245,-91.3662,-29.2838,22.5872,-7.24343,7.10691,3.1643,-7.91558,-37.0227,-35.6353,2.97409,
2.25,-107.763,-26.1349,16.8484,-22.6105,9.19551,7.79091,-0.774136,-38.0354,-38.7341,3.50513,
2.255,-114.215,-21.1923,11.4521,-36.7347,11.6738,12.0985,5.57375,-38.4826,-41.9444,4.09933,
2.26,-119.671,-15.2328,7.83329,-48.7847,14.5634,15.8482,14.8538,-38.0921,-45.2446,4.69769,
2.265,-122.576,-9.15926,3.73745,-58.0718,17.1549,18.7889,24.1295,-36.5871,-48.5187,5.23935,
2.27,-123.344,-3.97676,-0.298706,-64.0855,19.361,20.6718,33.6163,-33.693,-51.7742,5.66645,
2.275,-121.778,-0.758877,-3.53471,-66.5148,19.9729,21.2827,44.2086,-29.1474,-54.9892,5.92915,
2.28,-119.665,-0.605476,-6.23862,-65.2772,21.0592,20.5051,54.9951,-22.716,-58.1927,5.99041,
2.285,-117.912,-4.55252,-6.75059,-60.4782,18.8953,18.3259,65.3996,-14.2129,-61.538,5.82916,
2.29,-116.624,-13.503,-7.08912,-52.4553,20.1457,14.9196,75.8911,-3.52585,-64.9844,5.44284,
2.295,-121.167,-28.0082,-8.70636,-41.4568,16.6456,10.3982,86.804,9.34687,-67.9921,4.84419,
2.3,-110.717,-48.4218,-2.33728,-28.299,18.7461,5.38074,97.6992,24.2834,-70.4002,4.06597,
2.305,-119.951,-74.6323,-4.36314,-13.9246,17.4228,0.546609,108.739,41.0036,-72.1777,3.15248,
2.31,-123.317,-105.918,-1.90069,0.956198,17.0279,-3.66251,119.248,59.0539,-73.1631,2.15187,
2.315,-126.491,-141.388,-0.466328,14.9533,16.8285,-6.42084,129.231,77.866,-73.1099,1.1142,
2.32,-131.8,-179.538,3.49812,27.8185,16.2066,-7.80483,138.666,96.7451,-72.0086,0.0770044,
2.325,-135.719,-218.758,5.49602,38.402,16.0008,-7.43407,148.487,114.986,-69.8611,-0.923868,
2.33,-142.322,-257.034,9.43643,46.9818,15.1189,-5.86136,158.579,131.883,-66.8103,-1.86824,
2.335,-148.779,-292.758,12.7786,53.3681,14.3812,-3.35289,162.847,146.857,-63.281,-2.74093,
2.34,-156.06,-324.361,16.2018,58.2799,13.5821,-0.579265,166.081,159.471,-59.8097,-3.53449,
2.345,-164.365,-350.542,19.7484,62.2818,12.5455,1.98949,173.426,169.415,-56.5959,-4.2374,
2.35,-171.581,-370.34,23.0058,65.8139,11.5622,4.05416,178.314,176.514,-54.0107,-4.83422,
2.355,-177.338,-383.05,25.9469,69.6574,10.868,5.31051,180.591,180.726,-52.1122,-5.30833,
2.36,-181.68,-388.489,28.591,73.4839,10.1209,5.92288,179.758,182.155,-50.7118,-5.63576,
2.365,-183.076,-386.715,30.3669,77.3517,9.60088,5.93903,176.965,180.945,-49.9972,-5.79488,
2.37,-182.337,-378.164,30.7333,80.7868,9.24614,5.56385,171.497,177.274,-49.9702,-5.76602,
2.375,-174.794,-363.565,32.0984,83.081,8.84138,5.02411,163.71,171.359,-50.8102,-5.53633,
2.38,-184.377,-343.782,28.1995,83.7266,8.91035,4.45606,153.629,163.455,-52.687,-5.10387,
2.385,-167.108,-319.769,29.3836,82.3335,8.45695,3.94811,141.393,153.837,-55.7455,-4.47895,
2.39,-157.82,-292.518,25.7223,78.6526,8.139,3.55354,128.802,142.804,-60.0694,-3.68469,
2.395,-146.716,-281.368,21.5551,58.8494,8.42895,7.10331,122.607,131.258,-65.6645,-10.6007,
2.4,-136.838,-282.062,14.7277,46.4281,8.72299,9.48912,77.4103,127.541,-72.3364,-20.3406,
2.405,-124.268,-289.57,10.7053,31.7057,8.84931,12.5916,72.9448,124.482,-80.1194,-32.7235,
2.41,-113.881,-302.406,4.27985,15.8383,8.72932,16.1394,52.7374,121.255,-89.6065,-47.7934,
2.415,-106.081,-317.615,-0.82614,0.668034,8.26505,19.6104,30.2481,116.871,-100.149,-65.2986,
2.42,-91.7368,-331.072,-4.72394,-11.8982,8.27314,22.3059,7.02029,110.206,-111.007,-84.8015,
2.425,-101.833,-336.97,-12.9106,-21.363,4.70131,23.6908,-15.8506,99.4178,-121.299,-105.777,
2.43,-78.7744,-329.279,-15.0055,-28.5482,5.53707,23.63,-38.777,82.6485,-131.168,-127.565,
2.435,-69.0645,-306.673,-19.0289,-34.3459,4.27366,22.4069,-61.0828,60.4012,-140.378,-149.527,
2.44,-61.7325,-273.411,-22.7403,-39.5468,2.52465,20.6631,-80.2596,35.5126,-148.35,-171.025,
2.445,-56.5893,-235.946,-25.9532,-44.798,0.205197,19.0904,-95.3112,11.2554,-154.496,-191.365,
2.45,-45.9889,-199.604,-27.8267,-50.5033,-1.15718,18.1606,-105.846,-10.0845,-158.921,-209.854,
2.455,-44.7132,-167.292,-30.5176,-56.9368,-4.39093,18.0641,-110.501,-27.5542,-161.878,-225.878,
2.46,-30.5471,-140.269,-30.1919,-64.0173,-4.59922,18.7395,-108.31,-40.9067,-163.479,-238.951,
2.465,-43.7574,-119.174,-33.6551,-71.2273,-10.8525,19.9465,-99.6018,-50.0059,-163.479,-248.72,
2.47,-27.638,-103.973,-31.3539,-77.9542,-9.82636,21.3725,-85.3463,-54.9091,-161.664,-254.948,
2.475,-23.2827,-93.7106,-31.8506,-83.8377,-10.2495,22.7379,-68.1579,-56.0627,-157.903,-257.484,
2.48,-20.0457,-86.9884,-29.1708,-88.7533,-12.3052,23.8467,-50.249,-54.0943,-151.986,-256.248,
