,t0,tf,p_t0,p_tf
0,0.187,0.8855000000000001,[0.13046329 0.         0.19493393],[0. 0. 0.]
1,0.7545000000000001,1.467,[0.87799168 0.         0.23764092],[0. 0. 0.]
2,1.335,2.0115,[1.61362299 0.         0.17731718],[0. 0. 0.]
