iteration,loss,learning rate,
1,1711.51,0.02,
2,1316.57,0.02,
3,1122.66,0.02,
4,990.541,0.02,
5,866.623,0.02,
6,771.412,0.02,
7,711.796,0.02,
8,668.382,0.02,
9,628.324,0.02,
10,594.799,0.02,
11,577.11,0.02,
12,555.054,0.02,
13,524.311,0.02,
14,497.175,0.02,
15,480.875,0.02,
16,475.248,0.02,
17,471.795,0.02,
18,473.122,0.02,
19,465.684,0.02,
20,464.589,0.02,
21,466.292,0.02,
22,462.504,0.02,
23,456.84,0.02,
24,448.385,0.02,
25,445.135,0.02,
26,436.715,0.02,
27,436.163,0.02,
28,442.771,0.02,
29,452.649,0.02,
30,455.709,0.02,
31,476.582,0.02,
32,487.092,0.02,
33,475.663,0.02,
34,602.578,0.02,
35,467.281,0.02,
36,449.632,0.02,
37,438.923,0.02,
38,432.375,0.02,
39,428.843,0.02,
40,429.97,0.02,
41,432.329,0.02,
42,433.208,0.02,
43,433.419,0.02,
44,430.806,0.02,
45,425.62,0.02,
46,420.045,0.02,
47,415.092,0.02,
48,409.025,0.02,
49,404.453,0.02,
50,403.826,0.02,
51,403.144,0.02,
52,399.111,0.02,
53,397.217,0.02,
54,394.868,0.02,
55,394.339,0.02,
56,394.206,0.02,
57,395.531,0.02,
58,397.822,0.02,
59,400.021,0.02,
60,402.435,0.02,
61,406.917,0.02,
62,407.453,0.02,
63,410.269,0.02,
64,411.752,0.02,
65,407.988,0.02,
66,411.356,0.02,
67,413.481,0.02,
68,420.781,0.02,
69,427.589,0.02,
70,436.343,0.02,
71,441.54,0.02,
72,437.521,0.02,
73,433.108,0.02,
74,424.715,0.02,
75,418.152,0.02,
76,410.867,0.02,
