time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
4.275,105.052,-77.9471,-102.979,-118.329,4.89047,12.0183,16.9623,23.0318,-22.6421,2.94328,
4.28,105.115,-29.7323,-116.479,-131.99,8.61696,14.0325,13.0829,9.94068,-23.56,3.90725,
4.285,105.53,18.9709,-170.916,-140.949,12.069,15.7754,-43.0257,-2.91466,-17.7718,4.93833,
4.29,116.2,67.0005,-157.919,-145.684,15.1612,17.1491,-54.0454,-15.2739,-14.6687,6.0191,
4.295,121.61,113.283,-165.371,-146.481,14.1408,18.0418,-68.371,-26.8846,-12.0669,7.12789,
4.3,163.859,156.883,-119.995,-143.376,14.3442,18.283,-77.3196,-37.5163,-9.36781,8.23947,
4.305,158.617,196.913,-134.383,-136.585,14.1149,17.7159,-83.5416,-46.9609,-6.80733,9.32672,
4.31,182.373,232.532,-92.5367,-126.654,11.2356,16.2613,-87.1265,-55.0255,-4.80608,10.3609,
4.315,171.386,263.055,-105.094,-113.834,14.0178,13.7799,-88.4637,-61.5346,-3.89798,11.3099,
4.32,184.997,287.846,-61.7062,-98.78,11.2489,10.2729,-89.4203,-66.3573,-3.71176,12.1408,
4.325,172.054,306.329,-66.2816,-82.5208,11.9701,5.94483,-91.2086,-69.412,-3.72664,12.8208,
4.33,166.105,318.104,-61.8856,-65.2931,12.5962,0.813185,-93.2781,-70.6889,-3.69275,13.3189,
4.335,154.637,322.813,-26.9484,-48.3167,0.6079,-4.63242,-93.2167,-70.1703,-3.46477,13.6065,
4.34,138.002,320.343,-29.375,-31.9853,2.76415,-10.1082,-89.9245,-67.912,-2.93042,13.6599,
4.345,122.238,310.817,-23.7092,-16.6778,0.442044,-15.2748,-84.3861,-64.0603,-2.06021,13.4648,
4.35,104.475,294.596,-14.9173,-3.01111,-0.86523,-19.6171,-77.3172,-58.85,-0.786072,13.0201,
4.355,86.909,272.545,-9.11131,9.39647,-1.37781,-23.1529,-69.9474,-52.5997,0.873322,12.3363,
4.36,72.1938,245.437,-0.632696,19.8724,-0.28607,-25.3524,-62.349,-45.6464,3.09064,11.4357,
4.365,53.8183,214.547,1.27858,28.8568,-2.51774,-26.4217,-55.3555,-38.4066,6.02112,10.3536,
4.37,42.4894,181.275,8.6055,35.9694,-1.23045,-26.1731,-48.5056,-31.2915,9.42778,9.13836,
4.375,23.9967,147.153,14.4358,41.1708,-2.18503,-24.7258,-45.797,-24.7002,12.9436,7.84653,
4.38,7.69826,113.672,15.6415,44.4861,-3.41487,-22.3287,-42.5745,-18.9765,16.873,6.53926,
4.385,-11.3695,82.0341,16.5843,45.626,-4.57906,-19.0062,-41.2533,-14.3731,21.2685,5.27838,
4.39,-24.922,53.3447,19.5692,44.7733,-4.34472,-15.1292,-41.7046,-11.0604,26.0074,4.1208,
4.395,-42.9067,28.3345,22.6008,41.9466,-4.80713,-10.8649,-42.2827,-9.0967,31.0891,3.11659,
4.4,-52.7265,7.40619,27.9848,37.2907,-3.98685,-6.37105,-44.0319,-8.44131,36.1973,2.30384,
4.405,-93.7003,-9.30803,28.8389,31.2091,-8.58313,-1.91537,-46.083,-8.97055,37.2179,1.70475,
4.41,-27.5714,-21.9567,28.9584,24.1825,10.7027,2.26415,-48.2443,-10.4914,35.5982,1.32534,
4.415,-94.2566,-30.9097,32.096,16.7521,-0.821831,5.94486,-49.5242,-12.7618,32.3577,1.15521,
4.42,-98.8826,-36.7114,32.1301,9.4345,2.94981,8.95934,-48.6476,-15.5089,27.1512,1.16931,
4.425,-118.219,-40.0189,24.551,2.69184,5.45262,11.1846,-45.5984,-18.4445,21.0045,1.33028,
4.43,-146.107,-41.5525,9.63461,-3.10036,10.1247,12.5403,-40.6159,-21.2764,14.846,1.59178,
4.435,-161.932,-42.0578,4.51768,-7.67212,16.7891,12.9877,-33.7441,-23.7138,9.07823,1.90243,
4.44,-172.331,-42.2795,4.59533,-10.8629,22.4219,12.5282,-25.2458,-25.47,3.74408,2.21003,
4.445,-177.084,-42.9455,12.8946,-12.6138,24.8037,11.204,-15.2895,-26.2638,-1.00586,2.46586,
4.45,-183.242,-44.7532,18.0377,-12.9537,25.1003,9.10104,-3.77293,-25.8212,-4.98439,2.6287,
4.455,-190.459,-48.3565,24.8637,-11.9849,24.3101,6.35272,7.7303,-23.8812,-8.65935,2.66818,
4.46,-193.579,-54.3466,33.3666,-9.8772,24.3522,3.14976,20.2913,-20.2074,-11.7303,2.56738,
4.465,-213.826,-63.2232,-9.05892,-6.86419,23.0928,-0.257711,34.0653,-14.6057,-14.3871,2.3239,
4.47,-193.329,-75.3523,33.8555,-3.21366,24.4574,-3.58919,47.6899,-6.9483,-16.8186,1.94911,
4.475,-192.871,-90.9304,33.5081,0.761095,24.1865,-6.53583,57.9892,2.79888,-19.1953,1.46632,
4.48,-189.637,-109.907,33.3151,4.93909,24.0673,-8.96279,68.3735,14.5462,-21.194,0.904629,
4.485,-189.334,-132.039,29.3492,9.00321,24.0293,-10.6111,77.1805,28.072,-22.9888,0.299798,
4.49,-187.718,-156.846,24.728,12.5783,23.9353,-11.2424,86.8716,43.0197,-24.8322,-0.311927,
4.495,-185.801,-183.514,19.2081,15.7758,25.0996,-11.0245,94.5896,58.8945,-27.1569,-0.901661,
4.5,-197.031,-211.181,11.4874,18.2774,23.4594,-9.87061,101.825,75.13,-29.6783,-1.44473,
4.505,-193.477,-238.816,5.86232,20.2191,24.6234,-8.03881,108.63,91.107,-32.4564,-1.92764,
4.51,-187.648,-265.309,2.32907,21.9282,24.395,-5.89584,113.532,106.213,-35.1312,-2.34509,
4.515,-175.628,-289.567,1.92342,23.2993,24.1958,-3.55078,119.929,119.904,-37.8528,-2.69403,
4.52,-166.104,-310.47,1.26799,25.0947,25.2239,-1.54269,132.686,131.713,-39.76,-2.97995,
4.525,-190.588,-327.318,20.2076,27.115,17.3953,0.145932,151.619,141.331,-41.7395,-3.20428,
4.53,-166.485,-339.512,-5.87748,29.6437,23.8961,1.32714,134.305,148.576,-43.2359,-3.36975,
4.535,-161.947,-346.682,-1.19277,32.8013,20.8119,1.93865,145.89,153.382,-44.3553,-3.47449,
4.54,-152.649,-348.729,-2.99416,36.1468,19.9235,2.16135,153.042,155.785,-45.1072,-3.50965,
4.545,-145.92,-345.773,-4.46691,39.5461,18.7796,2.05202,156.882,155.911,-44.871,-3.46645,
4.55,-142.686,-338.149,-5.00155,42.5911,17.205,1.76243,158.461,153.959,-46.9008,-3.33342,
4.555,-130.879,-326.381,-4.02887,44.7193,15.5498,1.47042,157.967,150.174,-47.6919,-3.09944,
4.56,-123.663,-311.104,-5.11282,45.5744,13.4908,1.26808,155.993,144.809,-48.842,-2.75829,
4.565,-115.327,-293.026,-5.82174,44.9073,11.4908,1.21105,152.956,138.127,-50.5521,-2.30998,
4.57,-108.95,-286.342,-6.05485,30.0534,9.08575,5.00053,148.305,131.225,-52.9314,-4.39207,
4.575,-106.199,-290.859,-9.74986,19.9499,7.41959,7.52141,141.887,129.258,-56.2166,-12.0349,
4.58,-102.776,-301.762,-9.31921,6.8596,5.29908,10.6614,131.972,127.435,-60.5169,-21.754,
4.585,-101.705,-318.063,-19.542,-8.34478,6.68782,14.1356,126.458,124.995,-67.0604,-33.5739,
4.59,-102.303,-337.165,-33.6651,-23.9643,10.2381,17.433,108.513,120.941,-73.0324,-47.3843,
4.595,-119.955,-354.895,-41.091,-37.4413,12.6017,19.8049,108.844,114.239,-82.6361,-62.8906,
4.6,-105.907,-366.389,-56.8296,-46.4036,15.1745,20.5176,71.0127,104.105,-93.842,-79.7393,
4.605,-109.825,-367.336,-68.9761,-50.681,20.1052,19.4441,56.6107,90.0834,-105.427,-97.6865,
4.61,-111.425,-355.158,-62.0336,-52.0516,9.09914,17.1333,39.2347,71.939,-116.969,-116.542,
4.615,-121.211,-330.61,-95.2489,-52.5875,31.5299,14.3874,22.7731,50.3962,-128.131,-136.102,
4.62,-120.497,-297.517,-67.1194,-53.8259,8.24037,11.9565,6.81708,27.3124,-138.638,-156.103,
4.625,-126.331,-260.891,-99.6423,-56.7171,20.7687,10.3673,-7.4481,4.92585,-148.276,-176.165,
4.63,-125.549,-225.074,-81.4672,-61.5391,10.2414,9.82205,-19.4748,-14.9527,-156.428,-195.832,
4.635,-126.286,-192.705,-77.7874,-67.7996,8.45249,10.1949,-28.8331,-31.3134,-163.288,-214.634,
4.64,-124.109,-164.772,-74.755,-74.5816,6.23583,11.1629,-35.3841,-43.8255,-168.771,-232.117,
4.645,-116.679,-141.06,-62.6228,-80.8746,2.32792,12.3404,-39.022,-52.609,-172.819,-247.852,
4.65,-90.1234,-120.634,-59.4012,-85.6951,4.45522,13.3595,-39.5835,-58.0429,-175.494,-261.427,
4.655,-93.1594,-102.36,-47.4103,-88.3713,0.221299,13.9626,-37.4747,-60.5843,-176.829,-272.444,
