,t0,tf,p_t0,p_tf
0,0.555,1.249,[0.17767694 0.         0.17845472],[0. 0. 0.]
1,1.123,1.8345,[0.8605768  0.         0.25518884],[0. 0. 0.]
2,1.708,2.412,[1.53224465 0.         0.23467493],[0. 0. 0.]
