,t0,tf,p_l
0,0.4,1.0050000000000001,[-0.28410091  0.          0.05822239]
1,0.868,1.495,[-0.06228124  0.          0.03713451]
2,1.361,1.975,[0.15439056 0.         0.07440435]
3,1.835,,[0.17398482 0.         0.02511237]
4,,,[0. 0. 0.]
