,t0,tf,p_t0,p_tf
0,0.2175,0.895,[0.11017547 0.         0.1771095 ],[0. 0. 0.]
1,0.7765,1.451,[0.96971262 0.         0.16861775],[0. 0. 0.]
2,1.327,2.008,[1.67149635 0.         0.18133371],[0. 0. 0.]
