time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.285,0.271077,0.0494019,0.0876595,7.14662e-43,0.00728248,0.0436151,0.169873,0.0504179,
0.29,0.254254,0.0456297,0.0808271,1.4013e-44,0.00824146,0.0479312,0.163857,0.0568042,
0.295,0.237148,0.042877,0.0760363,1.4013e-44,0.00808491,0.0522823,0.160938,0.0621318,
0.3,0.220875,0.0416076,0.0729697,1.4013e-44,0.00687492,0.0562209,0.161259,0.0659964,
0.305,0.206219,0.0424946,0.0721673,5.86023e-42,0.000361969,0.0590353,0.165065,0.0710948,
0.31,0.196006,0.0448337,0.0707343,1.27222e-32,4.12329e-12,0.0610484,0.169697,0.0699182,
0.315,0.191331,0.0491531,0.069575,6.68931e-22,4.97061e-20,0.0616785,0.174871,0.0665841,
0.32,0.193724,0.0554007,0.0685414,8.30037e-12,1.42094e-24,0.0608405,0.179235,0.0617602,
0.325,0.204003,0.0633331,0.0676104,8.63517e-05,6.69334e-25,0.0585678,0.181472,0.0559687,
0.33,0.221804,0.0726957,0.0671424,0.00236151,2.16186e-20,0.0537656,0.180918,0.0481096,
0.335,0.246376,0.0824722,0.0670976,0.00405288,3.08976e-11,0.0485674,0.17672,0.0412012,
0.34,0.276559,0.091298,0.0661668,0.00686455,0.00797693,0.0428105,0.168053,0.0291198,
0.345,0.308978,0.0986826,0.0661276,0.00792431,0.0150425,0.0383325,0.156791,0.0204974,
0.35,0.34058,0.103812,0.0666714,0.00804218,0.0232437,0.0352898,0.144165,0.0134821,
0.355,0.368237,0.106973,0.0680081,0.0100324,0.0340027,0.0329172,0.132175,0.00142916,
0.36,0.389695,0.106371,0.0700521,0.00768554,0.0421796,0.0340799,0.122159,0.000196705,
0.365,0.40338,0.103263,0.0727549,3.90464e-08,0.0503528,0.0407497,0.11552,3.61752e-06,
0.37,0.40625,0.0974915,0.0768993,1.46416e-16,0.0574291,0.0430287,0.115249,8.86669e-09,
0.375,0.3985,0.0898207,0.0818982,6.37314e-22,0.0634244,0.046215,0.121467,6.88857e-10,
0.38,0.380423,0.0808497,0.087496,8.31161e-26,0.0679593,0.0497594,0.134443,6.75865e-11,
0.385,0.35325,0.0713211,0.0933704,1.60803e-26,0.0707103,0.053174,0.153555,7.03895e-11,
0.39,0.319107,0.0620369,0.0991687,6.59797e-22,0.0714576,0.0560992,0.177078,3.82399e-10,
0.395,0.28092,0.0537332,0.104577,1.86062e-14,0.0701502,0.0582418,0.202379,3.62529e-09,
0.4,0.241969,0.0469097,0.109381,9.88528e-05,0.0669191,0.0593082,0.226594,2.08369e-06,
0.405,0.203924,0.0414215,0.113998,0.0103329,0.0614826,0.0516159,0.248483,1.31342e-07,
0.41,0.170755,0.0380994,0.11723,0.0132585,0.0551937,0.0482253,0.264294,9.04701e-09,
0.415,0.142941,0.0366026,0.119304,0.0160237,0.0480469,0.0439362,0.273733,2.59044e-08,
0.42,0.121367,0.0367269,0.120052,0.0184209,0.0405435,0.0392485,0.276105,1.13033e-08,
0.425,0.106346,0.0379413,0.119406,0.0195234,0.0326526,0.035028,0.271103,0.00216904,
0.43,0.0979313,0.0376947,0.117243,0.00989452,0.0182511,0.0361309,0.258285,0.028261,
0.435,0.0948548,0.0399916,0.114402,0.00730372,0.0103741,0.0349978,0.239792,0.0353403,
0.44,0.0962269,0.0422977,0.111084,0.00283615,0.00263363,0.0357511,0.216815,0.0448566,
0.445,0.100884,0.0441457,0.107061,7.39354e-06,5.5895e-16,0.036433,0.191601,0.0504694,
0.45,0.107086,0.0454207,0.103336,5.67303e-17,1.70074e-24,0.0359857,0.167332,0.0529779,
0.455,0.113752,0.0457507,0.100426,4.36044e-34,8.04105e-26,0.035841,0.146123,0.0564072,
0.46,0.120081,0.0449488,0.0984614,9.80909e-45,1.22357e-20,0.0358467,0.129366,0.0606124,
0.465,0.125487,0.04293,0.0974959,7.00649e-45,3.21061e-11,0.0358508,0.117915,0.0653532,
0.47,0.129898,0.0394455,0.0967497,7.00649e-45,0.00354382,0.0359133,0.111699,0.0679747,
0.475,0.132668,0.0348495,0.096702,5.60519e-45,0.00800183,0.0357452,0.111304,0.0698593,
0.48,0.133412,0.0294616,0.0974226,5.60519e-45,0.0122396,0.0351991,0.116839,0.0714026,
0.485,0.131921,0.0236649,0.0987306,5.60519e-45,0.0157365,0.0342422,0.127906,0.072601,
0.49,0.128178,0.0179451,0.100309,5.60519e-45,0.0181129,0.0329397,0.143466,0.0734278,
0.495,0.122334,0.0128269,0.101765,7.00649e-45,0.0191316,0.0314724,0.161931,0.0738577,
0.5,0.114692,0.00874365,0.102733,8.40779e-45,0.0186723,0.0301029,0.181528,0.073875,
0.505,0.105662,0.00592944,0.102912,1.12104e-44,0.0167219,0.0290953,0.200539,0.073548,
0.51,0.0957921,0.0044047,0.102086,6.74332e-34,0.0133792,0.0286322,0.217303,0.0731054,
0.515,0.0857114,0.00403446,0.100104,1.00464e-17,0.00894249,0.0288138,0.230411,0.0727747,
0.52,0.0757011,0.00480293,0.0974056,8.30411e-07,0.00143277,0.029541,0.239287,0.0743396,
0.525,0.0666965,0.00616472,0.0926529,0.0048798,1.46985e-16,0.028237,0.242742,0.0679997,
0.53,0.05898,0.00778853,0.086454,0.00910368,6.9191e-31,0.0279909,0.240681,0.0617531,
0.535,0.0526711,0.00945594,0.0793268,0.0118604,2.38221e-44,0.0290285,0.233572,0.0573768,
0.54,0.0478783,0.0109569,0.0716133,0.0130486,1.54143e-44,0.0311597,0.222115,0.0550209,
0.545,0.0446605,0.0120761,0.0636732,0.012627,1.12104e-44,0.0341028,0.207273,0.0547765,
0.55,0.0430024,0.0126636,0.0558712,0.0106288,1.12104e-44,0.037508,0.190099,0.0566471,
0.555,0.0427669,0.0126628,0.0485227,0.00718497,1.26117e-44,0.0409879,0.171669,0.0604899,
0.56,0.0436774,0.0121168,0.0419009,0.00245837,1.82169e-44,0.0442301,0.153033,0.0659883,
0.565,0.0450442,0.0114718,0.0365606,2.96985e-16,1.432e-29,0.044887,0.135429,0.069846,
0.57,0.0473285,0.0103268,0.0311794,7.49414e-42,0.00653072,0.0432492,0.118227,0.0673102,
0.575,0.0499493,0.00899837,0.0267265,1.12104e-44,0.0137951,0.040647,0.102073,0.0640635,
0.58,0.0526922,0.00762598,0.0232662,8.40779e-45,0.0209943,0.0372097,0.0870935,0.0605239,
0.585,0.055404,0.00631665,0.0207376,7.00649e-45,0.0276483,0.0331468,0.073381,0.0569912,
0.59,0.0579883,0.00517223,0.0190542,5.60519e-45,0.033307,0.0286799,0.0611221,0.0536983,
0.595,0.0603901,0.00428979,0.0181508,5.60519e-45,0.0375741,0.0240778,0.0505686,0.0507674,
0.6,0.0625837,0.00375112,0.0179635,4.2039e-45,0.0401399,0.0196333,0.0418873,0.0482044,
0.605,0.0645784,0.00359797,0.0184325,4.2039e-45,0.0408448,0.0156496,0.0350555,0.0459458,
0.61,0.0663841,0.00385943,0.0194648,4.2039e-45,0.0397061,0.0123819,0.0299021,0.0439131,
0.615,0.0680147,0.00453032,0.0209417,4.2039e-45,0.0369359,0.00999177,0.0261571,0.0420736,
0.62,0.0694671,0.00559767,0.022713,4.2039e-45,0.0328951,0.00857077,0.0234896,0.040457,
0.625,0.0707152,0.00703157,0.0246235,5.60519e-45,0.0280149,0.00815392,0.0216158,0.0391073,
0.63,0.0716926,0.00877169,0.026564,5.60519e-45,0.0226519,0.00871906,0.0202817,0.0380997,
0.635,0.0723436,0.0107169,0.028479,5.60519e-45,0.0171117,0.0102153,0.0192499,0.0374547,
0.64,0.0726283,0.0127229,0.0303431,7.00649e-45,0.011655,0.0125522,0.018296,0.0371744,
0.645,0.0725512,0.0146086,0.0321427,7.00649e-45,0.00649129,0.0155708,0.0172563,0.0372934,
0.65,0.0721554,0.0162087,0.0338466,7.00649e-45,0.00177673,0.0190513,0.0160494,0.0378528,
0.655,0.0717864,0.0172083,0.0349118,7.00649e-45,6.65384e-26,0.0228582,0.0143328,0.0372735,
0.66,0.0714609,0.0176159,0.0355987,7.00649e-45,1.26117e-44,0.0266296,0.0124274,0.0362985,
0.665,0.0711604,0.0175196,0.0363121,7.00649e-45,8.40779e-45,0.0299907,0.0108462,0.0360303,
0.67,0.0710746,0.016893,0.0370886,7.00649e-45,7.00649e-45,0.0327449,0.00987431,0.0363256,
0.675,0.0713981,0.015761,0.0379506,7.00649e-45,5.60519e-45,0.0347802,0.00974677,0.0370217,
0.68,0.072354,0.0141892,0.0389251,7.00649e-45,5.60519e-45,0.0360178,0.0106442,0.0379427,
0.685,0.074182,0.0122996,0.040013,7.00649e-45,4.2039e-45,0.0364216,0.0126643,0.0389559,
0.69,0.0770467,0.0102692,0.0412024,7.00649e-45,4.2039e-45,0.0359584,0.015872,0.0399517,
0.695,0.0809925,0.00829464,0.042454,7.00649e-45,5.60519e-45,0.0346398,0.0202569,0.0408977,
0.7,0.0858683,0.00656486,0.0437328,7.00649e-45,5.60519e-45,0.032536,0.0258058,0.0417913,
0.705,0.091343,0.00523593,0.0449741,7.00649e-45,7.00649e-45,0.0298074,0.0325254,0.0426846,
0.71,0.0969564,0.00443165,0.046115,7.00649e-45,9.80909e-45,0.0266931,0.0404689,0.0436341,
0.715,0.102221,0.00425985,0.0471026,7.00649e-45,8.76989e-41,0.0234229,0.0497047,0.0446876,
0.72,0.106695,0.00479777,0.0478962,7.00649e-45,1.24245e-10,0.0202135,0.0602419,0.0458609,
0.725,0.110587,0.00564575,0.0472943,7.00649e-45,0.00549403,0.0175571,0.071113,0.0435392,
0.73,0.112884,0.00724822,0.0464615,8.40779e-45,0.011109,0.0153025,0.0828451,0.0412008,
0.735,0.113195,0.00958795,0.0454533,9.80909e-45,0.0166306,0.0136182,0.0949565,0.0389241,
0.74,0.111282,0.0126322,0.0443627,1.26117e-44,0.0216907,0.0126312,0.106847,0.0368845,
0.745,0.107175,0.0163185,0.0432486,1.4013e-44,0.0260337,0.0124581,0.117864,0.0352554,
0.75,0.101127,0.0205792,0.0421436,2.71852e-43,0.0294726,0.0131368,0.127364,0.034229,
0.755,0.0935846,0.0253271,0.0410837,1.26117e-44,0.0318857,0.0146183,0.134689,0.0339986,
0.76,0.0850886,0.0304076,0.0401129,1.12104e-44,0.0332282,0.0167801,0.139363,0.0346823,
0.765,0.076228,0.035582,0.0392593,9.80909e-45,0.0335042,0.0194704,0.141149,0.0363229,
0.77,0.0676407,0.0405232,0.0385344,7.00649e-45,0.0327782,0.0224902,0.140059,0.0388953,
0.775,0.0599607,0.0449013,0.0379242,7.00649e-45,0.0311434,0.0256228,0.136374,0.0422855,
0.78,0.0537531,0.0484663,0.0374298,5.60519e-45,0.0287054,0.0286621,0.130663,0.0463192,
0.785,0.0494815,0.0510764,0.0370668,5.60519e-45,0.0255983,0.031446,0.123768,0.0507986,
