time,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,hip_flexion_r,hip_flexion_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,hip_flexion_l,hip_flexion_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
2.295,119.057,389.352,9.24469,-125.092,-43.2868,772.524,-32.3107,-284.333,-25.9618,-21.9235,5.58401,-1231.63,-1.25314,13.4023,-8.50961,879.066,6.45679,-176.937,-34.3375,-38.3445,
2.3,124.52,-205.998,8.79368,21.9429,-40.542,-78.5358,-29.5646,-105.823,-33.3196,-15.5684,5.52423,-219.502,-1.23339,-83.8962,-8.52429,336.387,6.49377,-75.6689,-24.3926,-45.926,
2.305,150.599,162.429,4.24055,-29.1612,-69.4445,-73.9014,-38.61,26.5781,-27.6468,-23.5271,2.53814,460.69,0.924582,21.7507,-13.6174,-345.904,3.58216,-100.417,-28.107,-51.8548,
2.31,158.253,-348.61,3.17422,-18.2483,-80.9378,227.566,-43.6974,-166.039,-28.0251,-9.90672,1.95203,-70.9827,1.36735,-117.873,-15.7842,501.314,2.35518,-94.5565,-19.1137,-44.1314,
2.315,158.04,37.6976,3.12395,-29.2117,-87.7652,-46.2121,-46.5598,-26.3875,-15.0981,-12.9473,1.47241,139.511,1.79093,38.7535,-17.2625,-163.494,0.360236,-136.532,-18.3626,-43.9289,
2.32,155.39,89.671,3.4409,14.3767,-91.6063,-91.0621,-48.0985,-86.2313,-14.8364,-14.3468,1.47021,352.098,1.88269,-184.215,-18.2783,511.266,-0.400306,-119.598,-16.7483,-47.7165,
2.325,152.813,96.7221,3.57893,-111.736,-94.0121,385.426,-49.3914,-62.7788,-11.6567,-9.16803,1.63932,-75.5117,1.89313,26.2999,-19.1499,-127.514,-0.751101,-93.1242,-15.0913,-40.5537,
2.33,150.677,181.639,3.76569,113.886,-95.7982,-600.435,-50.6924,-51.4736,-13.7532,-13.7458,1.89504,-197.453,1.87117,55.226,-19.9639,-170.396,-0.950461,-84.8602,-15.1461,-37.4101,
2.335,149.175,29.5522,3.5168,-287.786,-97.0202,1066.96,-52.1691,-84.1364,-11.9593,-13.2309,2.21444,-70.5406,1.82878,-149.213,-20.7435,559.842,-1.18895,-113.821,-16.4113,-42.1411,
2.34,147.545,-87.7726,4.3895,144.826,-98.5609,-612.554,-53.8853,-58.7032,-10.5144,-0.321721,2.5605,-35.0965,1.76939,27.487,-21.4992,-35.0864,-1.48092,-138.359,-9.13726,-32.1015,
2.345,147.409,-3.37907,1.64204,-4.90681,-98.0292,61.2539,-55.806,-124.376,-4.61964,-6.25452,2.92757,47.0279,1.69324,25.9721,-22.229,-283.769,-1.848,-71.9946,-11.7509,-37.9519,
2.35,144.185,-57.9028,7.73269,-13.7027,-101.732,57.9359,-57.9047,-108.096,-11.3967,-13.4048,3.30823,-204.927,1.60637,-43.4502,-22.9315,403.152,-2.28425,-142.687,-14.1791,-31.1291,
2.355,145.085,-353.483,2.28772,-85.6364,-99.4253,588.858,-60.1266,-130.531,-8.89182,5.53004,3.69678,-55.1224,1.51199,-138.256,-23.6048,616.736,-2.78481,-161.034,-10.8316,-27.509,
2.36,142.39,33.7497,7.38529,95.0497,-102.112,-440.809,-62.4046,-111.675,-0.840332,-2.67736,4.08989,184.962,1.40446,58.5619,-24.2448,-329.237,-3.34224,-134.368,-9.83686,-25.0287,
2.365,142.756,-136.179,2.70492,-53.7083,-99.9155,329.461,-64.7129,-121.846,1.14173,-1.11266,4.4934,-128.534,1.26528,-70.4261,-24.8434,355.205,-3.94996,-128.871,-9.54653,-28.4685,
2.37,139.885,-77.4882,8.18482,46.7147,-102.45,-119.92,-67.004,-150.938,0.865746,-3.39852,4.91946,10.8672,1.0753,22.6361,-25.3893,-79.1483,-4.59825,-135.258,-10.5356,-24.0782,
2.375,139.509,-79.6583,4.97531,-41.959,-100.712,240.849,-69.2551,-130.324,1.49541,-4.78536,5.28884,-67.2844,0.86717,-57.3063,-25.7928,308.426,-5.24426,-155.81,-11.9836,-26.4435,
2.38,137.414,-101.009,7.43379,-17.3905,-101.385,153.079,-71.4699,-144.401,2.98983,-0.997255,5.63525,59.3144,0.669866,-18.2029,-26.1361,-6.94659,-5.92547,-135.021,-12.1448,-30.1697,
2.385,135.962,-100.336,7.23512,5.26968,-100.6,57.0867,-73.6355,-145.189,2.8344,-4.78086,5.9709,-171.777,0.476685,-37.2901,-26.4641,358.427,-6.65416,-183.827,-13.2757,-27.5739,
2.39,134.219,-43.0423,8.02826,-19.5347,-100.254,107.918,-75.8058,-143.599,3.82462,-6.88409,6.30101,106.01,0.255826,-7.27692,-26.7727,-133.723,-7.42925,-138.896,-14.3744,-33.3678,
2.395,132.423,-212.037,8.87062,-62.6538,-99.9223,392.139,-77.9591,-155.073,5.72446,0.983583,6.59888,-229.115,0.0582178,-129.36,-27.0819,801.243,-8.23579,-211.834,-13.2802,-25.322,
2.4,130.41,73.4288,9.77748,108.464,-99.8631,-500.877,-80.0887,-136.949,4.59455,-7.8571,6.86709,188.448,-0.128451,70.0058,-27.3918,-558.969,-9.06185,-132.903,-14.4449,-30.2136,
2.405,129.136,-114.944,10.3252,-69.1658,-98.8402,368.356,-82.1922,-145.06,1.24631,-12.8103,7.19204,-108.677,-0.305638,-77.8715,-27.696,448.934,-9.90537,-203.958,-18.0299,-34.9522,
2.41,127.298,-125.289,10.658,33.5183,-98.1662,2.99391,-84.4786,-184.351,1.78683,-7.3448,7.43031,31.9124,-0.466106,15.999,-28.0149,-169.211,-10.7611,-152.881,-17.2429,-35.6138,
2.415,125.336,-108.854,13.2419,-28.8875,-98.7852,179.991,-86.3419,-146.343,2.53267,-11.1801,7.63704,-113.07,-0.609071,-129.088,-28.348,702.692,-11.6253,-229.655,-18.2302,-30.0347,
2.42,123.694,-133.593,13.5883,58.8503,-98.3823,-102.473,-88.4319,-170.527,4.19724,-7.19252,7.83164,335.015,-0.733165,29.6874,-28.695,-574.251,-12.4947,-127.777,-17.6425,-38.1045,
2.425,121.807,-135.1,14.201,-46.5527,-98.4881,249.488,-90.6039,-156.818,4.90391,-11.0439,7.96636,-174.17,-0.844254,-107.475,-29.0674,663.656,-13.3709,-225.268,-18.308,-34.2098,
2.43,120.883,46.1061,15.2617,44.9388,-97.2285,-162.106,-92.8882,-183.793,6.15916,-13.5435,8.10316,-66.3301,-0.936553,19.9317,-29.4547,-139.309,-14.2572,-166.516,-18.2274,-30.1491,
2.435,119.249,-32.5905,15.9743,-32.6688,-97.3067,105.242,-95.2421,-117.2,1.07616,-19.7515,8.22092,109.211,-1.0112,-40.0297,-29.8628,-28.0895,-15.1564,-173.03,-20.3741,-42.0971,
2.44,117.914,-168.412,16.6784,17.1188,-97.3047,282.597,-97.6196,-259.295,1.95192,-0.0554637,8.31375,-173.175,-1.07003,23.3314,-30.2914,313.965,-16.0731,-263.629,-17.1574,-29.8762,
2.445,116.738,48.5238,17.3131,-41.2525,-97.4281,-212.5,-100.022,-73.5578,-3.58094,-25.5365,8.38008,190.245,-1.11395,-122.977,-30.7402,-190.493,-17.014,-78.5963,-20.1856,-46.6465,
2.45,115.651,-131.304,17.9181,18.5985,-97.6743,161.754,-102.482,-212.85,-1.13654,-11.6432,8.4196,-154.101,-1.15076,-13.9368,-31.2055,420.319,-17.9836,-268.942,-20.3079,-31.8971,
2.455,114.573,-207.854,18.5622,7.92678,-97.9648,350.215,-105.049,-257.737,9.7357,-5.92635,8.43407,-225.588,-1.17762,97.1499,-31.686,83.5066,-18.9908,-287.196,-17.752,-30.1134,
2.46,113.522,193.279,19.2355,-28.6195,-98.3138,-441.286,-107.753,-33.1583,4.47388,-21.7089,8.42644,370.219,-1.19441,-301.132,-32.1803,239.873,-20.0427,-63.3162,-19.9192,-45.989,
2.465,112.619,-354.01,19.8411,80.3077,-98.9038,224.839,-110.619,-278.873,9.23647,-5.05104,8.39867,18.2067,-1.20181,92.1931,-32.6852,-62.7985,-21.148,-308.08,-19.5455,-31.6184,
2.47,112.557,30.3842,20.6197,-4.70073,-101.585,-21.595,-114.456,-160.034,11.7458,-13.7793,8.35436,-3.40353,-1.20467,-43.9468,-33.1977,112.756,-22.3124,-189.531,-20.5283,-40.2569,
2.475,110.042,-170.923,20.3961,-7.4081,-97.6113,128.286,-115.545,-193.573,13.9914,-9.45764,8.29506,-96.4338,-1.20339,-56.1581,-33.7156,241.752,-23.5437,-226.906,-19.8705,-32.6061,
2.48,110.081,86.7136,21.0331,24.7463,-100.426,91.9625,-119.676,-236.788,13.7541,-10.2008,8.22214,138.188,-1.19827,10.17,-34.2374,89.3117,-24.8478,-277.352,-22.0394,-41.0026,
2.485,109.61,-255.177,21.4093,-38.7242,-101.833,-42.5556,-123.31,-98.6169,10.7286,-13.3086,8.13662,-166.715,-1.18946,-118.466,-34.7606,18.1569,-26.2308,-102.353,-24.373,-40.2534,
2.49,108.68,31.1718,21.5619,40.1208,-101.997,71.2006,-126.501,-243.075,11.7792,-7.11608,8.03944,121.592,-1.17725,23.1587,-35.2832,106.645,-27.6963,-275.55,-23.913,-34.4841,
2.495,108.53,-58.1262,21.9821,4.10284,-104.384,-43.1453,-130.779,-175.724,10.9606,-10.8515,7.93166,-69.7723,-1.16184,-52.155,-35.8034,106.268,-29.247,-216.605,-25.2469,-41.6228,
2.5,107.042,-68.2853,21.8417,0.617528,-103.016,137.634,-133.474,-216.673,8.60246,-12.8795,7.81395,31.1908,-1.14336,-11.3119,-36.3189,68.0125,-30.8839,-235.02,-26.3404,-36.4152,
2.505,107.089,-15.2143,22.2865,2.24225,-106.103,-115.483,-138.243,-157.881,0.876408,-19.4247,7.68695,-26.2226,-1.12182,-78.0385,-36.8271,130.646,-32.6104,-207.074,-29.8248,-43.8054,
2.51,105.609,-103.606,22.1206,33.0386,-104.862,354.561,-141.116,-341.213,0.162273,-11.9314,7.55151,-38.912,-1.09739,49.3052,-37.327,361.422,-34.4347,-368.159,-26.6503,-34.6476,
2.515,105.694,36.3488,22.5935,-61.2212,-108.306,-391.083,-146.166,0.881989,-8.00341,-29.1543,7.40881,35.1531,-1.07024,-161.636,-37.8164,-372.265,-36.3573,-14.2334,-30.7077,-53.8727,
