time,trial,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.015527950310559006,0,-0.73824095,4.00876345,-2.64754285,0.22461352,0.90257762,-1.19640178,2.28826733,-25.83310006,-35.25028218,7.6118189,0.1328513,-6.69145519,14.09513006,0.0,1.13693659,-15.95483941,-38.03821809,6.74599689,0.11773986,-6.08701605,19.79103779,0.0,-14.92202084,-3.72870193,-2.45235172,37.62806085,-14.59174731,37.62806085,76.87860906,44.68303972,0.0,0.0,37.62806085,-14.59174731,37.62806085,76.87860906,44.68303972,0.0,0.0
0.017080745341614904,0,-0.7440324,4.01159349,-2.64206482,0.2246239,0.90257664,-1.19635577,2.28229696,-25.82718312,-35.25799785,7.58221511,0.13233462,-6.71144967,14.07748792,0.0,1.14361168,-15.96027642,-38.03924696,6.75305117,0.11786298,-6.09437055,19.84196296,0.0,-14.90463929,-3.71040239,-2.3507241,37.71268562,-14.5995548,37.71268562,76.80847171,44.71318431,0.0,0.0,37.71268562,-14.5995548,37.71268562,76.80847171,44.71318431,0.0,0.0
0.018633540372670808,0,-0.73263877,3.8726112,-2.52557173,0.22463791,0.90266702,-1.19657352,2.10644519,-25.60580932,-35.31540103,7.35874499,0.12843433,-6.86868096,13.97221923,0.0,1.19848477,-16.13148959,-37.93217465,6.83651286,0.11931966,-6.03808959,19.79038932,0.0,-14.9358985,-3.69266715,-2.78422382,38.10856133,-14.6318905,38.10856133,76.57834346,44.77332379,0.0,0.0,38.10856133,-14.6318905,38.10856133,76.57834346,44.77332379,0.0,0.0
0.020186335403726708,0,-0.74411478,4.01003812,-2.64020648,0.22464344,0.90261281,-1.19633865,2.24866974,-25.79101047,-35.19320798,7.49426239,0.13079955,-6.75627212,13.97756044,0.0,1.1194123,-15.93487211,-37.98416744,6.68160331,0.11661598,-6.13100077,19.74299058,0.0,-14.90281379,-3.73971262,-2.39892544,38.25832028,-14.6440329,38.25832028,76.49144169,44.79766335,0.0,0.0,38.25832028,-14.6440329,38.25832028,76.49144169,44.79766335,0.0,0.0
0.021739130434782605,0,-0.78643974,4.27284999,-2.70860656,0.22471774,0.90237908,-1.19616374,2.56154591,-26.2860251,-35.44347488,8.07496374,0.1409347,-6.29840017,14.48788553,0.0,1.10317583,-15.60923947,-38.02005936,6.56219721,0.11453195,-6.21937979,19.69236118,0.0,-14.80654681,-4.03528895,-2.26280566,38.37363863,-14.65272841,38.37363863,76.43855091,44.80727866,0.0,0.0,38.37363863,-14.65272841,38.37363863,76.43855091,44.80727866,0.0,0.0
0.023291925465838508,0,-0.81305851,4.10367752,-2.68999124,0.2247257,0.90243223,-1.19621427,2.46756737,-25.9951532,-35.31490487,7.79255164,0.13600568,-6.55696214,14.26199164,0.0,1.13771961,-15.80624155,-37.98814945,6.58668422,0.11495933,-6.18678562,19.68625797,0.0,-14.77778605,-3.79084345,-2.21522002,39.19962237,-14.71561084,39.19962237,76.04409349,44.88951902,0.0,0.0,39.19962237,-14.71561084,39.19962237,76.04409349,44.88951902,0.0,0.0
0.024844720496894408,0,-0.83872604,4.08387119,-2.56763092,0.22474558,0.90235037,-1.1964423,2.47942508,-26.04860342,-35.59052618,7.95692917,0.13887461,-6.45081056,14.55991138,0.0,1.29681914,-15.92071169,-38.09295814,6.8533581,0.11961366,-6.01111198,20.05310476,0.0,-14.74080408,-3.75021981,-2.35141584,39.29355188,-14.72218991,39.29355188,76.00690355,44.89746047,0.0,0.0,39.29355188,-14.72218991,39.29355188,76.00690355,44.89746047,0.0,0.0
0.026397515527950305,0,-0.84703966,4.04638322,-2.61760541,0.22474947,0.90239879,-1.19634652,2.44756732,-25.92499038,-35.3973043,7.7569335,0.13538403,-6.57719763,14.25845702,0.0,1.23653124,-15.91560784,-38.04296339,6.70938364,0.11710084,-6.11198395,19.86354559,0.0,-14.73053056,-3.76047122,-2.37468163,39.61583426,-14.74542988,39.61583426,75.87412893,44.92016132,0.0,0.0,39.61583426,-14.74542988,39.61583426,75.87412893,44.92016132,0.0,0.0
0.02795031055900621,0,-0.85852205,4.03109082,-2.56020894,0.22477315,0.90240203,-1.19644369,2.41623393,-25.90960586,-35.46986908,7.74066558,0.1351001,-6.60644778,14.28925545,0.0,1.27923714,-15.93910099,-37.99673516,6.74099543,0.11765257,-6.08569224,19.84178745,0.0,-14.72242345,-3.73920251,-2.42293947,39.87623762,-14.76372261,39.87623762,75.77506385,44.93487843,0.0,0.0,39.87623762,-14.76372261,39.87623762,75.77506385,44.93487843,0.0,0.0
0.029503105590062112,0,-0.85708912,3.9232754,-2.51327004,0.22478852,0.90241658,-1.19654325,2.34238304,-25.75838445,-35.47378225,7.65139517,0.13354204,-6.61620233,14.20392924,0.0,1.34141949,-16.1133707,-38.05917786,6.90318127,0.12048324,-5.96840936,20.04026465,0.0,-14.72167476,-3.65505811,-2.56959527,39.96546958,-14.77018338,39.96546958,75.73763504,44.94165197,0.0,0.0,39.96546958,-14.77018338,39.96546958,75.73763504,44.94165197,0.0,0.0
