time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.145,2.8026e-45,0.00594326,0.0763086,1.89312e-31,0.268242,0.736374,
4.15,2.8026e-45,0.00594326,0.0763086,4.51952e-31,0.268242,0.736374,
4.155,2.8026e-45,0.00594326,0.0763086,5.6386e-31,0.268242,0.736374,
4.16,2.8026e-45,0.00594326,0.0763086,2.39643e-31,0.268242,0.736374,
4.165,7.00649e-45,2.11224e-21,0.117076,6.64827e-09,0.211335,0.776368,
4.17,1.13593e-29,4.62428e-44,0.12969,0.0416535,0.163528,0.787495,
4.175,0.0403493,5.60519e-45,0.125941,0.0637376,0.114504,0.82086,
4.18,0.0612533,4.2039e-45,0.12399,0.0879497,0.0774566,0.856609,
4.185,0.0778818,4.2039e-45,0.118536,0.112177,0.0483947,0.893772,
4.19,0.0904282,4.2039e-45,0.11073,0.135878,0.0265196,0.929102,
4.195,0.0982634,4.2039e-45,0.101727,0.15884,0.0113044,0.958584,
4.2,0.101684,5.60519e-45,0.0922285,0.180984,0.00213566,0.980101,
4.205,0.100916,5.60519e-45,0.0807564,0.202961,6.67843e-05,0.993438,
4.21,0.098342,5.60519e-45,0.0697569,0.225186,3.20639e-05,0.999657,
4.215,0.0948354,7.00649e-45,0.0598519,0.247065,6.8796e-05,1,
4.22,0.0905483,7.00649e-45,0.0507442,0.267696,0.000231959,0.99545,
4.225,0.0853392,7.00649e-45,0.0416934,0.286921,0.00173701,0.985783,
4.23,0.0792916,3.78351e-43,0.0327205,0.305131,0.00487103,0.969714,
4.235,0.0730743,6.13222e-41,0.0247814,0.322588,0.0083355,0.946157,
4.24,0.0670374,1.75216e-40,0.0178731,0.339821,0.011771,0.914265,
4.245,0.0614665,4.49509e-41,0.0120018,0.357411,0.0147566,0.8746,
4.25,0.0565363,2.19035e-38,0.00738355,0.374936,0.0168695,0.829592,
4.255,0.0523918,2.194e-36,0.00403212,0.391782,0.0176178,0.782216,
4.26,0.0490523,7.35005e-28,0.00172317,0.407541,0.0165584,0.735154,
4.265,0.0464504,4.63685e-23,9.95393e-09,0.42152,0.0135871,0.690124,
4.27,0.0441384,1.27027e-12,2.19399e-16,0.433502,0.00868009,0.647982,
4.275,0.0435664,0.00159489,2.88232e-30,0.44454,1.13052e-14,0.608895,
4.28,0.0361382,0.00564319,2.10195e-44,0.454774,4.00186e-38,0.570124,
4.285,0.0288463,0.0109333,8.40779e-45,0.463909,9.80909e-45,0.53266,
4.29,0.0221008,0.0174798,5.60519e-45,0.470494,5.60519e-45,0.496448,
4.295,0.0161246,0.0255727,4.2039e-45,0.473098,4.2039e-45,0.461877,
4.3,0.011038,0.0355704,4.2039e-45,0.470477,4.2039e-45,0.429703,
4.305,0.00697813,0.0477015,5.60519e-45,0.462122,4.2039e-45,0.400761,
4.31,0.0040672,0.0620238,1.68156e-44,0.447792,7.00649e-45,0.375647,
4.315,0.0024615,0.0783377,4.74409e-20,0.42862,3.08286e-44,0.353961,
4.32,1.95815e-13,0.0795241,0.0622458,0.398317,5.11258e-20,0.337883,
4.325,3.66299e-36,0.0894937,0.0978877,0.37256,1.95159e-14,0.320017,
4.33,7.00649e-45,0.0993372,0.140791,0.348804,2.55136e-11,0.300314,
4.335,5.60519e-45,0.108644,0.191823,0.328185,4.86758e-08,0.277975,
4.34,4.2039e-45,0.116935,0.25159,0.310935,5.16519e-06,0.253382,
4.345,4.2039e-45,0.12382,0.319551,0.29747,5.07846e-05,0.227265,
4.35,4.2039e-45,0.129056,0.394003,0.288399,9.6708e-05,0.20028,
4.355,5.60519e-45,0.132527,0.472672,0.284188,5.18995e-05,0.173063,
4.36,8.40779e-45,0.134209,0.553476,0.285064,1.13957e-05,0.146311,
4.365,3.02467e-37,0.134316,0.634139,0.291324,3.03777e-06,0.120645,
4.37,1.82969e-12,0.13305,0.712309,0.303468,6.39523e-06,0.0965861,
4.375,0.0895924,0.124354,0.739667,0.312858,7.53971e-10,0.0784677,
4.38,0.143334,0.115668,0.782688,0.331722,8.28195e-15,0.0619839,
4.385,0.207697,0.103742,0.818247,0.354384,5.74152e-17,0.0498805,
4.39,0.281628,0.0890265,0.848738,0.379276,8.78238e-17,0.0425972,
4.395,0.363308,0.0723853,0.875856,0.404874,3.57243e-15,0.0400971,
4.4,0.450521,0.054728,0.899908,0.430306,1.1265e-12,0.0418619,
4.405,0.540724,0.0370643,0.919801,0.455412,9.19205e-10,0.0469609,
4.41,0.631481,0.0208222,0.933055,0.480859,4.77121e-07,0.0540648,
4.415,0.719717,0.00745214,0.936578,0.507865,7.29641e-05,0.0615953,
4.42,0.79937,8.20413e-08,0.925086,0.539523,0.00307535,0.0671233,
4.425,0.866589,6.79172e-12,0.898591,0.578699,0.00766073,0.0695082,
4.43,0.922344,3.59738e-11,0.86702,0.625567,0.0099073,0.0695923,
4.435,0.965675,0.000367626,0.831301,0.679173,0.0108223,0.0671413,
4.44,0.987782,0.0434385,0.751238,0.740178,0.0184764,0.0567966,
4.445,1,0.0730926,0.686943,0.799601,0.0247248,0.0479458,
4.45,0.999852,0.109201,0.622761,0.854307,0.0336156,0.0390238,
4.455,0.990033,0.15118,0.56305,0.901286,0.0449429,0.0309013,
4.46,0.972585,0.199316,0.510926,0.939229,0.0577413,0.0236765,
4.465,0.94858,0.254563,0.467785,0.968212,0.0706498,0.016688,
4.47,0.917653,0.317454,0.434922,0.988819,0.082552,0.008942,
4.475,0.880112,0.38754,0.413522,1,0.092814,0.00102042,
4.48,0.83853,0.463249,0.405631,0.996971,0.100562,1.22067e-06,
4.485,0.79529,0.542945,0.412636,0.979012,0.106086,2.73067e-10,
4.49,0.752274,0.623507,0.43688,0.945444,0.110111,9.08643e-14,
4.495,0.711692,0.700428,0.480243,0.897128,0.114002,2.35183e-16,
4.5,0.675931,0.770231,0.541966,0.835503,0.119247,2.08209e-17,
4.505,0.647649,0.831103,0.619118,0.762807,0.127059,1.30634e-16,
4.51,0.629147,0.882328,0.706847,0.681603,0.138364,1.9123e-13,
4.515,0.621508,0.923912,0.797736,0.594346,0.154174,6.19019e-08,
4.52,0.626151,0.954364,0.884859,0.496725,0.17423,0.0212411,
4.525,0.641202,0.975202,0.954028,0.399521,0.201115,0.0443721,
4.53,0.664381,0.98828,0.994461,0.306822,0.235891,0.0681699,
4.535,0.693305,0.995489,1,0.22177,0.278747,0.0908768,
4.54,0.72363,0.999029,0.968818,0.146709,0.328844,0.110699,
