mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
addbrev_r,0.113451,0.0942406,0.0942848,0.0955637,0,0.0835363,
addlong_r,0.0814588,0.0905337,0.103139,0.0934794,0.112069,0.0695286,
addmagDist_r,0.103324,0.0916219,0.108394,0.0939374,0.0985947,0.0975507,
addmagIsch_r,0.112681,0.111713,0.0906844,0.100314,0.102418,0.089116,
addmagMid_r,0.0903086,0.0900076,0.117864,0.432224,0.098463,0.561376,
addmagProx_r,0.0483914,0.064498,0.0492342,0.0780085,0.163263,0.267,
bflh_r,0.0932691,0.0919734,0.0949735,0.092228,0.113168,0.0970039,
bfsh_r,0.00708011,0.438243,0.132126,0.24041,0.092979,0.0947987,
edl_r,0.102219,0.0897354,0.091117,0.0735706,0.0906172,0.0870926,
ehl_r,0.0957581,0.0918994,0.0916002,0.0917979,0.0949892,0.0939523,
fdl_r,0.0983241,0.0569984,0.0935118,0.0945664,0.0973535,0.0932667,
fhl_r,0.106841,0.109691,0.105212,0.0897741,0.100738,0.0967699,
gaslat_r,0.100343,0.102136,0.203485,0.0916305,0.111383,0.0882908,
gasmed_r,0.0966458,0.0909298,0.0928438,0.107825,0.0936032,0.109044,
glmax1_r,0.0342594,0.0970054,0.856218,0.658285,0.0992838,0.231813,
glmax2_r,0.0802251,0.0926441,0.589794,0.369105,0.0917344,0.096271,
glmax3_r,0.0731202,0.110473,0.180073,0.395286,0.0920049,0.403465,
glmed1_r,0.085101,0.0951183,0.724282,0.623409,0.102072,0.171192,
glmed2_r,0.0780687,0.056608,0.654499,0.574802,0.0873319,0.0739412,
glmed3_r,0.0998248,0.0805327,0.641997,0.622446,0.0901806,0.214002,
glmin1_r,0.072636,0.29203,0.314741,0.382581,0.039113,0.364801,
glmin2_r,0.085643,0.0879038,0.781024,0.51582,0.089508,0.0805935,
glmin3_r,0.0706328,0.0902818,0.764107,0.245923,0.0942118,0.092346,
grac_r,0.0905979,0.0932227,0.069434,0.0226156,0.0939269,0.091067,
iliacus_r,0.111976,0.347843,0.0850438,0.0903415,0.511946,0.0917506,
perbrev_r,0.0988621,0.0969769,0.0958866,0.0939701,0.0976994,0.0982132,
perlong_r,0.0931957,0.0964055,0.0954286,0.0881822,0.0908448,0.0937423,
piri_r,0.091439,0.0901342,0.0968217,0.0906008,0.0919027,0.0921154,
psoas_r,0.0688487,0.102644,0.0908661,0.110771,0.135698,0.0922514,
recfem_r,0.0935813,0.0924301,0.0933021,0.0961104,0.0905523,0.0959054,
sart_r,0.00699732,0.26151,0.07872,0.0894692,0.189489,0.0946225,
semimem_r,0.106071,0.0946948,0.0936312,0.102355,0.114846,0.0952246,
semiten_r,0.0955961,0.0802571,0.0789797,0.197283,0.0954091,0.109191,
soleus_r,0.091833,0.0923056,0.0965607,0.0909118,0.0973462,0.0958902,
tfl_r,0.0849518,0.0919446,0.0906074,0.0968391,0.101607,0.0967836,
tibant_r,0.0955225,0.0901787,0.0974027,0.0983943,0.0958173,0.043464,
tibpost_r,0.106695,0.0910083,0.0914572,0.0934399,0.0965297,0.0915993,
vasint_r,0.0992491,0.101349,0.095467,0.100036,0.0940036,0.0946901,
vaslat_r,0.109152,0.0805948,0.0942571,0.0846343,0.110023,0.094495,
vasmed_r,0.0884212,0.0919238,0.100435,0.081069,0.0969444,0.0954134,
addbrev_l,0.00273777,0.00166664,0,0.203875,0,0.411232,
addlong_l,0,0,0,0,0,0.410864,
addmagDist_l,0.41382,0.459695,0.031949,0.366338,0.094967,0.246496,
addmagIsch_l,0.325844,0.211476,0.1095,0.404929,0.17015,0.370101,
addmagMid_l,0.310854,0.306246,0.15615,0.539122,0.0628438,0.390887,
addmagProx_l,0.330369,0.00594395,0.0121518,0.576973,0.0308995,0.277387,
bflh_l,0.492182,0.236466,0.199977,0.000292778,0.190501,0.00287205,
bfsh_l,0.492184,0.236464,0.199975,0.000291711,0.1905,0.00287376,
edl_l,0.00985818,0,0.318799,0.291446,0.00383427,0.0854945,
ehl_l,0.061989,0,0.33717,0.282825,0,0.106546,
fdl_l,0.0921841,0.0917662,0.076617,0.000657203,0.401596,0.0353438,
fhl_l,0.0847236,0.103767,0.0430919,0.0412064,0.0930278,0.0790618,
gaslat_l,0.0376621,0.215183,0.032633,0.00554346,0.465467,0,
gasmed_l,0.00832477,0.42787,0.00366475,0.00695985,0.547377,0.533278,
glmax1_l,0.0746467,0.326656,0.280718,0.0674579,0,0,
glmax2_l,0.0746541,0.326655,0.280715,0.0674535,0,0,
