mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
grac_l,0.0775043,0.0892806,0.0841947,0.23364,0.0154297,0.0920189,0.0793572,0.00285882,
iliacus_l,0.0813424,0.0895738,0.0868143,0.216211,0.0527755,0.0883931,0.397719,0.0582208,
perbrev_l,0.0884401,0.090956,0.0883487,0.090041,0.0891428,0.0892791,0.100069,0.0870127,
perlong_l,0.0891815,0.101492,0.0958996,0.0926173,0.108047,0.0949849,0.0871263,0.0897539,
psoas_l,0.0870188,0.0922466,0.0874378,0.067144,0.0390532,0.1022,0.311648,0.00943879,
recfem_l,0.0888704,0.089849,0.0875707,0.0861067,0.0865151,0.0878642,0.106906,0.0922037,
sart_l,0.0554002,0.104328,0.036424,0.236298,0.167688,0.0794285,0.307529,0.105899,
semimem_l,0.0512458,0.0375912,0.0931646,0.0863366,0.0887717,0.0611988,0.0950798,0.10334,
semiten_l,0.472606,0.107045,0.0900452,0.153069,0.0651369,0.0898306,0.107101,0.38295,
soleus_l,0.0892712,0.0413388,0.0770778,0.0997844,0.0923385,0.0887322,0.106996,0.0961069,
tfl_l,0.0882769,0.10413,0.103709,0.0928079,0.0940601,0.0886561,0.0885465,0.103644,
tibant_l,0.0980388,0.0958017,0.10122,0.0918584,0.0869573,0.085357,0.0892653,0.100058,
tibpost_l,0.103892,0.086344,0.10438,0.106134,0.0719565,0.101571,0.105543,0.0858951,
vasint_l,0.0862247,0.0934758,0.0857166,0.100386,0.0787826,0.0928127,0.0869701,0.107267,
vaslat_l,0.107346,0.0885424,0.107733,0.089784,0.0930966,0.0941642,0.107798,0.0982711,
vasmed_l,0.0918323,0.094195,0.0908245,0.0911054,0.101638,0.0892138,0.089669,0.108172,
piri_r,0.018707,0,0.485976,0.688291,0.195186,0,0.321005,0.0430715,
