name,r,a,s,body,group
Gastroc_at_condyles_l,-49.850104322395055,-20.848673701519147,297.25489496476075,femur_l,wrap_transl
KnExt_at_fem_l,-74.53772016183939,-21.457393771968782,304.5269280702196,femur_l,wrap_transl
AB_at_femshaft_l,-123.95912541332655,-21.597025065333582,579.9176668483888,femur_l,wrap_transl
AL_at_femshaft_l,-139.98264299618313,37.50717231957242,464.5512208236246,femur_l,wrap_transl
AMprox_at_femshaft_l,-95.39796341047622,-10.575130680110306,619.4980482007862,femur_l,wrap_transl
AMmid_at_femshaft_l,-157.64945216628257,16.38663979677949,532.9899232539547,femur_l,wrap_transl
AMdist_at_femshaft_l,-139.40201067802263,39.95962252642494,437.12353763596,femur_l,wrap_transl
AMisch_at_condyles_l,-108.88659949076828,-40.398368550115265,333.3783559512176,femur_l,wrap_transl
PECT_at_femshaft_l,-89.09597766306251,-12.786607015761547,608.2225690637847,femur_l,wrap_transl
Gastroc_at_condyles_r,56.25787148901145,-19.97938714781776,307.5543590243087,femur_r,wrap_transl
KnExt_at_fem_r,75.75378041922522,-18.704687311081216,314.74854682961086,femur_r,wrap_transl
AB_at_femshaft_r,119.28284789691679,-17.73186909011565,584.1474981483586,femur_r,wrap_transl
AL_at_femshaft_r,123.89218336576596,67.00951036054175,470.6927063188341,femur_r,wrap_transl
AMprox_at_femshaft_r,100.96822112007067,-8.48457229102496,623.5001076951125,femur_r,wrap_transl
AMmid_at_femshaft_r,141.5791765858885,27.24489601922687,537.7738242200367,femur_r,wrap_transl
AMdist_at_femshaft_r,102.45960266620386,48.763285024266224,443.70088616389876,femur_r,wrap_transl
AMisch_at_condyles_r,130.78287871339126,-36.60127660975559,342.35798588539456,femur_r,wrap_transl
PECT_at_femshaft_r,101.75974593032151,-13.379820735019166,612.4295489393221,femur_r,wrap_transl
