mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.184878,0.357915,0.12509,0.225523,
addlong_r,0.184878,0.357915,0.12509,0.225523,
addmagDist_r,0.184878,0.357915,0.12509,0.225523,
addmagIsch_r,0.184878,0.357915,0.12509,0.225523,
addmagMid_r,0.184878,0.357915,0.12509,0.225523,
addmagProx_r,0.184878,0.357915,0.12509,0.225523,
bflh_r,0.0901419,0.00950642,0.0895636,0.0387169,
bfsh_r,0.0901419,0.00950642,0.0895636,0.0387169,
edl_r,0.0513115,0.00104358,0.0673426,0.0608843,
ehl_r,0.023997,0.0665856,0.0751737,0.0311081,
fdl_r,0.0806921,0.0736139,0.061369,0.0253571,
fhl_r,0.0547363,0.0702477,0.0541414,0.0551643,
gaslat_r,0.00577604,0.0177201,0.103888,4.29003e-06,
gasmed_r,0.00577607,0.0177201,0.103888,4.00903e-06,
glmax1_r,0.125502,0.0495633,0.00165162,0.00986673,
glmax2_r,0.125502,0.0495633,0.00165162,0.00986674,
glmax3_r,0.125502,0.0495633,0.00165162,0.00986674,
glmed1_r,0.125502,0.0495633,0.00165162,0.00986674,
glmed2_r,0.125502,0.0495633,0.00165162,0.00986674,
glmed3_r,0.125502,0.0495633,0.00165163,0.00986673,
glmin1_r,0.125502,0.0495633,0.00165162,0.00986673,
glmin2_r,0.125502,0.0495633,0.00165162,0.00986675,
glmin3_r,0.125502,0.0495633,0.00165162,0.00986674,
grac_r,0.184878,0.357915,0.12509,0.225523,
iliacus_r,0.0846139,0.00329255,0.0930264,0.0545724,
perbrev_r,0.011086,0.0535899,0.0432761,0.0140299,
perlong_r,0.0462333,0.0520589,0.0924813,0.0386849,
piri_r,0.0603846,0.00924645,0.067396,0.011797,
psoas_r,0.0846141,0.00328663,0.0930277,0.0545737,
recfem_r,0.084614,0.00328926,0.0930272,0.0545731,
sart_r,0.084614,0.00328986,0.093027,0.054573,
semimem_r,0.0901419,0.00950642,0.0895636,0.0387169,
semiten_r,0.0901419,0.00950642,0.0895636,0.0387169,
soleus_r,0.00577616,0.0177202,0.103888,3.44845e-06,
tfl_r,0.0846144,0.00327849,0.0930291,0.0545757,
tibant_r,0.0108933,0.064712,0.0119781,0.0591705,
tibpost_r,0.0527219,0.0473975,0.0441261,0.0937718,
vasint_r,0.201671,0.079556,0.0168452,0.437138,
vaslat_r,0.201671,0.079556,0.0168452,0.437138,
vasmed_r,0.201671,0.079556,0.0168452,0.437138,
addbrev_l,0.17148,0.386057,0.139271,0.223103,
addlong_l,0.17148,0.386057,0.139271,0.223103,
addmagDist_l,0.17148,0.386057,0.139271,0.223103,
addmagIsch_l,0.17148,0.386057,0.139271,0.223103,
addmagMid_l,0.17148,0.386057,0.139271,0.223103,
addmagProx_l,0.17148,0.386057,0.139271,0.223103,
bflh_l,0.187694,3.74477e-19,2.68547e-07,0.0349259,
bfsh_l,0.187694,2.23591e-19,5.78644e-07,0.0349257,
edl_l,0.0432922,0.0269264,0.0177649,0.0647492,
ehl_l,0.00439247,0.0888549,0.0952033,0.0112562,
fdl_l,0.0335366,0.0733907,0.0440067,0.00204664,
fhl_l,0.00220164,0.0869767,0.023027,0.0511154,
gaslat_l,0.0249415,0.0328474,0.00858355,4.2039e-45,
gasmed_l,0.0249415,0.0328474,0.00858355,4.2039e-45,
glmax1_l,0.105842,0.0198164,0.0139317,0.00461758,
glmax2_l,0.105842,0.0198164,0.0139317,0.00461758,
glmax3_l,0.105842,0.0198164,0.0139317,0.00461758,
glmed1_l,0.105842,0.0198164,0.0139317,0.00461758,
glmed2_l,0.105842,0.0198164,0.0139317,0.00461758,
glmed3_l,0.105842,0.0198164,0.0139317,0.00461758,
glmin1_l,0.105842,0.0198164,0.0139317,0.00461758,
glmin2_l,0.105842,0.0198164,0.0139317,0.00461758,
glmin3_l,0.105842,0.0198164,0.0139317,0.00461758,
grac_l,0.17148,0.386057,0.139271,0.223103,
iliacus_l,0.00204566,7.42058e-21,0.0965937,0.0736832,
perbrev_l,0.0931698,0.0521074,0.0720471,0.0782584,
perlong_l,0.0159552,0.0292162,0.0850167,0.0942365,
piri_l,0.00830612,0.0610069,0.0245603,0.00726262,
psoas_l,0.00204566,8.88445e-21,0.0965937,0.0736832,
recfem_l,0.00204566,1.10008e-20,0.0965937,0.0736832,
sart_l,0.00204566,4.06535e-20,0.0965937,0.0736832,
semimem_l,0.187694,2.45327e-19,4.8021e-07,0.0349257,
semiten_l,0.187694,4.02899e-19,1.98142e-07,0.0349259,
soleus_l,0.0249415,0.0328474,0.00858355,4.2039e-45,
tfl_l,0.00204566,1.89067e-19,0.0965937,0.0736832,
tibant_l,0.0721058,0.0086152,0.0101929,0.0345345,
tibpost_l,0.0879856,0.0928835,0.0300825,0.095829,
vasint_l,0.147568,0.0205589,0.0197692,0.361659,
vaslat_l,0.147568,0.0205589,0.0197692,0.361659,
vasmed_l,0.147568,0.0205589,0.0197692,0.361659,
