mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0,0.00154075,0,0,
addlong_r,0,0.00154075,0,0,
addmagDist_r,0,0.00154075,0,0,
addmagIsch_r,0,0.00154075,0,0,
addmagMid_r,0,0.00154075,0,0,
addmagProx_r,0,0.00154075,0,0,
bflh_r,0,0,0,0,
bfsh_r,0,0,0,0,
edl_r,0,0,0.356267,1,
ehl_r,0,1,0.85303,1,
fdl_r,0.983142,0.107714,0,0,
fhl_r,1,0,1,0.0957569,
gaslat_r,1,0,0,1,
gasmed_r,1,0,0,1,
glmax1_r,1,0,0,1,
glmax2_r,1,0,0.00112545,1,
glmax3_r,1,0,0,1,
glmed1_r,1,0,0,1,
glmed2_r,1,0,0,1,
glmed3_r,1,0,0.00106933,1,
glmin1_r,1,0,0,1,
glmin2_r,1,0,0,1,
glmin3_r,1,0,0,1,
grac_r,0,0.00154075,0,0,
iliacus_r,0.000654124,0,0,0.42031,
perbrev_r,1,1,0,0,
perlong_r,1,0,0.377338,0.911917,
piri_r,0.110007,0.878579,0,0.366375,
psoas_r,0,0,0,0.420232,
recfem_r,0,0,0.0016173,0.419967,
sart_r,0,0,0,0.419906,
semimem_r,0,0,0,0,
semiten_r,0,0,0,0,
soleus_r,1,0,0,1,
tfl_r,0,0,0,0.419937,
tibant_r,1,1,1,1,
tibpost_r,0.742739,0,1,1,
vasint_r,0.000102525,0.000937741,0,0.547197,
vaslat_r,0.00257327,0,0,0.547928,
vasmed_r,0.000721362,0,0.000949823,0.547325,
addbrev_l,1,1,1,1,
addlong_l,1,1,1,1,
addmagDist_l,1,1,1,1,
addmagIsch_l,1,1,1,1,
addmagMid_l,1,1,1,1,
addmagProx_l,1,1,1,1,
bflh_l,0,0.000508068,0,0.00527934,
bfsh_l,0,0.000508068,0,0.00527934,
edl_l,0.697049,1,1,0.141644,
ehl_l,0,0.663525,1,0,
fdl_l,1,0,0.173589,0.827374,
fhl_l,1,0.77389,0,0,
gaslat_l,0.999806,0,0,1,
gasmed_l,1,0,0,0.998942,
glmax1_l,0,0.00231449,0,0.638073,
glmax2_l,0,0,0,0.638308,
glmax3_l,0.000118042,0.00108757,0.000797357,0.638525,
glmed1_l,0,0,0.00337343,0.638428,
glmed2_l,0,0,0.0013995,0.638785,
glmed3_l,0,0,0,0.63842,
glmin1_l,0,0,0,0.638204,
glmin2_l,0.000950669,0.00118676,0.00113285,0.638521,
glmin3_l,0,0,0.00151689,0.63838,
grac_l,1,1,1,1,
iliacus_l,0,0.000828036,0,0.543122,
perbrev_l,1,1,1,0.969014,
perlong_l,0.564372,1,1,1,
piri_l,0.693418,1,0,1,
psoas_l,0,0.000828913,0,0.545249,
recfem_l,0.00169653,0,0,0.54423,
sart_l,0.000127014,0.00092806,0,0.544931,
semimem_l,0,0.000508068,0,0.00527934,
semiten_l,0,0.000508068,0,0.00527934,
soleus_l,1,0,0.000290497,1,
tfl_l,0.000550992,0,0,0.54494,
tibant_l,1,0,1,1,
tibpost_l,1,1,1,1,
vasint_l,0.00383652,0,0.0049928,0.00196543,
vaslat_l,0.00383652,0,0.0049928,0.00196543,
vasmed_l,0.00383652,0,0.0049928,0.00196543,
