time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-141.271,-79.947,-255.613,22.8045,261.188,-2.17987,-11.4713,-44.4936,-132.159,-108.104,-182.798,26.3283,62.2695,-6.8529,-38.4167,37.0742,-38.4492,-58.5903,
3.605,-47.6723,-79.5069,-134.547,20.5954,127.638,-1.94268,-12.4091,-45.2653,-205.608,-107.183,-248.772,27.8882,93.7227,-6.61959,-43.7256,37.3803,-40.7316,-58.8762,
3.61,-77.2474,-78.6888,-176.124,14.3721,251.982,-0.765161,-11.9844,-41.067,-96.5914,-103.736,-154.677,31.8247,67.5174,-7.03236,-45.2167,36.641,-41.9152,-58.3158,
3.615,-65.6429,-77.9323,-137.949,14.1296,152.099,-1.02739,-11.7985,-40.8618,-241.542,-101.992,-238.791,30.6842,99.8048,-7.02919,-44.6759,34.7843,-43.0106,-57.3032,
3.62,-73.1156,-76.0879,-163.334,12.6043,249.325,-1.57916,-11.692,-39.7512,-90.5924,-102.029,-139.012,34.9891,70.0208,-7.50036,-45.6721,34.6489,-43.9805,-56.2876,
3.625,-35.8937,-74.8989,-100.316,11.7249,183.294,-1.39972,-11.6103,-37.2978,-233.73,-100.738,-230.959,34.4087,102.474,-7.19286,-45.5686,32.7802,-44.7664,-54.9772,
3.63,-83.051,-75.8397,-173.768,12.0323,240.129,-1.01889,-11.5345,-36.4439,-81.9327,-101.879,-132.757,32.91,72.3822,-7.09956,-44.8079,31.3338,-45.5155,-53.6635,
3.635,-25.8466,-76.2309,-87.9157,12.976,208.561,-0.815714,-11.4578,-35.491,-224.535,-103.009,-226.205,31.6627,104.736,-7.04247,-43.6728,29.6555,-46.1737,-52.1747,
3.64,-62.1148,-73.1545,-146.596,11.6537,239.791,-1.39237,-11.3792,-32.0128,-77.0037,-104.129,-128.498,30.662,75.1714,-6.28897,-42.3296,28.5422,-46.7442,-51.2351,
3.645,-26.0037,-72.4966,-90.2022,13.2001,222.17,-1.96753,-11.2997,-31.8795,-220.478,-106.494,-222.66,33.5624,107.702,-6.90182,-40.8756,29.0382,-47.2337,-51.0117,
3.65,-41.3758,-72.2397,-113.97,12.2835,238.241,-1.68875,-11.2198,-29.2714,-76.8832,-107.571,-124.941,29.2446,78.7161,-6.08987,-39.3737,26.6041,-47.6112,-49.0171,
3.655,-39.3385,-72.7186,-100.467,12.0077,240.905,-1.92385,-11.1421,-28.7255,-220.204,-110.268,-219.739,30.5407,111.359,-5.96584,-37.8646,27.1232,-47.9039,-49.0757,
3.66,-35.9737,-74.7905,-99.7045,11.7216,244.187,-1.13311,-11.0675,-27.5208,-79.7802,-111.41,-121.932,28.3671,82.8778,-5.8582,-36.3777,25.5976,-48.1076,-47.6624,
3.665,-34.7097,-76.7563,-95.9813,12.0115,247.825,-1.21888,-10.9979,-26.3392,-221.612,-113.541,-217.093,23.6384,115.416,-4.31282,-34.9291,23.973,-48.2302,-46.3227,
3.67,-34.1943,-78.5263,-92.1935,8.97001,251.655,-0.158942,-10.9343,-22.6697,-83.8379,-113.566,-119.109,20.2238,87.3414,-4.52718,-33.5263,21.9616,-48.2815,-45.2142,
3.675,-34.4989,-84.0811,-88.8078,12.2721,255.551,-0.0385052,-10.879,-22.9771,-223.323,-114.735,-214.467,18.5993,119.603,-4.5806,-32.1721,20.4417,-48.2726,-43.4684,
3.68,-35.4011,-86.1899,-85.8448,11.0005,259.396,-0.062403,-10.8322,-22.4054,-88.0354,-120.049,-116.295,22.2915,91.8934,-4.59709,-30.8666,22.2662,-48.2161,-43.8822,
3.685,-32.4421,-89.8928,-100.901,11.1098,261.765,0.254762,-10.7915,-21.2532,-224.529,-122.792,-211.675,22.941,123.747,-4.50573,-29.6078,21.6792,-48.1172,-42.2266,
3.69,-63.766,-93.4995,-1.57434,10.1255,269.095,1.29093,-10.7649,-21.1389,-91.6362,-129.01,-113.247,25.6311,96.3618,-4.35389,-28.3995,22.5669,-47.968,-41.6547,
3.695,-42.6353,-93.2464,-72.3855,7.52222,270.012,0.778983,-10.749,-19.871,-224.8,-132.12,-208.573,24.5637,127.735,-4.23789,-27.2454,23.2188,-47.7704,-42.0442,
3.7,-42.8165,-95.8823,-75.6303,6.6013,273.068,2.04951,-10.7522,-18.7372,-94.4561,-133.298,-109.965,27.2746,100.688,-4.47629,-26.1461,21.4912,-47.5466,-39.4913,
3.705,-44.7383,-99.0202,-73.6312,6.58605,275.685,3.23641,-10.7446,-18.958,-223.938,-137.217,-205.077,29.7572,131.487,-4.44134,-25.1002,21.9416,-47.3155,-39.5735,
3.71,-46.9453,-94.6801,-71.843,7.52471,278.219,1.08041,-10.7593,-17.2459,-96.1238,-139.642,-106.21,30.0719,104.724,-4.29985,-24.106,20.5175,-47.0892,-38.1561,
3.715,-49.211,-94.1732,-69.8466,8.00056,280.43,1.42562,-10.7859,-17.2625,-221.907,-140.361,-201.121,28.8069,134.928,-4.10142,-23.1631,18.9971,-46.8769,-37.2986,
3.72,-51.4805,-92.9372,-67.858,7.79459,282.364,1.38796,-10.8262,-16.7066,-96.4995,-145.349,-101.829,31.0074,108.413,-3.67063,-22.2648,18.8923,-46.6843,-36.7151,
3.725,-53.7257,-93.6146,-65.9141,10.8552,284.032,0.998379,-10.8813,-15.7769,-218.847,-147.72,-196.75,30.5915,138.134,-3.20257,-21.4099,17.5376,-46.5158,-35.5879,
3.73,-55.9275,-94.5388,-64.0027,13.4215,285.441,1.00056,-10.9496,-14.5987,-95.8054,-148.878,-96.9491,28.7682,111.877,-2.73958,-20.6293,15.7845,-46.3733,-35.0179,
3.735,-58.0673,-97.1744,-62.1343,16.8711,286.609,0.662696,-11.028,-15.7846,-214.909,-151.478,-192.008,29.3803,141.162,-2.14262,-19.9208,14.0937,-46.2588,-33.9814,
3.74,-60.1464,-99.0188,-60.3047,18.1129,287.557,0.243374,-11.1122,-15.2404,-94.2266,-153.967,-91.6738,27.2835,115.145,-1.22431,-19.299,12.1842,-46.1715,-32.8793,
