iteration,loss,learning rate,
1,1280.45,0.02,
2,1246.69,0.02,
3,1209.82,0.02,
4,1177.47,0.02,
5,1150.34,0.02,
6,1122.96,0.02,
7,1099.59,0.02,
8,1072.15,0.02,
9,1050.6,0.02,
10,1029.44,0.02,
11,1011.43,0.02,
12,994.766,0.02,
13,978.838,0.02,
14,965.623,0.02,
15,950.19,0.02,
16,932.604,0.02,
17,916.495,0.02,
18,906.187,0.02,
19,897.392,0.02,
20,889.086,0.02,
21,882.14,0.02,
22,876.724,0.02,
23,875.003,0.02,
24,882.163,0.02,
25,915.171,0.02,
26,979.738,0.02,
27,1000.83,0.02,
28,1000.2,0.02,
29,986.319,0.02,
30,967.281,0.02,
31,939.349,0.02,
32,921.788,0.02,
33,915.201,0.02,
34,912.512,0.02,
35,909.748,0.02,
36,905.907,0.02,
37,901.735,0.02,
38,897.265,0.02,
39,891.555,0.02,
40,885.186,0.02,
41,878.094,0.02,
42,871.295,0.02,
43,864.538,0.02,
44,859.236,0.02,
45,855.423,0.02,
46,852.625,0.02,
47,850.508,0.02,
48,846.686,0.02,
49,842.82,0.02,
50,840.674,0.02,
51,847.773,0.02,
52,871.291,0.02,
53,884.819,0.02,
54,886.804,0.02,
55,883.751,0.02,
56,875.893,0.02,
57,865.153,0.02,
58,859.032,0.02,
59,865.185,0.02,
60,880.234,0.02,
61,889.871,0.02,
62,890.906,0.02,
63,890.688,0.02,
64,892.077,0.02,
65,888.941,0.02,
66,879.75,0.02,
67,873.75,0.02,
68,871.338,0.02,
69,870.937,0.02,
70,871.245,0.02,
