time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
2.075,80.6036,-68.025,46.7058,-7.63307,4.12436,0.802965,9.75986,22.5091,-15.0712,2.94077,
2.08,83.4829,-24.1614,9.95034,-18.6346,4.30134,1.28095,24.7759,11.3765,-26.0557,3.60224,
2.085,99.6161,18.5102,13.8422,-28.0236,1.79685,2.148,-4.48243,0.518844,-15.7875,4.31707,
2.09,108.184,59.434,-29.1738,-36.2192,1.91006,3.34245,-19.3181,-9.87162,-8.16241,5.07181,
2.095,114.436,98.0848,-25.6842,-43.1586,1.67993,4.76939,-32.1277,-19.6111,-2.08918,5.84805,
2.1,118.168,133.989,-40.0878,-49.1133,1.6657,6.3822,-37.5224,-28.5661,2.22347,6.62915,
2.105,124.306,166.745,-44.0263,-54.2818,1.82155,8.1465,-50.6038,-36.6389,6.6931,7.39884,
2.11,128.688,196.072,-50.8449,-58.2685,1.75019,9.91097,-60.3016,-43.7735,10.2944,8.14107,
2.115,132.027,221.726,-55.831,-61.0907,1.73756,11.5905,-69.3028,-49.9393,12.6461,8.84312,
2.12,134.862,243.523,-60.8085,-62.7906,1.90926,13.1142,-77.311,-55.1307,14.0658,9.49361,
2.125,137.219,261.347,-63.8536,-62.7111,1.94593,14.191,-84.7692,-59.338,14.7826,10.0807,
2.13,138.815,275.11,-67.076,-61.3593,2.40173,14.8735,-93.9949,-62.6206,15.1465,10.5958,
2.135,139.408,284.722,-69.5303,-58.5661,2.93994,15.0179,-101.604,-65.0325,15.4248,11.0295,
2.14,138.81,290.105,-71.7517,-54.2321,3.54045,14.4967,-105.023,-66.6255,14.3765,11.372,
2.145,136.663,291.171,-73.2814,-48.8421,4.26903,13.4625,-104.83,-67.4013,12.7609,11.6105,
2.15,134.465,287.902,-72.8418,-41.807,5.12348,11.6017,-101.905,-67.3684,10.8662,11.7308,
2.155,131.814,280.296,-72.9161,-33.8306,6.13574,9.24248,-95.7548,-66.5663,8.78461,11.7222,
2.16,127.171,268.557,-70.8172,-24.6413,7.12551,6.25007,-90.0504,-65.0368,6.77422,11.5746,
2.165,121.508,252.891,-68.1098,-14.4697,8.3046,2.7677,-84.8316,-62.8216,4.88341,11.2798,
2.17,130.436,233.603,-72.4171,-3.62639,8.19794,-0.986818,-65.6871,-59.9847,3.03119,10.8336,
