Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-91.9674	-45.1444	397.99	293.18
Segment_2	-73.3625	-79.6802	644.082	461.986
Segment_3	-90.2318	-87.4368	520.534	2979.01
