Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	98.9102	-51.6248	-56.0262	248.074
Segment_2	133.148	-51.0727	275.446	1380.03
Segment_3	92.0622	-38.9954	110.714	4682.89
