Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	179.633	14.0981	390.958	1139.15
Segment_2	157.081	-21.237	665.176	2989.78
Segment_3	173.683	-6.95206	527.565	8571.12
