Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-149.583	-37.4425	320.646	546.089
Segment_2	-105.375	-83.2045	591.85	308.372
Segment_3	-126.4	-66.0308	455.244	3380.17
