Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	96.8591	-48.3525	391.963	302.073
Segment_2	71.0693	-79.3033	646.091	352.811
Segment_3	92.8394	-88.959	519.529	2716.5
