Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-133.412	55.7454	420.088	256.053
Segment_2	-118.183	8.40748	720.421	249.598
Segment_3	-124.585	56.919	570.757	2810.6
