Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	159.206	-40.0501	325.669	456.676
Segment_2	101.504	-82.7659	596.873	289.731
Segment_3	128.909	-62.406	457.253	3461.02
