Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	143.346	29.6655	424.106	1465.94
Segment_2	130.508	-15.4454	696.314	451.071
Segment_3	141.152	-0.334521	559.708	5742.21
