Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-94.7975	37.8487	326.673	454.068
Segment_2	-108.488	-2.02133	663.167	305.885
Segment_3	-96.0154	34.6962	500.445	3791.6
