Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-65.1363	-23.9593	177.009	3754.27
Segment_2	-65.994	-24.2246	178.013	3998.43
Segment_3	-66.7527	-24.0753	179.017	3874.37
