,t0,tf,p_l
0,0.136,0.742,[-0.26681269  0.          0.06796381]
1,0.604,1.24,[-0.05713575  0.          0.04378831]
2,1.106,1.735,[0.15671905 0.         0.06149802]
3,1.598,2.216,[0.36569669 0.         0.02930175]
4,2.028,,[0.15372169 0.         0.01391183]
