,t0,tf,p_t0,p_tf
0,0.9795,1.672,[0.2051042  0.         0.09931247],[0. 0. 0.]
1,1.5445,2.257,[0.90721098 0.         0.15255636],[0. 0. 0.]
2,2.1325,2.77,[1.67580765 0.         0.15809801],[0. 0. 0.]
