Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-137.219	-67.3726	458.828	1918.28
Segment_2	-137.604	-66.4441	459.765	1942.26
Segment_3	-136.36	-66.3418	460.703	1851.26
