name,r,a,s,body,group
psoas_l-P3,-102.59003637777641,7.917360804975033,647.0957833161949,femur_l,muscle
psoas_l-P4,-104.29340024129488,0.5331612231675535,643.077949644886,femur_l,muscle
psoas_r-P1,32.09777326788753,-35.18435115925968,807.4854870431709,pelvis,muscle
psoas_r-P2,58.66367721185088,0.3901154058985412,694.6083322337568,pelvis,muscle
psoas_r-P3,116.6362801794894,-2.3055558109190315,651.1136231167752,femur_r,muscle
psoas_r-P4,114.36416574567556,-0.03492509899660945,647.0957853936038,femur_r,muscle
recfem_l-P1,-82.20603713719174,-2.7611587191931903,726.353879435809,pelvis,muscle
recfem_l-P2,-157.11268833090435,53.92079572658986,325.23186431517024,patella_l,muscle
recfem_l-P3,-157.11219459483982,55.62444580812007,319.63682917456754,patella_l,muscle
recfem_l-P4,-158.24708890970214,32.9062125144992,282.89185838197136,patella_l,muscle
recfem_r-P1,95.33468943787739,-3.246684917714447,727.3067959612272,pelvis,muscle
recfem_r-P2,160.36820554838778,52.78494126664009,335.7081874678115,patella_r,muscle
recfem_r-P3,162.63933478234685,52.784757072106004,330.68587923264295,patella_r,muscle
recfem_r-P4,165.47713765202207,40.29028279229533,294.5336210293608,patella_r,muscle
sart_l-P1,-102.58994931727648,9.62108410988003,749.496181432814,pelvis,muscle
sart_l-P2,-64.90399991086451,3.9732317170128226,348.7730072759264,femur_l,muscle
sart_r-P1,98.94431140366942,11.653607420390472,750.7265833890337,pelvis,muscle
sart_r-P2,69.92951245843142,-4.560522721614689,356.077326263749,femur_r,muscle
semimem_l-P1,-61.380719560198486,-86.35383475571871,666.5266132493764,pelvis,muscle
semimem_r-P1,90.77814528113231,-68.67478188022505,669.7642925358482,pelvis,muscle
semiten_l-P1,-70.21719392598607,-80.11393486964516,657.1403832766161,pelvis,muscle
semiten_r-P1,63.2495544096455,-86.9292635708116,660.1537623386614,pelvis,muscle
tfl_l-P1,-117.01939441869035,-1.954660443821922,775.2867911022865,pelvis,muscle
tfl_l-P2,-171.87904083239846,32.338829024811275,591.8537868101637,femur_l,muscle
tfl_l-P3,-163.35972231708,-22.183718722313643,301.56484732519493,femur_l,muscle
tfl_r-P1,114.75052569527179,-4.795824668603018,777.8036828163858,pelvis,muscle
tfl_r-P2,184.78944280114956,18.14023652684409,596.8760869529342,femur_r,muscle
tfl_r-P3,91.93556194035045,-16.334420135361142,313.3066546300879,femur_r,muscle
vasint_l-P1,-140.6419275708031,19.84397508308757,502.48125401728066,femur_l,muscle
vasint_l-P2,-140.64200373075437,23.81963510066271,486.69409610167395,femur_l,muscle
vasint_l-P3,-155.40814928137115,54.488344484590925,325.2318651921805,patella_l,muscle
vasint_l-P4,-157.68101136331097,32.33931694505736,282.8918566829543,patella_l,muscle
vasint_r-P1,145.03320158296265,19.27597780257929,508.6146481915655,femur_r,muscle
vasint_r-P2,142.19357706070878,24.387582196330186,493.136547347071,femur_r,muscle
vasint_r-P3,160.93524435367,53.920373286353424,335.70818537356354,patella_r,muscle
vasint_r-P4,164.34473716968205,40.85755231697112,294.5336282702365,patella_r,muscle
vaslat_l-P1,-116.73175128281582,-25.237047743517905,512.2351500503794,femur_l,muscle
vaslat_l-P2,-94.07082254474517,41.425919220084324,439.83029454382495,femur_l,muscle
vaslat_l-P3,-86.57607918043504,28.261904002400115,318.59805884337493,patella_l,muscle
vaslat_l-P4,-158.24830406799447,32.338834977243096,282.8918570610631,patella_l,muscle
