,t0,tf,p_l
0,0.171,0.795,[-0.24297985  0.          0.0529626 ]
1,0.659,1.301,[-0.06567605  0.          0.03329604]
2,1.171,1.796,[0.09225442 0.         0.06491765]
3,1.657,2.305,[0.28432086 0.         0.03509149]
4,2.1590000000000003,2.799,[0.44546356 0.         0.06091155]
