,t0,tf,p_l
0,0.124,0.381,[-0.2988322   0.          0.06070859]
1,,,[0. 0. 0.]
2,0.47500000000000003,0.726,[0.1744537  0.         0.08575441]
3,,,[0. 0. 0.]
4,0.8170000000000001,,[0.11987765 0.         0.0102676 ]
